Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,161.77,164.5,161,164.28,164.28,2537482,0,1
2018-11-29,162.21,162.46,160.81,161.07,161.07,2413620,0,1
2018-11-28,160.01,162.36,159.29,162.21,162.21,2783964,0,1
2018-11-27,158.04,159.38,157.505,159.11,159.11,1929975,0,1
2018-11-26,158.54,159.48,157.38,158.4,158.4,2127521,0,1
2018-11-23,155.85,157.87,155.25,156.93,156.93,938816,0,1
2018-11-21,160,160,156.7356,156.98,156.98,2525622,0,1
2018-11-20,160.2,160.97,157.74,158.9,158.9,2224934,0,1
2018-11-19,164.5,165.94,162.11,162.77,162.77,2194401,0,1
2018-11-16,161.71,165.83,161.69,165,165,3218494,0,1
2018-11-15,159.92,162.945,159.43,162.49,162.49,2561844,0,1
2018-11-14,163.22,163.4,159.375,160.29,160.29,2819857,0,1
2018-11-13,162.67,163.84,160.93,161.45,161.45,1486838,0,1
2018-11-12,164.52,164.95,162.32,162.44,162.44,2263821,0,1
2018-11-09,164.03,165.65,163.14,165.15,165.15,1882106,0,1
2018-11-08,162.87,164.54,162.865,164.5,164.5,1294401,0,1
2018-11-07,160,163.99,159.99,163.87,163.87,2278443,0,1
2018-11-06,158.96,159.97,158.7,159.42,159.42,1364695,0,1
2018-11-05,157.63,158.96,156.73,158.6,158.6,1705213,0,1
2018-11-02,158.94,160.67,155.99,157.39,157.39,1998622,0,1
2018-11-01,157.9,159.21,157.44,158.58,158.58,1771649,0,1
2018-10-31,156.22,159.45,156.03,157.62,157.62,2414896,0,1
2018-10-30,153.44,154.86,152.31,154.62,154.62,2296448,0,1
2018-10-29,156.05,156.64,150.63,152.74,152.74,1909227,0,1
2018-10-26,154.3,156.08,152.86,154.45,154.45,2472543,0,1
2018-10-25,155.4,157.955,154.88,156.92,156.92,2313661,0,1
2018-10-24,157.87,158.44,152.9973,153.12,153.12,2473910,0,1
2018-10-23,156.7,159.315,155.58,158.09,158.09,2204021,0,1
2018-10-22,158.09,160.29,157.03,159.55,159.55,1958279,0,1
2018-10-19,156.01,158.65,155.43,158.28,158.28,2426068,0,1
2018-10-18,158.44,158.44,155.17,156.2,156.2,2195976,0,1
2018-10-17,159.15,160.36,157.8,158.9,158.9,2687245,1.46,1
2018-10-16,159.57,161.88,158.9025,161.2,159.7324,2830210,0,1
2018-10-15,158.94,159.615,157.84,157.92,156.4822,1945054,0,1
2018-10-12,159.59,160.229,157.39,159.44,157.9884,3376260,0,1
2018-10-11,161.12,161.5361,155.11,156,154.5797,4752820,0,1
2018-10-10,168.5,168.63,161.58,161.74,160.2674,2972259,0,1
2018-10-09,169.21,169.88,168.11,168.8,167.2632,2027962,0,1
2018-10-08,170.34,171.74,168.65,169.9,168.3531,1693593,0,1
2018-10-05,171.53,172.15,170.11,171.23,169.671,1485784,0,1
2018-10-04,173.87,174.14,170.48,171.86,170.2953,1779076,0,1
2018-10-03,173.72,174.82,173.66,174.14,172.5545,1655453,0,1
2018-10-02,173.12,173.56,172.51,173.15,171.5736,1762652,0,1
2018-10-01,171.14,174.18,171.105,173.51,171.9303,2336750,0,1
2018-09-28,169.99,170.8,169.06,170.2,168.6504,2384530,0,1
2018-09-27,168.93,173.93,168.7,170.05,168.5018,3112787,0,1
2018-09-26,173.07,174.55,172.46,172.97,171.3952,2623883,0,1
2018-09-25,173.54,174.5,172.43,172.82,171.2466,1979932,0,1
2018-09-24,173.06,173.25,172.24,172.63,171.0583,2074748,0,1
2018-09-21,174.75,175.64,173.87,174.19,172.6041,4743162,0,1
2018-09-20,173.9,174.39,173.26,174.13,172.5446,1818942,0,1
2018-09-19,172.82,173.31,171.85,173.14,171.5636,1531068,0,1
2018-09-18,171.14,172.825,171.06,172.41,170.8403,2078415,0,1
2018-09-17,171.45,171.72,170.76,171.04,169.4828,1770872,0,1
2018-09-14,171.74,172.27,171.025,171.64,170.0773,2212946,0,1
2018-09-13,171.16,172.51,170.85,172.07,170.5034,1586466,0,1
2018-09-12,170.69,171.03,169.51,170.35,168.799,1743336,0,1
2018-09-11,169.71,171.01,169.2262,170.69,169.136,1963350,0,1
