Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,62.83,63.59,62.7,63.52,63.52,3482126,0,1
2018-11-29,62.72,63.34,62.6138,63.04,63.04,2383187,0,1
2018-11-28,63.03,63.5,62.59,62.83,62.83,4940667,0,1
2018-11-27,62.73,63.31,62.51,63.24,63.24,3708868,0,1
2018-11-26,62.02,62.93,61.91,62.74,62.74,5082187,0,1
2018-11-23,61.85,62.22,61.54,61.78,61.78,1367663,0,1
2018-11-21,62.55,62.745,61.775,61.92,61.92,3935331,0,1
2018-11-20,62.94,63.59,62.28,62.31,62.31,3866371,0,1
2018-11-19,62.98,63.58,62.57,62.77,62.77,4480934,0,1
2018-11-16,62.44,63.74,62.29,63.24,63.24,5368256,0,1
2018-11-15,62.18,62.66,61.73,62.4,62.4,4688637,0,1
2018-11-14,62.3,62.9459,61.97,62.47,62.47,6798792,0,1
2018-11-13,61.56,62.585,61.13,61.86,61.86,5981968,0,1
2018-11-12,62.98,63.38,61.25,61.35,61.35,8800835,0,1
2018-11-09,61.15,63.985,60.95,63.8,63.8,9735392,0,1
2018-11-08,61.08,61.1,60.38,60.9,60.9,5212794,0,1
2018-11-07,60.79,61.44,60.2669,61.33,61.33,5777465,0,1
2018-11-06,60.27,61.1,60.125,60.51,60.51,5171937,0,1
2018-11-05,60.16,61.105,59.68,60.23,60.23,7833650,0,1
2018-11-02,60.91,60.91,59.87,60.29,60.29,5253549,0,1
2018-11-01,59.63,60.475,59.32,60.08,60.08,4764103,0,1
2018-10-31,60.1,60.23,58.71,59.55,59.55,8714223,0,1
2018-10-30,58.31,60.31,57.94,60.19,60.19,8210193,0,1
2018-10-29,59.13,59.81,57.41,57.88,57.88,9710016,0,1
2018-10-26,61.49,62.261,59.26,59.58,59.58,9628909,0,1
2018-10-25,64.82,65.04,63.61,63.82,63.82,6263085,0,1
2018-10-24,63.38,65.37,63.365,64.64,64.64,6235610,0,1
2018-10-23,63.24,63.72,62.76,63.4,63.4,3765971,0,1
2018-10-22,64.56,64.79,63.49,63.64,63.64,3051778,0,1
2018-10-19,64.42,65.53,64.25,64.52,64.52,6907719,0,1
2018-10-18,62.8,63.13,62.33,62.64,62.64,3947277,0.42,1
2018-10-17,62.17,63.615,62.02,63.55,63.1267,5446851,0,1
2018-10-16,62.71,62.925,62.42,62.61,62.193,3226007,0,1
2018-10-15,62.42,63.06,62.24,62.55,62.1334,3439056,0,1
2018-10-12,62.64,62.9,61.91,62.54,62.1235,4297191,0,1
2018-10-11,63.87,64.14,62.12,62.35,61.9347,7242655,0,1
2018-10-10,64.54,65.38,63.8,63.83,63.4049,4789033,0,1
2018-10-09,65.47,65.685,65.06,65.07,64.6366,4603260,0,1
2018-10-08,64.66,65.55,64.51,65.35,64.9147,4090847,0,1
2018-10-05,64.77,65.04,64.6,64.71,64.279,2972159,0,1
2018-10-04,65.44,65.46,64.52,64.92,64.4876,3707918,0,1
2018-10-03,67.53,67.58,65.83,65.92,65.481,3764515,0,1
2018-10-02,67.14,67.8,66.96,67.39,66.9412,2722586,0,1
2018-10-01,66.96,67.31,66.89,67.07,66.6233,2116294,0,1
2018-09-28,66.73,66.95,66.61,66.95,66.5041,2491393,0,1
2018-09-27,67.05,67.35,66.68,66.73,66.2856,2498576,0,1
2018-09-26,67.25,67.8049,67.01,67.1,66.6531,2288742,0,1
2018-09-25,68.14,68.2,67.08,67.14,66.6928,2347737,0,1
2018-09-24,68.98,69.17,67.85,67.94,67.4875,2734085,0,1
2018-09-21,68.79,69.29,68.77,69.09,68.6298,4687546,0,1
2018-09-20,68.3,69.05,68.22,68.79,68.3318,3428665,0,1
2018-09-19,68.25,68.59,67.9,67.93,67.4776,3017092,0,1
2018-09-18,68.76,68.86,68.19,68.26,67.8054,2625263,0,1
2018-09-17,68,68.82,67.89,68.81,68.3517,2874563,0,1
2018-09-14,68.19,68.31,67.72,67.99,67.5372,1843260,0,1
2018-09-13,68.07,68.19,67.5,68.16,67.706,3093199,0,1
2018-09-12,67.08,68.1,67.07,67.98,67.5272,2623060,0,1
2018-09-11,66.8,67.3,66.6,67.18,66.7326,2985014,0,1
2018-09-10,67.01,67.64,67,67.16,66.7127,3353185,0,1
2018-09-07,66.7,67.06,66.27,67.01,66.5637,2980454,0,1
2018-09-06,66.33,67.165,66.09,67,66.5538,3295081,0,1
2018-09-05,65.05,66.65,64.95,66.59,66.1465,3977824,0,1
2018-09-04,65.74,65.99,65.01,65.23,64.7955,4515906,0,1
2018-08-31,66.2,66.48,65.93,66.41,65.9677,3257178,0,1
