Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,66.03,66.94,65.43,66.18,66.18,7167161,0,1
2018-11-29,66.46,67.51,66.21,66.87,66.87,4606024,0,1
2018-11-28,65.11,66.63,65.09,66.35,66.35,5602118,0,1
2018-11-27,64.73,65.6,64.15,65.28,65.28,6116387,0,1
2018-11-26,64.7,65.6,64.53,64.7,64.7,6355146,0,1
2018-11-23,62.88,63.93,62.41,63.8,63.8,5361043,0,1
2018-11-21,64.41,66.15,64.22,65.48,65.48,6392646,0,1
2018-11-20,65.56,65.56,63.2201,63.99,63.99,7454260,0,1
2018-11-19,65.37,66.73,65.03,66.44,66.44,7793905,0,1
2018-11-16,65.59,66.44,65.38,66.12,66.12,7993579,0,1
2018-11-15,63.58,65.2862,63.25,65.21,65.21,7782826,0,1
2018-11-14,64.82,66.01,63.52,64.12,64.12,9708496,0,1
2018-11-13,64.78,65.58,62.6,63.72,63.72,11213930,0,1
2018-11-12,67.59,68.07,65.14,65.14,65.14,6767020,0,1
2018-11-09,65.73,67.21,64.79,66.73,66.73,9190686,0,1
2018-11-08,69.76,70.31,66.67,66.91,66.91,9826884,0,1
2018-11-07,70.74,71.26,69.25,70.03,70.03,6585496,0,1
2018-11-06,69.35,69.57,68.25,69.5,69.5,6150231,0,1
2018-11-05,68.69,69.5,68.25,69.03,69.03,4955514,0,1
2018-11-02,69.69,70.25,67.3789,67.84,67.84,5725215,0,1
2018-11-01,70.2,70.9547,68.49,69.58,69.58,7826514,0,1
2018-10-31,70.39,71.82,69.75,69.9,69.9,6591449,0,1
2018-10-30,67.18,69.71,66.86,69.52,69.52,6506888,0,1
2018-10-29,69.18,69.705,66.22,67.35,67.35,6853145,0,1
2018-10-26,66.96,69.07,66.67,68.48,68.48,8194001,0,1
2018-10-25,67.88,68.69,66.54,68.02,68.02,8727345,0,1
2018-10-24,69.7,70.02,65,65.69,65.69,9260037,0,1
2018-10-23,70.54,70.59,68.205,69.22,69.22,7502039,0,1
2018-10-22,72.61,72.77,71.26,72.05,72.05,5385731,0,1
2018-10-19,72.67,73.9,72.26,72.49,72.49,5657964,0,1
2018-10-18,71.62,73.18,71.51,72.59,72.59,7800941,0,1
2018-10-17,74.07,74.07,72.22,72.48,72.48,7302693,0,1
2018-10-16,73.76,74.18,73.23,73.8,73.8,5726247,0,1
2018-10-15,73.83,74.19,73.01,73.27,73.27,6125041,0,1
2018-10-12,73.72,74.25,72.59,73.83,73.83,6296136,0.305,1
2018-10-11,74.16,74.77,71.93,72.79,72.4905,9326505,0,1
2018-10-10,79.57,79.65,75.01,75.09,74.7811,8332301,0,1
2018-10-09,78.59,79.96,78.14,79.4,79.0733,4869647,0,1
2018-10-08,77.73,78.77,77.27,78.28,77.9579,4034420,0,1
2018-10-05,78,78.57,77.59,78.39,78.0675,6535672,0,1
2018-10-04,78.41,78.875,77.59,78.28,77.9579,4457073,0,1
2018-10-03,78.63,78.91,77.89,78.57,78.2468,6825619,0,1
2018-10-02,79.29,79.47,78.22,78.28,77.9579,4534591,0,1
2018-10-01,77.77,80.24,77.74,79.89,79.5613,6408997,0,1
2018-09-28,77.32,78.68,77.32,77.4,77.0816,6190106,0,1
2018-09-27,77.72,77.99,77.31,77.52,77.2011,4366980,0,1
2018-09-26,77.74,78.39,77.2,77.28,76.9621,6148005,0,1
2018-09-25,77.95,78.6075,77.64,78.11,77.7886,6145114,0,1
2018-09-24,77,77.9,76.79,77.06,76.743,6377278,0,1
2018-09-21,75.77,76.66,75.36,76.28,75.9662,15114344,0,1
2018-09-20,75.1,76.15,74.81,75.36,75.05,5220290,0,1
2018-09-19,75,75.86,74.65,75.53,75.2193,3952794,0,1
2018-09-18,74.75,75.73,74.63,75.04,74.7313,5989582,0,1
2018-09-17,73.71,74.9,73.62,74.24,73.9346,6010057,0,1
2018-09-14,72.41,73.93,72.41,73.5,73.1976,4618467,0,1
2018-09-13,71.99,72.58,71.12,72.55,72.2515,4038597,0,1
2018-09-12,72.15,72.53,71.69,71.97,71.6739,6137202,0,1
2018-09-11,70.99,72.08,70.6,71.47,71.176,4172224,0,1
2018-09-10,70.56,71.65,70.52,71.15,70.8573,5188560,0,1
2018-09-07,69.93,70.62,69.42,70.22,69.9311,4370626,0,1
2018-09-06,72.17,72.47,70.51,70.54,70.2498,5443677,0,1
2018-09-05,72.84,73.11,72.04,73,72.6997,5080205,0,1
2018-09-04,73.93,74.14,72.83,73.11,72.8092,3447910,0,1
2018-08-31,73.08,73.54,72.965,73.43,73.1279,4152275,0,1
2018-08-30,73.68,74.43,73.26,73.56,73.2574,5141160,0,1
2018-08-29,72.77,73.74,72.48,73.54,73.2374,4887044,0,1
2018-08-28,72.84,73.09,71.92,72.05,71.7536,4072233,0,1
2018-08-27,72.61,73.18,72.61,72.84,72.5403,3389287,0,1
2018-08-24,72.74,73.56,72.34,72.61,72.3113,4934025,0,1
2018-08-23,71.55,72.11,71.22,72.05,71.7536,3995485,0,1
2018-08-22,71.46,72.51,71.38,72,71.7038,5019315,0,1
2018-08-21,71.04,71.56,70.79,70.89,70.5984,3717649,0,1
2018-08-20,69.68,71.07,69.68,70.52,70.2299,4659008,0,1
2018-08-17,69.87,70.11,69.32,69.77,69.483,4435249,0,1
2018-08-16,68.27,69.66,68.22,69.41,69.1244,5453043,0,1
2018-08-15,71.28,71.37,67.71,67.82,67.541,7944497,0,1
2018-08-14,71.93,72.69,71.71,72.15,71.8532,5223404,0,1
2018-08-13,71.91,72.52,71.01,71.07,70.7776,4322192,0,1
2018-08-10,71.6,72.03,71.24,71.94,71.644,4855457,0,1
2018-08-09,72.2,72.64,71.52,71.75,71.4548,5975606,0,1
2018-08-08,72.23,72.54,70.73,71.39,71.0963,5784409,0,1
2018-08-07,72.55,73.755,72.39,72.9,72.6001,5631378,0,1
2018-08-06,71.44,72.1504,71.07,71.73,71.4349,7177558,0,1
2018-08-03,71.25,71.48,70.6102,71.29,70.9967,4028456,0,1
2018-08-02,71.36,71.68,70.98,71.56,71.2656,4669429,0,1
2018-08-01,71.52,72.05,70.905,71.81,71.5146,5313244,0,1
2018-07-31,72.54,72.7758,71.88,72.17,71.8731,5422213,0,1
2018-07-30,72.3,72.9376,72.14,72.27,71.9727,4934110,0,1
2018-07-27,71.48,72.27,71.19,71.45,71.156,5587553,0,1
2018-07-26,71.22,71.945,70.61,71.8,71.5046,7360090,0,1
2018-07-25,70.92,71.6,70.49,71.51,71.2158,5146020,0,1
2018-07-24,70.7,71.545,70.37,70.85,70.5585,4709106,0,1
2018-07-23,70.5,70.62,69.89,69.98,69.6921,7936909,0,1
2018-07-20,69.75,70.14,69.69,70.01,69.722,5625370,0.285,1
2018-07-19,70.13,70.44,69.49,69.69,69.1219,5959233,0,1
2018-07-18,69.48,70.5,68.81,70.35,69.7765,5667669,0,1
2018-07-17,70.22,70.695,69.1,70.28,69.7071,5723972,0,1
2018-07-16,70.88,71.59,69.54,70.58,70.0046,6216239,0,1
2018-07-13,71.37,72.57,71.35,72,71.4131,6313255,0,1
2018-07-12,70.86,71.7,70.41,71.45,70.8676,6386739,0,1
2018-07-11,70.92,71.76,69.43,70.05,69.479,5636440,0,1
2018-07-10,71.49,72,71.36,71.74,71.1552,5246429,0,1
2018-07-09,70.15,71,69.88,71,70.4212,5271380,0,1
2018-07-06,68.69,69.81,68.47,69.65,69.0822,4454880,0,1
2018-07-05,70.05,70.57,68.64,68.93,68.3681,5719778,0,1
2018-07-03,69.36,71.44,69.36,69.56,68.993,5338387,0,1
2018-07-02,68.91,69.33,68.203,68.59,68.0309,4952834,0,1
2018-06-29,68.94,70.63,68.71,69.62,69.0525,7131963,0,1
2018-06-28,69.3,69.5,67.94,68.41,67.8523,3958060,0,1
2018-06-27,68.23,69.515,68.09,68.74,68.1796,7624645,0,1
2018-06-26,66.41,67.64,66.17,67.34,66.7911,4956676,0,1
2018-06-25,67.79,68.13,65.37,66.14,65.6008,5274264,0,1
2018-06-22,67.47,68.4093,67.25,67.78,67.2275,11074915,0,1
2018-06-21,66.86,66.96,64.79,65.11,64.5792,7439725,0,1
2018-06-20,67.16,67.63,66.79,67.47,66.92,6323355,0,1
2018-06-19,65.72,67.035,65.43,66.26,65.7199,5211463,0,1
2018-06-18,65.57,67.76,65.39,66.6,66.0571,7680090,0,1
2018-06-15,67.45,67.8,65.21,65.36,64.8272,15982686,0,1
2018-06-14,69.99,70.02,67.84,68.13,67.5746,5694644,0,1
2018-06-13,69.35,69.93,68.67,69.62,69.0525,6741067,0,1
2018-06-12,70.07,70.315,69.13,69.43,68.864,8329005,0,1
2018-06-11,69.96,70.985,69.52,70.49,69.9154,6237302,0,1
2018-06-08,69.98,70.37,68.93,69.43,68.864,6656122,0,1
2018-06-07,68.5,69.68,68.26,69.48,68.9136,7693526,0,1
2018-06-06,67.71,68.42,67.31,67.88,67.3267,6412175,0,1
2018-06-05,67.72,68.56,67.52,67.56,67.0093,6333100,0,1
2018-06-04,68.95,69.4,67.595,67.9,67.3465,5599193,0,1
2018-06-01,67.76,68.975,67.34,68.29,67.7333,7116234,0,1
2018-05-31,67.58,68.34,66.94,67.39,66.8407,8508795,0,1
2018-05-30,66.34,68.74,66.17,68.05,67.4953,10273448,0,1
2018-05-29,64.8,65.82,64.34,65.71,65.1743,6310128,0,1
2018-05-25,66.8,66.86,64.44,65.47,64.9363,8315770,0,1
2018-05-24,68,68.82,67.405,68.45,67.892,6404940,0,1
2018-05-23,69.62,69.87,68.28,69.12,68.5565,6407487,0,1
2018-05-22,70.77,71.71,69.94,70.13,69.5583,6079489,0,1
2018-05-21,70,70.775,69.57,70.66,70.084,5440032,0,1
2018-05-18,70.5,70.835,69.53,69.55,68.983,5094691,0,1
2018-05-17,70.2,71,70.09,70.66,70.084,5592670,0,1
2018-05-16,70,70.1983,69.1,69.85,69.2806,4363391,0,1
2018-05-15,69.55,70.59,69.24,70.09,69.5186,5962666,0,1
2018-05-14,69.5,70.21,69.35,69.59,69.0227,8805220,0,1
2018-05-11,69.12,69.89,68.87,69.44,68.8739,6382225,0.285,1
2018-05-10,69.46,69.705,68.65,69.34,68.4936,6512326,0,1
2018-05-09,68.61,70.15,68.5,68.7,67.8615,9271165,0,1
2018-05-08,66.8,67.74,65.45,67.74,66.9132,8988387,0,1
2018-05-07,67.27,68.64,66.69,66.77,65.955,9121533,0,1
2018-05-04,66,67.09,65.6001,66.86,66.0439,6302172,0,1
2018-05-03,64.9,66.16,64.32,65.99,65.1845,7088763,0,1
2018-05-02,65.18,65.995,65.14,65.45,64.6511,6810047,0,1
2018-05-01,65.05,65.78,64.55,65.71,64.9079,7433820,0,1
2018-04-30,64.88,66.145,64.76,65.5,64.7005,6381298,0,1
2018-04-27,66.43,66.76,64.95,64.95,64.1572,6398799,0,1
2018-04-26,65.75,67.13,65.1,66.97,66.1526,10574560,0,1
2018-04-25,64.96,65.56,63.92,65.06,64.2659,9867902,0,1
2018-04-24,66,66.62,64.85,65.31,64.5128,8731627,0,1
2018-04-23,65.58,65.63,64.47,65.48,64.6808,9209722,0,1
2018-04-20,65.85,66.1111,65.34,65.79,64.987,7008374,0,1
2018-04-19,65.89,66.595,65.55,66.31,65.5006,8366275,0,1
2018-04-18,67,67.3,66.38,66.42,65.6093,11015565,0,1
2018-04-17,65.92,66.91,65.46,66.51,65.6982,8312592,0,1
2018-04-16,64.97,65.99,64.38,65.73,64.9277,8534926,0,1
2018-04-13,63.95,65,63.74,64.9,64.1078,9672907,0,1
2018-04-12,63.29,63.88,62.84,63.24,62.4681,10336245,0,1
2018-04-11,62.3,63.275,61.6,63.23,62.4582,10014141,0,1
2018-04-10,61.44,63,61.38,62.34,61.5791,11158041,0,1
2018-04-09,59.86,61.15,59.51,60.62,59.8801,10832062,0,1
2018-04-06,60.21,60.65,58.535,59.26,58.5367,8837538,0,1
2018-04-05,59.83,61.17,59.73,60.46,59.722,6822629,0,1
2018-04-04,58.82,59.735,58.45,59.56,58.833,8174211,0,1
2018-04-03,58.54,60.08,57.86,60.03,59.2973,8257314,0,1
2018-04-02,59.27,59.3,56.57,58.09,57.381,7403821,0,1
2018-03-29,58.74,59.59,58.74,59.29,58.5663,8469189,0,1
2018-03-28,59.16,59.74,58.43,58.73,58.0131,13327619,0,1
2018-03-27,59.15,59.8188,58.69,59.14,58.4181,9045686,0,1
2018-03-26,58.37,59.1,58.21,59.08,58.3589,8460219,0,1
2018-03-23,57.04,58.38,56.97,57.74,57.0352,9359537,0,1
2018-03-22,56.41,57.28,56.05,56.5,55.8104,10142415,0,1
2018-03-21,55.1,57.59,55.04,57.04,56.3438,7184199,0,1
2018-03-20,54.1,55.47,53.91,54.7,54.0323,5077121,0,1
2018-03-19,54.76,54.91,53.38,53.57,52.9161,4778682,0,1
2018-03-16,54.11,55.19,53.64,54.93,54.2595,12686058,0,1
2018-03-15,54.31,54.51,53.38,54.03,53.3705,4919405,0,1
2018-03-14,54.34,54.73,53.87,53.96,53.3014,4052436,0,1
2018-03-13,54.94,55.21,53.58,53.96,53.3014,5511401,0,1
2018-03-12,55.01,55.41,54.59,54.74,54.0718,5037696,0,1
2018-03-09,54.07,55.07,54.01,55.06,54.3879,5305889,0,1
2018-03-08,54.13,54.38,52.92,53.57,52.9161,4489425,0,1
2018-03-07,53.31,54.46,53.241,54.07,53.41,7245777,0,1
2018-03-06,54.28,54.39,53.5,54.06,53.4001,4931938,0,1
2018-03-05,53.49,54.225,53.31,53.99,53.331,5266045,0,1
2018-03-02,53.54,54.21,52.78,54.06,53.4001,4574396,0,1
2018-03-01,54.5,55.01,53.52,53.88,53.2223,5135391,0,1
2018-02-28,56.02,56.58,54.3,54.31,53.6471,5788885,0,1
2018-02-27,56.5,57.62,55.82,55.83,55.1485,5291980,0,1
2018-02-26,57.26,57.54,56.515,56.59,55.8993,5875292,0,1
2018-02-23,55.35,57.14,55.07,57.05,56.3537,6464332,0,1
2018-02-22,54.26,55.5,54.19,54.91,54.2398,5532439,0,1
2018-02-21,54.59,55.44,53.73,53.75,53.0939,5146520,0,1
2018-02-20,54.6,55.3,54.34,54.84,54.1706,4068210,0,1
2018-02-16,54.39,55.06,54.23,54.65,53.9829,4889746,0,1
2018-02-15,55.64,55.71,53.76,54.54,53.8743,6083059,0,1
2018-02-14,52.7,55.86,52.54,55.51,54.8324,6560068,0,1
2018-02-13,52.93,53.94,52.61,53.32,52.6692,5291066,0,1
2018-02-12,52.63,53.96,52.55,53.41,52.7581,7015191,0,1
2018-02-09,53.24,53.6,50.18,52.02,51.385,9667168,0.285,1
2018-02-08,55.62,55.8296,53.23,53.24,52.3036,8589629,0,1
2018-02-07,56.06,56.9701,55.63,55.63,54.6516,7706788,0,1
2018-02-06,54.75,56.54,54.42,55.94,54.9561,10988340,0,1
2018-02-05,57.14,58.47,55.41,55.94,54.9561,10979260,0,1
2018-02-02,59.17,59.44,57.61,57.72,56.7048,8372637,0,1
2018-02-01,59,59.97,58.151,59.35,58.3061,7009268,0,1
2018-01-31,58.53,59.24,58.28,58.81,57.7756,7025978,0,1
2018-01-30,58.94,59.32,58.08,58.46,57.4318,6325996,0,1
2018-01-29,59.92,60.53,59.56,59.66,58.6107,3987680,0,1
2018-01-26,59.7,60.52,59.61,60.39,59.3278,5148504,0,1
2018-01-25,60.75,60.9,59.4,59.48,58.4339,5467102,0,1
2018-01-24,60.54,61.315,60.45,60.49,59.4261,4879342,0,1
2018-01-23,60.61,60.7,60.03,60.47,59.4064,5429213,0,1
2018-01-22,59.86,60.68,59.79,60.67,59.6029,5701784,0,1
2018-01-19,59.68,59.81,59.27,59.75,58.6991,5015267,0,1
2018-01-18,59.62,60.06,59.15,59.76,58.7089,4372354,0,1
2018-01-17,58.97,60.187,58.78,59.86,58.8072,5744307,0,1
2018-01-16,60,60.22,58.8,58.84,57.8051,5447814,0,1
2018-01-12,59.39,60.24,59.12,60.05,58.9938,6733775,0,1
2018-01-11,58.17,59.48,57.54,59.18,58.1391,7324118,0,1
2018-01-10,58.14,58.28,57.561,57.65,56.636,4626262,0,1
2018-01-09,57.47,58.32,57.41,57.93,56.9111,5505021,0,1
2018-01-08,56.76,57.46,56.59,57.46,56.4494,4517880,0,1
2018-01-05,56.68,56.91,56.18,56.88,55.8796,3756383,0,1
2018-01-04,56.41,57.1853,56.09,56.99,55.9876,4894264,0,1
2018-01-03,55.38,56.39,55.33,56.34,55.3491,4102331,0,1
2018-01-02,55.09,55.51,54.82,55.32,54.347,3962373,0,1
2017-12-29,55.44,55.5,54.87,54.89,53.9246,3654204,0,1
2017-12-28,55.49,55.59,55.1,55.18,54.2095,4240570,0,1
2017-12-27,56.06,56.07,55.14,55.59,54.6123,4331990,0,1
2017-12-26,55.78,56.37,55.54,56.23,55.241,3189374,0,1
2017-12-22,56.05,56.21,55.455,55.5,54.5239,3834195,0,1
2017-12-21,54.17,56.07,54.026,55.95,54.9659,7676337,0,1
2017-12-20,52.86,54.51,52.46,54.25,53.2958,7994879,0,1
2017-12-19,52.5,52.93,52.14,52.68,51.7535,4782245,0,1
2017-12-18,52.23,52.66,52.11,52.34,51.4194,5510932,0,1
2017-12-15,52.75,53.05,52.06,52.17,51.2524,10757100,0,1
2017-12-14,51.85,52.76,51.85,52.31,51.39,6400413,0,1
