Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,116.84,117.065,115.06,115.49,115.49,16856125,0,1
2018-11-29,115.75,117.14,115.21,116.61,116.61,10834825,0,1
2018-11-28,114.32,116.3,114.05,116.1,116.1,9039821,0,1
2018-11-27,113.61,114.1,112.41,113.9,113.9,7357599,0,1
2018-11-26,113.18,113.18,111.92,112.55,112.55,7002353,0,1
2018-11-23,112.24,112.79,111.74,112.08,112.08,3242322,0,1
2018-11-21,112.5,113.985,112.3,113.03,113.03,7242467,0,1
2018-11-20,113.52,114.588,111.52,111.87,111.87,11194640,0,1
2018-11-19,116,117.83,114.79,115.42,115.42,9714594,0,1
2018-11-16,116.53,117.344,115.99,116.19,116.19,7142193,0,1
2018-11-15,116.49,117.43,115.7,117.11,117.11,7088665,0,1
2018-11-14,117.44,118.22,116.44,117.12,117.12,7109122,0,1
2018-11-13,117.11,117.78,116.18,116.85,116.85,4650588,0,1
2018-11-12,118,118.46,116.6,116.7,116.7,9170870,0,1
2018-11-09,118.2,120.2,117.18,118,118,16878228,0,1
2018-11-08,117.45,117.83,115.21,116,116,11074782,0,1
2018-11-07,116.57,117.285,115.16,117.05,117.05,8249836,0,1
2018-11-06,115.74,116.84,115.45,116.71,116.71,5036606,0,1
2018-11-05,115.74,116.2241,115.12,115.45,115.45,7921106,0,1
2018-11-02,116.83,116.95,114.37,115.18,115.18,6377852,0,1
2018-11-01,115.2,116.28,114.9,116.1,116.1,6779884,0,1
2018-10-31,116.23,116.52,114.68,114.83,114.83,9196670,0,1
2018-10-30,113.39,114.89,112.41,114.76,114.76,7365577,0,1
2018-10-29,114.45,114.94,111.96,113.04,113.04,9234069,0,1
2018-10-26,112.84,114.14,112.101,113.19,113.19,7984726,0,1
2018-10-25,112.62,114.69,112.118,114.16,114.16,7406869,0,1
2018-10-24,117.06,117.06,111.25,111.61,111.61,11630540,0,1
2018-10-23,116.945,118.49,115.41,117.85,117.85,8607373,0,1
2018-10-22,119.05,119.69,117.72,118.27,118.27,8406370,0,1
2018-10-19,117.42,119.17,117.22,118.9,118.9,10430994,0,1
2018-10-18,116.75,117.13,115.58,116.18,116.18,6056682,0,1
2018-10-17,116.1,117.22,115.43,117.13,117.13,7120646,0,1
2018-10-16,114.34,116.37,113.84,116.19,116.19,7619024,0,1
2018-10-15,111.93,114.6176,111.89,113.44,113.44,6628815,0,1
2018-10-12,111.97,113.2744,111.23,112.61,112.61,5963944,0,1
2018-10-11,112.5,113.25,110.32,111.15,111.15,10045632,0,1
2018-10-10,116.84,117.23,112.73,112.86,112.86,9006470,0,1
2018-10-09,116.615,117.77,116.04,116.89,116.89,6761416,0,1
2018-10-08,114.83,116.155,114.12,116.02,116.02,5652284,0,1
2018-10-05,116,116.58,114.73,114.78,114.78,5836074,0,1
2018-10-04,117,117.17,115.12,116.13,116.13,6442769,0,1
2018-10-03,117.95,118.1,116.74,116.91,116.91,6111663,0,1
2018-10-02,115.55,117.7,115.3,117.66,117.66,6441742,0,1
2018-10-01,117.28,117.4,115.68,116.24,116.24,8644469,0,1
2018-09-28,115.65,117.46,115.35,116.94,116.94,7366846,0,1
2018-09-27,115.19,116.6,115.1,116.04,116.04,5195314,0,1
2018-09-26,114.01,116.32,114.01,115.21,115.21,11141544,0,1
2018-09-25,113.31,114.71,112.65,113.63,113.63,12169388,0,1
2018-09-24,112.27,113.14,111.7,112.77,112.77,9232253,0,1
2018-09-21,111.95,111.98,110.4,110.4,110.4,25753718,0,1
2018-09-20,110.58,111.9492,109.94,111.62,111.62,7121781,0,1
2018-09-19,109.63,110.1825,109.48,109.79,109.79,5964771,0,1
2018-09-18,108.89,109.75,108.23,109.53,109.53,4937821,0,1
2018-09-17,109.58,109.8783,108.6115,109.36,109.36,5592864,0,1
2018-09-14,110.92,111.25,108.88,109.26,109.26,6012443,0,1
2018-09-13,109.55,110.72,109.37,110.67,110.67,5119351,0,1
2018-09-12,109.25,110.2539,109.18,109.46,109.46,5236734,0,1
2018-09-11,110.5,110.605,109.51,109.6,109.6,5488942,0,1
2018-09-10,111.44,111.9075,110.37,110.68,110.68,4636528,0,1
2018-09-07,110.08,111.35,110.01,110.97,110.97,4755131,0,1
2018-09-06,110,110.41,109.36,110.26,110.26,5267192,0,1
2018-09-05,110.58,110.82,109.7,109.87,109.87,6388627,0,1
2018-09-04,111.8,112,110.65,110.85,110.85,6391228,0,1
2018-08-31,111.9,112.28,111.56,112.02,112.02,4642826,0,1
2018-08-30,112.07,112.415,111.59,111.92,111.92,3481754,0,1
2018-08-29,112.58,112.72,112.02,112.45,112.45,4001492,0,1
2018-08-28,112.57,112.7896,112.2,112.58,112.58,3131842,0,1
2018-08-27,112.49,112.89,112.07,112.33,112.33,4768104,0,1
2018-08-24,111.63,112.7,111.44,111.93,111.93,5049352,0,1
2018-08-23,111.94,112.14,111.5331,112,112,4257386,0,1
2018-08-22,112.44,112.745,111.94,111.94,111.94,3212988,0,1
2018-08-21,112.25,113,112,112.39,112.39,4770448,0,1
2018-08-20,112.93,113,111.91,111.99,111.99,5167649,0,1
2018-08-17,112.51,112.86,111.89,112.48,112.48,4764732,0,1
2018-08-16,113.3,113.33,112.395,112.48,112.48,5082522,0,1
2018-08-15,112.18,113.12,111.47,112.85,112.85,5183545,0,1
2018-08-14,112.38,113.185,111.945,112.75,112.75,4326595,0,1
2018-08-13,112.66,112.84,111.72,112.12,112.12,6082324,0,1
2018-08-10,113.58,113.8,112.4,112.68,112.68,5740222,0,1
2018-08-09,114.05,114.795,112.81,114.16,114.16,7042038,0,1
2018-08-08,115.9,116.41,113.9,113.98,113.98,11727147,0,1
2018-08-07,116.57,117.9,116.24,116.56,116.56,15466928,0,1
2018-08-06,114.66,116.84,114.16,115.94,115.94,12715611,0,1
2018-08-03,113.2,114.095,112.4,114.09,114.09,4747467,0,1
2018-08-02,112.5,113.32,111.68,112.75,112.75,4027577,0,1
2018-08-01,113.68,113.83,112.59,112.97,112.97,6466570,0,1
2018-07-31,112.55,114.05,112.36,113.56,113.56,8421188,0,1
2018-07-30,112.2,113.335,112.05,112.63,112.63,5199310,0,1
2018-07-27,114,114.05,111.92,112.62,112.62,5717232,0,1
2018-07-26,112.15,114.5617,111.68,113.51,113.51,9466376,0,1
2018-07-25,110.64,111.42,109.63,111.18,111.18,6750450,0,1
2018-07-24,111.84,111.89,110.54,110.7,110.7,5649108,0,1
2018-07-23,111.05,111.21,110.335,111.09,111.09,5447781,0,1
2018-07-20,112.15,112.2,110.83,111.48,111.48,11805204,0,1
2018-07-19,111.54,114.68,111.3,112.13,112.13,17796796,0,1
2018-07-18,110.31,111.06,109.65,110.69,110.69,6414101,0,1
2018-07-17,110.26,112.62,110.085,110.3,110.3,9075939,0,1
2018-07-16,109.82,110.45,108.77,110.2,110.2,8245935,0,1
2018-07-13,108,110.24,107.66,110,110,8188898,0,1
2018-07-12,108.05,109.2,107.82,108.25,108.25,5931413,0,1
2018-07-11,105.32,109.34,105.32,108.04,108.04,11753824,0,1
2018-07-10,106.25,106.57,104.83,106.03,106.03,4213638,0,1
2018-07-09,105.01,106.07,104.75,106.02,106.02,4725229,0,1
2018-07-06,104.5,105.04,104.04,104.78,104.78,4134897,0.84,1
2018-07-05,104.7,105.602,104.43,105.34,104.5022,6202815,0,1
2018-07-03,105.88,105.95,103.5,104.04,103.2126,2406267,0,1
2018-07-02,104.15,105.37,103.9,105.33,104.4923,5489341,0,1
2018-06-29,104.93,105.68,104.65,104.81,103.9764,6774510,0,1
2018-06-28,103.91,105.1198,103.6753,104.77,103.9368,6304015,0,1
2018-06-27,104.5,105.88,103.4801,103.96,103.1332,8800308,0,1
2018-06-26,104.46,104.71,103.91,104.26,103.4308,6549998,0,1
2018-06-25,106,106.08,103.74,104.45,103.6193,7995781,0,1
2018-06-22,106.07,106.8,105.81,106.34,105.4943,9285729,0,1
2018-06-21,107.01,107.25,105.791,105.89,105.0479,7707762,0,1
2018-06-20,107,107.9,105.8101,107.15,106.2978,18625882,0,1
2018-06-19,105.87,106.99,105.76,106.1,105.2562,8869452,0,1
2018-06-18,107,107.475,106.5,107.06,106.2085,9288554,0,1
2018-06-15,108.17,109.42,107.85,108.85,107.9843,16169231,0,1
2018-06-14,106.45,109.49,106.45,108.75,107.8851,18068650,0,1
2018-06-13,103.2,107.88,102.67,106.31,105.4645,22009406,0,1
2018-06-12,104.73,105.22,103.9639,104.33,103.5003,9215266,0,1
2018-06-11,103.93,104.79,103.75,104.35,103.5201,8174996,0,1
2018-06-08,102.09,103.99,101.8282,103.98,103.153,7090310,0,1
2018-06-07,101.91,102.96,101.81,102.47,101.6551,7559222,0,1
2018-06-06,100.06,101.94,99.76,101.91,101.0995,7832969,0,1
2018-06-05,100.36,100.51,99.78,99.94,99.1452,5974427,0,1
