Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,141.52,142.86,140.87,142.66,142.66,4811862,0,1
2018-11-29,139.64,142.4085,139.275,141.5,141.5,2139862,0.43,1
2018-11-28,139.93,141.32,139.13,140.2,139.7752,2767568,0,1
2018-11-27,140.58,140.76,138.31,139.99,139.5659,2628150,0,1
2018-11-26,141.43,142.31,140.1,140.93,140.503,2162648,0,1
2018-11-23,139.71,140.86,138.81,140.11,139.6855,971520,0,1
2018-11-21,142.33,142.87,140.52,140.67,140.2438,1581411,0,1
2018-11-20,141.89,144.72,141.58,142.02,141.5897,1666587,0,1
2018-11-19,143.9,144.91,141.91,142.87,142.4372,1673085,0,1
2018-11-16,144.15,145.99,142.55,144.02,143.5837,2373669,0,1
2018-11-15,144.47,144.85,142.67,144.85,144.4112,1690542,0,1
2018-11-14,143.86,146.16,143.47,144.84,144.4012,2040413,0,1
2018-11-13,142.29,143.9768,141.39,143.39,142.9556,2160773,0,1
2018-11-12,140.08,142.19,138.32,141.1,140.6725,2849326,0,1
2018-11-09,138.86,140.99,138.39,140.23,139.8052,1962765,0,1
2018-11-08,141.92,142,140.11,141.69,141.2607,1581988,0,1
2018-11-07,141.64,142.82,140.52,142.34,141.9088,1234396,0,1
2018-11-06,142.45,143.4,141.51,142.4,141.9686,1427710,0,1
2018-11-05,142.07,142.275,138.87,141.81,141.3804,2896655,0,1
2018-11-02,142.36,145.645,142.36,143.11,142.6764,2951690,0,1
2018-11-01,137.13,142.19,136.83,141.94,141.51,2738266,0,1
2018-10-31,143.36,146.33,135.27,137.44,137.0236,5467100,0,1
2018-10-30,126.65,131.69,126.3,131.22,130.8224,3522142,0,1
2018-10-29,126.25,128.76,125.095,126.46,126.0769,2715729,0,1
2018-10-26,124.93,126.44,122.94,125.62,125.2394,1621164,0,1
2018-10-25,124.88,127.48,124.16,126.41,126.027,1582508,0,1
2018-10-24,125.68,127.88,124.11,124.27,123.8935,1905697,0,1
2018-10-23,124.46,126.29,121.93,125.3,124.9204,2667253,0,1
2018-10-22,125.9,127.08,125.3,126.19,125.8077,1819278,0,1
2018-10-19,128.2,129.86,125.45,125.45,125.0699,1935503,0,1
2018-10-18,128.83,128.97,125.66,126.77,126.3859,2347710,0,1
2018-10-17,128.58,129.46,127.66,128.82,128.4297,1947930,0,1
2018-10-16,127.34,129.08,127.1601,128.48,128.0907,2275565,0,1
2018-10-15,126.76,127.23,125.39,125.86,125.4787,2069982,0,1
2018-10-12,129.28,130.25,124.68,126.32,125.9373,3715528,0,1
2018-10-11,129.62,130.5299,127.65,128.08,127.692,3584721,0,1
2018-10-10,136.26,136.77,129.89,129.9,129.5064,5086200,0,1
2018-10-09,139.62,141.09,139.44,140.33,139.9048,1253062,0,1
2018-10-08,137.91,140.29,137.33,139.98,139.5559,1583748,0,1
2018-10-05,136.5,139.21,136.5,138.31,137.891,2395155,0,1
2018-10-04,140.82,141.93,135.95,137.14,136.7245,3668927,0,1
2018-10-03,145.01,146,143.21,143.29,142.8559,1252506,0,1
2018-10-02,145.4,146.23,144.11,144.31,143.8728,1670447,0,1
2018-10-01,145.78,147.2299,145.25,145.78,145.3383,1772744,0,1
2018-09-28,143.73,145.66,143.73,145.32,144.8797,1631700,0,1
2018-09-27,142.1,144.37,142.04,144.12,143.6834,1281838,0,1
2018-09-26,142.27,142.97,140.53,141.73,141.3006,1200789,0,1
2018-09-25,144.51,144.99,141.97,142.08,141.6495,1647311,0,1
2018-09-24,142.82,144.46,142.46,143.6,143.1649,1378908,0,1
