Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,120.16,121.94,120,120.79,120.79,1315938,0,1
2018-11-29,119.4,120.35,118.87,119.74,119.74,1109327,0,1
2018-11-28,118,120.53,116.97,120.16,120.16,1286527,0,1
2018-11-27,115.71,117.89,115.36,117.54,117.54,981827,0,1
2018-11-26,115.1,117,114.615,116.58,116.58,1272049,0,1
2018-11-23,112.6,113.72,112.02,113.14,113.14,573524,0,1
2018-11-21,112.47,114.928,112.47,113.09,113.09,1421208,0,1
2018-11-20,111.05,112.87,110.2601,111.62,111.62,1983751,0,1
2018-11-19,117.23,117.39,112.54,113.1,113.1,2037501,0,1
2018-11-16,118.65,120.99,115.555,116.95,116.95,2373234,0,1
2018-11-15,121.01,121.94,117.89,119.75,119.75,2799592,0,1
2018-11-14,123.01,125.18,121.41,121.93,121.93,1597976,0.32,1
2018-11-13,122.97,124.35,121.48,122.38,122.0597,1210200,0,1
2018-11-12,123.87,124.26,121.84,122.25,121.93,1562531,0,1
2018-11-09,124.95,125.97,123.81,124.04,123.7153,1676183,0,1
2018-11-08,128.25,128.69,124.72,125.43,125.1017,1678625,0,1
2018-11-07,126.53,128.68,126.31,128.38,128.044,1839759,0,1
2018-11-06,126.22,127.89,124.61,125.03,124.7027,2118288,0,1
2018-11-05,126.59,127.6,125.04,126.89,126.5579,1750605,0,1
2018-11-02,128.28,128.85,125.41,126.51,126.1788,1612280,0,1
2018-11-01,125.66,127.86,124.57,127.62,127.2859,1912530,0,1
2018-10-31,125.87,126.73,125.1501,125.43,125.1017,2391783,0,1
2018-10-30,121.28,125.03,120.1524,124.49,124.1641,2452536,0,1
2018-10-29,122.22,125.45,119.215,121.73,121.4114,2884965,0,1
2018-10-26,122.66,125.44,118.54,120.5,120.1846,5645279,0,1
2018-10-25,115.32,119.1,113.85,117.57,117.2623,4111621,0,1
2018-10-24,118,119.39,113.87,114.22,113.921,2924127,0,1
2018-10-23,116.06,117.53,113.685,117.21,116.9032,2195753,0,1
2018-10-22,119.17,119.9299,117.42,118.5,118.1898,1279839,0,1
2018-10-19,119.17,119.58,117.33,118.32,118.0103,1499353,0,1
2018-10-18,119.82,120.5,117.56,118.44,118.13,1792644,0,1
2018-10-17,121.46,121.5847,118.87,120.55,120.2344,1728563,0,1
2018-10-16,118.83,122.1,118.56,121.91,121.5909,1639927,0,1
2018-10-15,118.23,119.61,116.45,118.55,118.2397,1315014,0,1
2018-10-12,118.86,119.69,115.86,118.56,118.2497,1619551,0,1
2018-10-11,117.13,118.47,114.24,115.69,115.3872,2086877,0,1
2018-10-10,121.03,121.3,116.7,116.76,116.4544,1902427,0,1
2018-10-09,122.13,123.43,121.135,121.36,121.0423,1306817,0,1
2018-10-08,123.13,124.15,121.02,122.59,122.2691,1520167,0,1
2018-10-05,127.1,127.37,122.0901,123.73,123.4061,2002628,0,1
2018-10-04,129.13,129.3,126.73,126.94,126.6077,1563407,0,1
2018-10-03,128.14,129.47,126.6,129.37,129.0314,1209081,0,1
2018-10-02,130.39,130.615,128.79,128.96,128.6224,1118722,0,1
2018-10-01,131.44,131.92,130.14,130.32,129.9789,1358019,0,1
2018-09-28,130.95,131.6,129.69,130.48,130.1385,1281503,0,1
2018-09-27,132,132.96,131.22,131.5,131.1558,1103923,0,1
2018-09-26,131.07,132.99,131.07,131.64,131.2954,2008594,0,1
2018-09-25,132.52,132.57,130.45,130.78,130.4377,1411343,0,1
2018-09-24,132.94,133.29,130.92,132.21,131.8639,1935200,0,1
2018-09-21,134.99,135.69,133.55,133.73,133.38,2440124,0,1
