Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,9.37,9.48,9.36,9.41,9.41,36264784,0,1
2018-11-29,9.37,9.44,9.26,9.37,9.37,29207626,0,1
2018-11-28,9.27,9.44,9.17,9.41,9.41,33199483,0,1
2018-11-27,9.37,9.43,9.25,9.28,9.28,34283203,0,1
2018-11-26,9.23,9.53,9.17,9.4,9.4,46304425,0,1
2018-11-23,9.07,9.22,9.03,9.13,9.13,13520848,0,1
2018-11-21,9.05,9.2,8.98,9.11,9.11,25882740,0,1
2018-11-20,9.1,9.22,9.01,9.06,9.06,35160306,0,1
2018-11-19,9.02,9.36,8.96,9.25,9.25,56292462,0,1
2018-11-16,9.28,9.31,8.98,9.05,9.05,54582518,0,1
2018-11-15,9.5,9.53,9.12,9.31,9.31,57170119,0,1
2018-11-14,9.63,9.6658,9.43,9.54,9.54,46677594,0,1
2018-11-13,9.53,9.67,9.47,9.54,9.54,33097995,0,1
2018-11-12,9.38,9.58,9.37,9.49,9.49,36317186,0,1
2018-11-09,9.38,9.8,9.27,9.38,9.38,52203593,0,1
2018-11-08,9.58,9.65,9.44,9.46,9.46,55810120,0,1
2018-11-07,9.6,9.6,9.45,9.6,9.6,37347419,0,1
2018-11-06,9.46,9.57,9.41,9.54,9.54,40928647,0,1
2018-11-05,9.38,9.57,9.35,9.53,9.53,41274267,0,1
2018-11-02,9.36,9.45,9.26,9.38,9.38,48499166,0,1
2018-11-01,9.54,9.55,9.26,9.29,9.29,59794356,0,1
2018-10-31,9.62,9.67,9.43,9.55,9.55,68507097,0,1
2018-10-30,9.31,9.56,9.27,9.46,9.46,58061997,0,1
2018-10-29,9.36,9.59,9.17,9.28,9.28,92275144,0,1
2018-10-26,8.96,9.06,8.86,8.98,8.98,100639822,0,1
2018-10-25,8.52,9,8.46,8.99,8.99,90399170,0,1
2018-10-24,8.5,8.595,8.17,8.18,8.18,58895107,0,1
2018-10-23,8.3,8.64,8.23,8.59,8.59,55443298,0,1
2018-10-22,8.38,8.45,8.27,8.41,8.41,39803505,0.15,1
2018-10-19,8.32,8.525,8.19,8.5,8.3511,59831126,0,1
2018-10-18,8.74,8.76,8.5,8.51,8.3609,59669220,0,1
2018-10-17,8.8,8.86,8.64,8.76,8.6065,48795137,0,1
2018-10-16,8.87,8.89,8.73,8.8,8.6458,36771962,0,1
2018-10-15,8.67,8.85,8.66,8.81,8.6556,40183227,0,1
2018-10-12,8.95,8.95,8.55,8.64,8.4886,59308503,0,1
2018-10-11,8.82,8.99,8.76,8.81,8.6556,66170847,0,1
2018-10-10,8.95,8.98,8.81,8.82,8.6654,54104073,0,1
2018-10-09,9.23,9.31,8.95,8.95,8.7932,58356912,0,1
2018-10-08,9.1,9.28,9.09,9.26,9.0977,43657683,0,1
2018-10-05,9.15,9.22,9.1,9.12,8.9602,36952234,0,1
2018-10-04,9.13,9.22,9.09,9.15,8.9897,38889619,0,1
2018-10-03,9.27,9.31,9.13,9.13,8.97,47023058,0,1
2018-10-02,9.27,9.34,9.18,9.2,9.0388,41806359,0,1
2018-10-01,9.43,9.44,9.3,9.32,9.1567,44864717,0,1
2018-09-28,9.22,9.28,9.09,9.25,9.0879,30987233,0,1
2018-09-27,9.3,9.33,9.2,9.23,9.0683,57272192,0,1
2018-09-26,9.38,9.41,9.27,9.27,9.1076,58597487,0,1
2018-09-25,9.53,9.56,9.37,9.39,9.2255,44406116,0,1
2018-09-24,9.78,9.85,9.52,9.59,9.422,43170827,0,1
2018-09-21,9.84,9.94,9.78,9.85,9.6774,74488637,0,1
2018-09-20,9.83,9.93,9.71,9.81,9.6381,46314358,0,1
2018-09-19,9.61,9.83,9.61,9.78,9.6086,40111485,0,1
2018-09-18,9.54,9.61,9.48,9.58,9.4121,57055398,0,1
2018-09-17,9.435,9.595,9.43,9.55,9.3827,29544428,0,1
2018-09-14,9.38,9.48,9.36,9.45,9.2844,30013336,0,1
2018-09-13,9.38,9.41,9.31,9.37,9.2058,29315671,0,1
2018-09-12,9.31,9.42,9.28,9.34,9.1763,25450013,0,1
2018-09-11,9.35,9.36,9.22,9.31,9.1469,27158381,0,1
2018-09-10,9.31,9.49,9.3,9.38,9.2156,30419066,0,1
2018-09-07,9.41,9.49,9.25,9.27,9.1076,51229915,0,1
2018-09-06,9.48,9.55,9.4,9.43,9.2648,29519107,0,1
2018-09-05,9.47,9.55,9.32,9.49,9.3237,44561879,0,1
2018-09-04,9.53,9.58,9.36,9.47,9.3041,54111109,0,1
2018-08-31,9.64,9.68,9.4,9.48,9.3139,76424884,0,1
2018-08-30,9.87,9.915,9.67,9.7,9.53,48539347,0,1
2018-08-29,10.01,10.02,9.9,9.97,9.7953,37336431,0,1
2018-08-28,10.08,10.09,9.95,10.01,9.8346,33845494,0,1
2018-08-27,9.75,10.04,9.73,9.99,9.8149,49769258,0,1
2018-08-24,9.65,9.7,9.61,9.68,9.5104,18380040,0,1
2018-08-23,9.67,9.69,9.58,9.63,9.4612,31511844,0,1
2018-08-22,9.79,9.82,9.68,9.69,9.5202,30803675,0,1
2018-08-21,9.77,9.9,9.69,9.86,9.6872,46413897,0,1
2018-08-20,9.56,9.74,9.56,9.72,9.5497,25252486,0,1
2018-08-17,9.53,9.6,9.46,9.55,9.3827,32742936,0,1
2018-08-16,9.5,9.6,9.49,9.51,9.3434,28857667,0,1
2018-08-15,9.46,9.5,9.35,9.45,9.2844,36298597,0,1
2018-08-14,9.51,9.615,9.45,9.5,9.3335,37657351,0,1
2018-08-13,9.74,9.75,9.42,9.46,9.2942,66586182,0,1
2018-08-10,9.91,9.91,9.72,9.74,9.5693,39180474,0,1
2018-08-09,10.06,10.07,9.9,9.91,9.7363,35682617,0,1
2018-08-08,10.05,10.1,10.04,10.05,9.8739,22601602,0,1
2018-08-07,10.04,10.1,10.02,10.08,9.9034,27961231,0,1
2018-08-06,10,10.05,9.97,10.03,9.8542,22247882,0,1
2018-08-03,9.93,10.06,9.93,10.04,9.8641,25925122,0,1
2018-08-02,9.9,9.98,9.84,9.92,9.7462,40318865,0,1
2018-08-01,10.06,10.0785,9.82,9.9,9.7265,44126692,0,1
2018-07-31,10.11,10.11,10,10.04,9.8641,38026871,0,1
2018-07-30,9.96,10.1,9.93,10.07,9.8935,35877009,0,1
2018-07-27,9.96,10.05,9.91,9.93,9.756,46178701,0,1
2018-07-26,10.14,10.16,9.84,9.89,9.7167,103893039,0,1
2018-07-25,10.32,10.57,10.12,10.52,10.3357,92610535,0,1
2018-07-24,10.51,10.74,10.5,10.57,10.3848,47302950,0,1
2018-07-23,10.56,10.57,10.42,10.47,10.2865,34941983,0,1
2018-07-20,10.68,10.72,10.51,10.56,10.375,41673254,0.15,1
2018-07-19,10.89,10.9,10.77,10.82,10.4815,40308773,0,1
2018-07-18,10.85,10.895,10.81,10.87,10.5299,36420018,0,1
2018-07-17,10.8,10.9,10.8,10.86,10.5203,37584265,0,1
2018-07-16,10.95,10.97,10.76,10.85,10.5106,46156833,0,1
2018-07-13,11.02,11.05,10.91,10.98,10.6365,36567189,0,1
2018-07-12,11.1,11.14,11,11.05,10.7043,27025237,0,1
2018-07-11,11.15,11.17,11.05,11.07,10.7237,30030119,0,1
2018-07-10,11.2,11.26,11.17,11.25,10.8981,21231537,0,1
2018-07-09,11.1,11.26,11.03,11.2,10.8496,23916802,0,1
2018-07-06,11.04,11.1,10.92,11.06,10.714,25671874,0,1
2018-07-05,11.1,11.14,11.02,11.05,10.7043,32008544,0,1
2018-07-03,11.1,11.15,10.94,10.99,10.6462,16544777,0,1
2018-07-02,11.02,11.105,10.91,11.1,10.7528,37892751,0,1
2018-06-29,11.32,11.37,11.03,11.07,10.7237,44718473,0,1
2018-06-28,11.37,11.4,11.15,11.28,10.9271,43836444,0,1
2018-06-27,11.54,11.64,11.4,11.42,11.0627,27240781,0,1
2018-06-26,11.56,11.63,11.49,11.52,11.1596,36627672,0,1
2018-06-25,11.63,11.67,11.38,11.5,11.1402,36101893,0,1
2018-06-22,11.75,11.87,11.62,11.65,11.2855,38207303,0,1
2018-06-21,11.8,11.8299,11.64,11.71,11.3437,33316702,0,1
