Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,36.74,38,36.66,37.95,37.95,18108431,0,1
2018-11-29,36.79,36.955,36.3,36.76,36.76,8251195,0,1
2018-11-28,36.76,37,35.94,36.95,36.95,12439913,0,1
2018-11-27,37.27,37.55,36.21,36.69,36.69,25559053,0,1
2018-11-26,36.14,38.75,36.05,37.65,37.65,30361809,0,1
2018-11-23,35.33,36.11,35.2,35.93,35.93,4231366,0,1
2018-11-21,35.3,35.8561,34.97,35.55,35.55,6555943,0,1
2018-11-20,35.1,35.62,34.85,35.09,35.09,10333222,0,1
2018-11-19,35.75,35.965,35.41,35.68,35.68,11595802,0,1
2018-11-16,35.32,35.79,35.015,35.75,35.75,11681458,0,1
2018-11-15,34.91,35.59,33.85,35.55,35.55,17675609,0,1
2018-11-14,36.2,36.32,34.98,35.23,35.23,10883692,0,1
2018-11-13,35.92,36.6507,35.71,35.93,35.93,8593970,0,1
2018-11-12,35.64,36.04,35.45,35.69,35.69,10062122,0,1
2018-11-09,36.12,36.44,35.35,35.7,35.7,9037534,0,1
2018-11-08,36.41,36.89,36.29,36.57,36.57,10807866,0,1
2018-11-07,36.73,37,36.37,36.88,36.88,9457803,0,1
2018-11-06,36.18,36.56,36.09,36.46,36.46,11188012,0,1
2018-11-05,36,36.39,35.845,36.25,36.25,11477057,0,1
2018-11-02,36.8,37.28,35.555,36.03,36.03,13268329,0,1
2018-11-01,36.24,36.69,35.695,36.47,36.47,15233151,0,1
2018-10-31,35.97,37.05,35.4,36.59,36.59,37775234,0,1
2018-10-30,33.18,33.92,33.02,33.54,33.54,16287542,0,1
2018-10-29,34.11,34.3,32.73,33.13,33.13,19548113,0,1
2018-10-26,31.68,32.88,31.63,32.65,32.65,18038610,0,1
2018-10-25,31.19,32.2,31.0662,32,32,16763615,0,1
2018-10-24,31.79,32.06,30.56,30.56,30.56,18781409,0,1
2018-10-23,30.94,32.4,30.89,32.12,32.12,16580792,0,1
2018-10-22,31.45,31.59,31.03,31.34,31.34,11052894,0,1
2018-10-19,30.72,31.47,30.57,31.2,31.2,12754609,0,1
2018-10-18,31.71,31.81,30.965,31.08,31.08,14349210,0,1
2018-10-17,32.06,32.29,31.58,31.93,31.93,9098954,0,1
2018-10-16,32.46,32.54,31.86,32.34,32.34,11876965,0,1
2018-10-15,31.69,32.45,31.67,32.12,32.12,13621121,0,1
2018-10-12,32.74,32.74,31.49,31.79,31.79,14950768,0,1
2018-10-11,32.61,33.5,32.19,32.31,32.31,18015289,0,1
2018-10-10,32.6,32.96,32.12,32.6,32.6,17224282,0,1
2018-10-09,34,34,32.59,32.65,32.65,19919872,0,1
2018-10-08,33.82,34.27,33.75,34.25,34.25,8405686,0,1
2018-10-05,34.41,34.51,33.97,34.12,34.12,10748613,0,1
2018-10-04,34.11,34.66,33.95,34.25,34.25,18912630,0,1
2018-10-03,35.02,35.05,33.77,34,34,28301834,0,1
2018-10-02,33.95,34.34,33.2,33.3,33.3,22731155,0,1
2018-10-01,34.3,34.54,33.99,34.2,34.2,13746055,0,1
2018-09-28,33.57,33.69,33.29,33.67,33.67,8836652,0,1
2018-09-27,33.51,33.75,33.28,33.67,33.67,11659261,0,1
2018-09-26,33.49,34,33.345,33.73,33.73,18074547,0,1
2018-09-25,34.48,34.68,33.5,33.55,33.55,14805269,0,1
2018-09-24,35.04,35.38,34.45,34.75,34.75,9971007,0,1
2018-09-21,36.31,36.49,35.16,35.32,35.32,27172393,0,1
2018-09-20,35.91,36.45,35.74,36.08,36.08,11394240,0,1
2018-09-19,35.36,35.935,35.3,35.73,35.73,10938208,0,1
2018-09-18,35.17,35.23,34.59,35.1,35.1,8868099,0,1
2018-09-17,34.5,35.22,34.41,35.02,35.02,10905334,0,1
2018-09-14,34.47,34.75,34.33,34.63,34.63,13652800,0,1
2018-09-13,34.26,34.48,33.9,34.25,34.25,14848695,0,1
2018-09-12,33.7,34.49,33.7,34.06,34.06,9342305,0,1
2018-09-11,33.92,33.96,33.4364,33.77,33.77,8521324,0,1
2018-09-10,33.92,34.25,33.83,33.87,33.87,10675275,0,1
2018-09-07,34.35,34.36,33.61,33.91,33.91,13209290,0,1
2018-09-06,35,35.265,34.38,34.38,34.38,12913568,0.38,1
2018-09-05,35.6,35.6,35.05,35.29,34.9042,12763991,0,1
2018-09-04,36,36,35.32,35.6,35.2108,12821636,0,1
2018-08-31,36.2,36.3,35.78,36.05,35.6559,13713325,0,1
2018-08-30,37,37.06,36.19,36.36,35.9625,9765390,0,1
2018-08-29,37.39,37.42,36.8842,37.12,36.7142,7223680,0,1
2018-08-28,37.85,37.86,36.925,37.32,36.912,9638814,0,1
2018-08-27,36.29,37.785,36.23,37.69,37.278,17968003,0,1
2018-08-24,35.95,36.1,35.76,35.95,35.557,7277974,0,1
2018-08-23,35.95,36.17,35.63,35.67,35.2801,8742432,0,1
2018-08-22,36.6,36.7199,36.095,36.13,35.735,8871210,0,1
2018-08-21,36.75,37.07,36.74,36.91,36.5065,10048476,0,1
2018-08-20,36.63,36.95,36.36,36.77,36.368,7072818,0,1
2018-08-17,36.08,36.57,35.91,36.38,35.9823,7796688,0,1
2018-08-16,36.18,36.68,36.07,36.29,35.8933,9414171,0,1
2018-08-15,35.82,35.95,35.21,35.94,35.5471,10720393,0,1
2018-08-14,36.25,36.54,36.17,36.2,35.8043,7326117,0,1
2018-08-13,36.59,36.67,35.8746,36.16,35.7647,15575398,0,1
2018-08-10,37.32,37.36,36.47,36.59,36.19,9326184,0,1
2018-08-09,37.67,38.32,37.32,37.51,37.0999,12413781,0,1
2018-08-08,37.61,37.93,37.285,37.66,37.2483,6760543,0,1
2018-08-07,37.7,37.87,37.5,37.58,37.1692,7652087,0,1
2018-08-06,37.57,37.69,37.35,37.6,37.189,5266992,0,1
2018-08-03,36.65,37.77,36.65,37.73,37.3175,9375062,0,1
2018-08-02,37,37.05,36.345,36.62,36.2197,13066127,0,1
2018-08-01,37.89,37.89,36.88,37.14,36.734,11179703,0,1
2018-07-31,37.79,38.19,37.7,37.91,37.4956,16479316,0,1
2018-07-30,37.66,38.1,37.45,37.67,37.2582,9460554,0,1
2018-07-27,36.83,37.64,36.7743,37.53,37.1197,12630087,0,1
2018-07-26,37.07,37.55,36.6,36.75,36.3482,16719360,0,1
2018-07-25,37.45,37.9,36.26,37.65,37.2384,42414903,0,1
2018-07-24,39.87,39.98,39.26,39.48,39.0484,10760097,0,1
2018-07-23,39.2,39.38,38.95,39.27,38.8407,7687705,0,1
2018-07-20,39.07,39.415,38.86,39.4,38.9693,10962057,0,1
2018-07-19,39.58,39.81,39.18,39.31,38.8803,6778745,0,1
2018-07-18,40.06,40.29,39.56,39.87,39.4341,9180945,0,1
2018-07-17,39.5,40.5,39.49,40.03,39.5924,8806133,0,1
2018-07-16,39.31,39.595,39.17,39.56,39.1275,7466380,0,1
2018-07-13,39.11,39.41,38.93,39.36,38.9297,5152759,0,1
2018-07-12,39.6,39.64,39.01,39.27,38.8407,8250386,0,1
2018-07-11,39.5,39.6899,39.18,39.3,38.8704,8840023,0,1
2018-07-10,39.84,40.31,39.605,40.09,39.6517,10140127,0,1
2018-07-09,39.38,40,39.05,39.75,39.3154,8148976,0,1
2018-07-06,39.38,39.45,38.7,39.16,38.7319,7897112,0,1
2018-07-05,39.61,40,39.21,39.47,39.0385,8351381,0,1
2018-07-03,39.71,39.8201,38.92,38.97,38.544,4975776,0,1
2018-07-02,39.08,39.56,38.75,39.5,39.0682,8608074,0,1
2018-06-29,40.67,40.8,39.37,39.4,38.9693,14054913,0,1
2018-06-28,40.45,40.67,39.66,40.52,40.077,10173879,0,1
2018-06-27,41,41.32,40.35,40.37,39.9287,9542833,0,1
2018-06-26,40.55,41.32,40.49,41.01,40.5617,12818919,0,1
2018-06-25,41,41.2,40.21,40.61,40.166,10614782,0,1
2018-06-22,41.41,41.75,40.94,41.25,40.7991,9565924,0,1
2018-06-21,41.14,41.84,40.805,41.12,40.6705,13913342,0,1
2018-06-20,42.57,42.83,41.79,41.95,41.4914,9536074,0,1
2018-06-19,43.07,43.19,41.88,42.26,41.798,18272914,0,1
2018-06-18,43.6,44.135,43.365,43.95,43.4695,10806701,0,1
2018-06-15,43.28,45,42.76,43.91,43.43,23838541,0,1
2018-06-14,44.39,44.4,43.42,43.57,43.0937,10109160,0,1
2018-06-13,44.12,44.46,43.83,44.45,43.9641,11233122,0,1
2018-06-12,44.86,44.95,44.1632,44.18,43.697,9933236,0,1
2018-06-11,44.3,44.89,44.29,44.85,44.3597,14061378,0,1
2018-06-08,43.98,44.33,43.92,44.25,43.7663,8549271,0,1
2018-06-07,43.51,44.37,43.51,44.01,43.5289,15330902,0.38,1
2018-06-06,43.66,44,43.36,43.93,43.0778,18026111,0,1
2018-06-05,43.61,43.77,43.345,43.41,42.5679,12018545,0,1
2018-06-04,43.24,43.85,43.16,43.78,42.9307,12938986,0,1
2018-06-01,42.98,43.315,42.33,43.2,42.362,24461816,0,1
2018-05-31,41.65,42.77,41.27,42.7,41.8717,59937479,0,1
2018-05-30,37.5,37.87,37.48,37.83,37.0961,11821553,0,1
2018-05-29,38.01,38.05,37.27,37.38,36.6549,12342575,0,1
2018-05-25,38.25,38.4,38.1101,38.3,37.557,5247329,0,1
2018-05-24,38,38.59,37.895,38.39,37.6453,8466101,0,1
2018-05-23,38.18,38.19,37.46,37.85,37.1157,8794265,0,1
2018-05-22,38.58,38.77,38.255,38.28,37.5374,6990449,0,1
2018-05-21,38.16,38.335,37.98,38.09,37.3511,6227678,0,1
2018-05-18,38.27,38.4,37.72,37.79,37.0569,5576296,0,1
2018-05-17,37.97,38.475,37.7527,38.3,37.557,9572739,0,1
2018-05-16,36.97,38.04,36.9668,38.03,37.2923,8193850,0,1
2018-05-15,36.4,36.96,36.4,36.94,36.2234,6506941,0,1
2018-05-14,37.06,37.07,36.56,36.63,35.9194,6393345,0,1
2018-05-11,37.11,37.25,36.78,36.89,36.1744,4856741,0,1
2018-05-10,36.46,37.22,36.42,37.16,36.4391,6814738,0,1
2018-05-09,36.39,36.74,35.965,36.27,35.5664,7609467,0,1
2018-05-08,36.38,36.61,36.11,36.33,35.6252,8364406,0,1
2018-05-07,36.63,36.77,36.285,36.34,35.635,9197419,0,1
2018-05-04,36.15,36.78,35.87,36.71,35.9979,6639004,0,1
2018-05-03,35.99,36.17,35.28,36.15,35.4487,15742629,0,1
2018-05-02,36.48,36.7,36.15,36.2,35.4978,9440678,0,1
2018-05-01,36.76,36.96,35.89,36.42,35.7135,11381238,0,1
2018-04-30,37.88,38.07,36.74,36.74,36.0273,11967311,0,1
2018-04-27,38.16,38.21,37.49,37.65,36.9196,8660356,0,1
2018-04-26,37.59,38.28,36.83,38.25,37.508,16562383,0,1
2018-04-25,37.73,38.2,37.5,38.11,37.3707,7892957,0,1
2018-04-24,37.93,38.17,37.54,37.93,37.1942,9285765,0,1
2018-04-23,37.49,37.96,37.43,37.69,36.9589,7308626,0,1
2018-04-20,37.75,38.01,37.35,37.61,36.8804,8698518,0,1
2018-04-19,38.71,38.91,37.425,37.77,37.0373,10230013,0,1
2018-04-18,39.24,39.67,38.9,38.93,38.1748,6095373,0,1
2018-04-17,39.64,39.65,39.08,39.22,38.4592,5460704,0,1
2018-04-16,38.97,39.419,38.67,39.17,38.4101,5064868,0,1
2018-04-13,39.12,39.38,38.565,38.73,37.9787,6118634,0,1
2018-04-12,39.27,39.49,38.77,38.83,38.0767,7896394,0,1
2018-04-11,38.72,39.29,38.49,39,38.2434,8388853,0,1
2018-04-10,38.6,39.35,38.39,39.07,38.3121,15547390,0,1
2018-04-09,38.28,38.5,37.81,37.83,37.0961,13430901,0,1
2018-04-06,37.96,38.16,37.2,37.68,36.949,14731498,0,1
2018-04-05,38.25,38.48,37.89,38,37.2628,11885381,0,1
2018-04-04,36.01,38.13,35.95,38.03,37.2923,17014051,0,1
2018-04-03,36.8,37.35,36.39,36.94,36.2234,15833314,0,1
2018-04-02,36.1,36.26,35.23,35.76,35.0663,13909058,0,1
2018-03-29,35.83,36.525,35.69,36.34,35.635,13049780,0,1
2018-03-28,35.01,35.79,34.9,35.47,34.7819,17905723,0,1
2018-03-27,36.02,36.03,34.5,34.87,34.1936,17393191,0,1
2018-03-26,35.94,36.05,35.285,35.99,35.2918,9251162,0,1
2018-03-23,36.42,36.59,35.13,35.17,34.4877,12939065,0,1
2018-03-22,37.23,37.33,36.27,36.35,35.6448,12455805,0,1
2018-03-21,37.16,38.02,37.1,37.58,36.851,11412099,0,1
2018-03-20,37.13,37.26,36.74,36.89,36.1744,8448931,0,1
2018-03-19,37.93,37.98,36.54,37.01,36.292,12021583,0,1
2018-03-16,37.92,38.15,37.69,37.94,37.204,10016932,0,1
2018-03-15,37.97,37.99,37.59,37.85,37.1157,8078386,0,1
2018-03-14,38.48,38.61,37.65,37.69,36.9589,13293352,0,1
2018-03-13,37.97,38.5399,37.87,38.01,37.2726,12346062,0,1
2018-03-12,37.87,37.99,37.58,37.83,37.0961,11340349,0,1
2018-03-09,37.85,38.08,37.66,37.84,37.1059,12251575,0,1
2018-03-08,37.64,37.93,37.22,37.84,37.1059,12859595,0.38,1
2018-03-07,37.39,37.84,37.16,37.74,36.6399,15052041,0,1
2018-03-06,38.02,38.0799,37.54,37.93,36.8244,12168468,0,1
2018-03-05,37.33,37.9,37.11,37.74,36.6399,12011053,0,1
2018-03-02,37.47,37.61,36.59,37.43,36.339,24060510,0,1
2018-03-01,39.59,39.59,37.41,37.79,36.6885,26183081,0,1
2018-02-28,39.62,40.15,39.315,39.35,38.203,22813353,0,1
2018-02-27,41.49,41.54,40.12,40.17,38.9991,12628018,0,1
2018-02-26,41.08,41.62,40.75,41.54,40.3292,8665406,0,1
2018-02-23,41.05,41.14,40.58,40.91,39.7175,6261005,0,1
2018-02-22,40.66,41.2,40.5,40.91,39.7175,8777991,0,1
2018-02-21,40.75,41.3,40.5101,40.56,39.3777,9074741,0,1
2018-02-20,40.9,41.33,40.59,40.77,39.5816,7359829,0,1
2018-02-16,41.85,42.28,41,41.09,39.8923,14348841,0,1
2018-02-15,42.06,42.21,41.395,41.85,40.6301,9455372,0,1
2018-02-14,41.03,41.91,40.93,41.81,40.5913,10257574,0,1
2018-02-13,41.7,42.07,41.37,41.4,40.1932,8924407,0,1
2018-02-12,41.95,42.62,41.61,42,40.7758,19333515,0,1
2018-02-09,41.16,41.97,40.23,41.46,40.2515,19549183,0,1
2018-02-08,42.46,42.71,40.74,40.75,39.5622,17724587,0,1
2018-02-07,41.8,43.56,41.65,42.39,41.1544,19349300,0,1
2018-02-06,40.06,42.23,40,41.86,40.6398,25944391,0,1
2018-02-05,40.98,41.67,39.51,39.54,38.3875,19385830,0,1
2018-02-02,42.22,42.27,40.85,41,39.8049,13808833,0,1
2018-02-01,42.12,42.6,41.95,42.43,41.1932,9623381,0,1
2018-01-31,42.78,42.95,42.14,42.41,41.1738,19650855,0,1
2018-01-30,42.83,43.22,42.52,42.7,41.4554,7488471,0,1
2018-01-29,43.47,43.78,42.9824,43.02,41.766,8020055,0,1
2018-01-26,43.32,43.565,42.99,43.49,42.2223,8262940,0,1
2018-01-25,44.46,44.48,42.975,43.16,41.9019,10843851,0,1
2018-01-24,43.5,44.4,43.45,44.16,42.8728,11263094,0,1
2018-01-23,43.34,43.44,42.905,43.38,42.1155,13876884,0,1
2018-01-22,43.16,43.42,42.82,43.29,42.0282,15218645,0,1
2018-01-19,44.05,44.09,43.04,43.15,41.8922,13522800,0,1
2018-01-18,44.18,44.19,43.64,43.86,42.5815,11672457,0,1
2018-01-17,44.01,44.27,43.4,44.03,42.7466,13713475,0,1
2018-01-16,45.1,45.52,43.75,44.19,42.9019,19941635,0,1
2018-01-12,44.15,44.7,43.66,44.07,42.7854,14151136,0,1
2018-01-11,43.28,44.27,43.155,44.19,42.9019,11110374,0,1
2018-01-10,43.84,44.14,42.61,43,41.7466,18140498,0,1
2018-01-09,44.31,44.59,43.74,44.05,42.766,7731258,0,1
2018-01-08,44.04,44.59,43.5201,44.22,42.9311,13023999,0,1
2018-01-05,44.5,44.64,43.96,44.01,42.7272,9510219,0,1
2018-01-04,43.09,44.25,43.01,44.14,42.8534,17159951,0,1
2018-01-03,42.21,42.95,42.2,42.82,41.5719,14550960,0,1
2018-01-02,41.24,41.87,41.15,41.8,40.5816,6924308,0,1
2017-12-29,41.52,41.5922,40.99,40.99,39.7952,6524865,0,1
2017-12-28,41.34,41.44,41.2,41.38,40.1738,4991515,0,1
2017-12-27,41.76,41.85,41.3,41.31,40.1059,4891982,0,1
2017-12-26,41.86,42.09,41.63,41.8,40.5816,3368917,0,1
2017-12-22,42.23,42.31,41.81,42.02,40.7952,4889285,0,1
2017-12-21,42.69,42.75,42.13,42.16,40.9311,10081994,0,1
2017-12-20,42.71,42.78,42.39,42.52,41.2806,7574907,0,1
2017-12-19,42.635,42.8,42.44,42.49,41.2515,13179940,0,1
2017-12-18,41.3,42.32,41.25,42.15,40.9214,22028243,0,1
2017-12-15,40.97,41.33,40.92,40.95,39.7564,22574658,0,1
2017-12-14,41.24,41.44,40.7,40.81,39.6204,9273702,0,1
2017-12-13,41.54,41.91,41.39,41.4,40.1932,7772364,0,1
2017-12-12,41.65,41.77,41.26,41.53,40.3195,8818913,0,1
2017-12-11,41.88,41.93,41.56,41.67,40.4554,14081123,0,1
2017-12-08,42.26,42.3,41.8448,42.02,40.7952,13630268,0,1
2017-12-07,41.71,42.39,41.54,42.02,40.7952,16443346,0.38,1
2017-12-06,42.57,42.69,42.14,42.15,40.5546,12377153,0,1
2017-12-05,43.01,43.06,42.52,42.8,41.18,11287042,0,1
2017-12-04,43.2,43.42,42.9153,43.05,41.4206,12838868,0,1
2017-12-01,43.19,43.25,41.87,42.79,41.1704,19298757,0,1
2017-11-30,44,44.53,42.7,43.09,41.4591,30874849,0,1
2017-11-29,45.1,45.35,43.79,43.81,42.1518,19410687,0,1
2017-11-28,44.35,45.08,44.1414,44.92,43.2198,10252010,0,1
2017-11-27,44.47,44.49,43.88,44.17,42.4982,8583390,0,1
2017-11-24,44.45,44.54,44.24,44.46,42.7772,3805890,0,1
2017-11-22,44.89,44.95,44.21,44.29,42.6136,9835484,0,1
