Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,5010,5150,4950,5150,5150,3408190,0,1
2018-11-29,5200,5220,5050,5050,5050,2800720,0,1
2018-11-28,5210,5250,5150,5170,5170,1031260,0,1
2018-11-27,5340,5340,5200,5210,5210,1322960,0,1
2018-11-26,5300,5310,5250,5250,5250,1328270,0,1
2018-11-23,5500,5550,5250,5250,5250,1845400,0,1
2018-11-21,5510,5550,5450,5550,5550,1954310,0,1
2018-11-20,5510,5640,5510,5550,5550,3085180,0,1
2018-11-19,5590,5600,5500,5600,5600,2018160,0,1
2018-11-16,5500,5620,5430,5590,5590,4789180,0,1
2018-11-15,5410,5490,5360,5490,5490,3652880,0,1
2018-11-14,5400,5500,5340,5400,5400,2882690,0,1
2018-11-13,5400,5500,5350,5400,5400,2696200,0,1
2018-11-12,5400,5600,5290,5490,5490,2859970,0,1
2018-11-09,5480,5650,5380,5440,5440,4992590,0,1
2018-11-08,5280,5460,5280,5460,5460,5303150,0,1
2018-11-07,5230,5250,5180,5250,5250,2603320,0,1
2018-11-06,5210,5270,5210,5220,5220,2252030,0,1
2018-11-05,5200,5280,5140,5200,5200,2491640,0,1
2018-11-02,5090,5340,5090,5190,5190,3060550,0,1
2018-11-01,5180,5180,5050,5080,5080,2863630,0,1
2018-10-31,5200,5200,5080,5080,5080,3359340,0,1
2018-10-30,4780,4990,4760,4950,4950,3172980,0,1
2018-10-29,4750,4800,4720,4760,4760,2639890,0,1
2018-10-26,4900,5050,4750,4750,4750,2573390,0,1
2018-10-25,4710,4950,4700,4900,4900,4694400,0,1
2018-10-24,5010,5090,5000,5000,5000,3624420,0,1
2018-10-23,5180,5220,5020,5050,5050,2489510,0,1
2018-10-22,5280,5320,5190,5220,5220,1575930,0,1
2018-10-19,5040,5350,5000,5280,5280,5114420,0,1
2018-10-18,5170,5180,5080,5100,5100,1551570,0,1
2018-10-17,5300,5320,5050,5170,5170,4971490,0,1
2018-10-16,5150,5280,5150,5250,5250,1663380,0,1
2018-10-15,5390,5390,5210,5210,5210,1851860,0,1
2018-10-12,5150,5330,5110,5330,5330,4512890,0,1
2018-10-11,5500,5600,5210,5210,5210,9300530,0,1
2018-10-10,5650,5790,5600,5600,5600,3491660,0,1
2018-10-09,5850,5890,5650,5650,5650,2735200,0,1
2018-10-08,5900,5930,5800,5820,5820,3607220,0,1
2018-10-05,5990,6000,5900,5900,5900,2518700,0,1
2018-10-04,5990,6040,5950,5990,5990,2254610,0,1
2018-10-03,6000,6040,5960,5970,5970,2913190,0,1
2018-10-02,6060,6120,5980,5990,5990,5229420,0,1
2018-10-01,6170,6190,6040,6060,6060,4112790,0,1
2018-09-28,6200,6230,6110,6130,6130,3441940,0,1
2018-09-27,6150,6280,6150,6160,6160,2752140,0,1
2018-09-26,6060,6310,6030,6150,6150,6890940,0,1
2018-09-25,6100,6100,6100,6100,6100,0,0,1
2018-09-24,6140,6150,6090,6100,6100,3440890,0,1
2018-09-21,6040,6140,6010,6100,6100,5913230,0,1
2018-09-20,6000,6030,5960,6000,6000,3092040,0,1
2018-09-19,5970,6060,5970,5980,5980,4035750,0,1
2018-09-18,5960,6070,5870,5970,5970,4001940,0,1
2018-09-17,6150,6150,5960,5960,5960,4757560,0,1
2018-09-14,6170,6190,6040,6110,6110,2887910,0,1
2018-09-13,6120,6200,6050,6150,6150,3510600,0,1
2018-09-12,6450,6490,6100,6180,6180,6996030,0,1
2018-09-11,5950,6310,5900,6310,6310,7389650,0,1
2018-09-10,5860,6000,5830,5900,5900,4653370,0,1
2018-09-07,5930,6010,5760,5890,5890,9682970,0,1
2018-09-06,6450,6540,6090,6090,6090,10330170,0,1
2018-09-05,6600,6750,6390,6500,6500,7711330,0,1
2018-09-04,6730,6910,6600,6600,6600,7995180,0,1
2018-08-31,6860,6900,6720,6790,6790,10002760,0,1
2018-08-30,7000,7000,6890,6890,6890,7030960,0,1
2018-08-29,6950,7080,6790,6990,6990,7492060,0,1
2018-08-28,6850,6990,6800,6900,6900,6571230,0,1
2018-08-27,6910,7000,6800,6800,6800,8318820,0,1
2018-08-24,6950,7050,6900,6900,6900,3556150,0,1
2018-08-23,7000,7060,6890,7000,7000,5624050,0,1
2018-08-22,7130,7210,7010,7010,7010,5783920,0,1
2018-08-21,7050,7210,7040,7130,7130,6324580,0,1
2018-08-20,6700,7120,6550,7120,7120,9295700,0,1
2018-08-17,6840,6850,6660,6670,6670,4974400,0,1
2018-08-16,6860,6950,6700,6700,6700,7875210,0,1
2018-08-15,7060,7200,6970,7000,7000,10771700,0,1
2018-08-14,7450,7560,7290,7290,7290,5434950,0,1
2018-08-13,7490,7580,7350,7400,7400,5029940,0,1
