Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,15.09,15.14,14.77,15,15,20963057,0,1
2018-11-29,15.4,15.42,15.1,15.12,15.12,10922008,0,1
2018-11-28,15.18,15.46,14.9,15.46,15.46,13439221,0,1
2018-11-27,14.79,15.06,14.76,15.06,15.06,7771920,0,1
2018-11-26,14.72,14.985,14.69,14.91,14.91,9953860,0,1
2018-11-23,14.56,14.715,14.49,14.54,14.54,2909396,0,1
2018-11-21,14.64,14.93,14.63,14.7,14.7,8652318,0,1
2018-11-20,14.6,14.8,14.405,14.53,14.53,11300698,0,1
2018-11-19,15.1,15.215,14.7,14.83,14.83,12707703,0,1
2018-11-16,15.28,15.35,15.1,15.2,15.2,11150637,0,1
2018-11-15,15.07,15.48,14.89,15.32,15.32,15279988,0,1
2018-11-14,15.48,15.675,15.11,15.15,15.15,16235387,0,1
2018-11-13,15.31,15.61,15.2446,15.34,15.34,9517002,0,1
2018-11-12,15.58,15.605,15.19,15.28,15.28,9571270,0,1
2018-11-09,16.13,16.195,15.565,15.72,15.72,10721490,0,1
2018-11-08,16.19,16.5187,16.15,16.25,16.25,7195475,0,1
2018-11-07,16.03,16.25,15.84,16.24,16.24,18460163,0,1
2018-11-06,15.93,16.07,15.83,15.88,15.88,13047271,0,1
2018-11-05,15.89,16.01,15.68,15.93,15.93,6268145,0,1
2018-11-02,15.83,16.095,15.7346,15.89,15.89,15140663,0,1
2018-11-01,15.24,15.8,15.24,15.8,15.8,6066828,0,1
2018-10-31,15.14,15.52,15.14,15.25,15.25,9547415,0,1
2018-10-30,14.57,14.94,14.51,14.93,14.93,8297060,0,1
2018-10-29,14.8,15.05,14.36,14.57,14.57,8024445,0,1
2018-10-26,14.97,14.98,14.476,14.63,14.63,10469596,0,1
2018-10-25,15.2,15.345,15.08,15.15,15.15,8175749,0,1
2018-10-24,15.63,15.795,15.06,15.09,15.09,8119527,0,1
2018-10-23,15.53,15.75,15.31,15.65,15.65,9081348,0,1
2018-10-22,15.54,15.89,15.52,15.84,15.84,7881611,0,1
2018-10-19,15.35,15.63,15.34,15.44,15.44,7652659,0,1
2018-10-18,15.4,15.53,15.1,15.33,15.33,8275157,0,1
2018-10-17,15.59,15.65,15.31,15.52,15.52,6231693,0,1
2018-10-16,15.45,15.54,15.27,15.51,15.51,6109287,0,1
2018-10-15,15.42,15.51,15.24,15.34,15.34,9344747,0,1
2018-10-12,14.92,15.46,14.89,15.42,15.42,16598883,0,1
2018-10-11,15.06,15.16,14.55,14.63,14.63,9075928,0,1
2018-10-10,15.65,15.77,15.09,15.11,15.11,10860910,0,1
2018-10-09,15.87,15.92,15.59,15.69,15.69,12074043,0,1
2018-10-08,16.07,16.15,15.86,15.89,15.89,8991801,0,1
2018-10-05,16.81,17.02,16.04,16.14,16.14,12794701,0,1
2018-10-04,16.79,17,16.78,16.85,16.85,10262764,0,1
2018-10-03,16.54,16.91,16.46,16.75,16.75,10580091,0,1
2018-10-02,16.14,16.63,16.14,16.53,16.53,9636512,0,1
2018-10-01,16.37,16.52,16.13,16.18,16.18,9808649,0,1
2018-09-28,16.25,16.43,16.17,16.31,16.31,12488021,0,1
2018-09-27,16.63,16.63,16.25,16.28,16.28,12514178,0,1
2018-09-26,16.59,16.72,16.495,16.51,16.51,8897925,0,1
2018-09-25,16.87,16.965,16.53,16.55,16.55,17845188,0,1
2018-09-24,17,17.025,16.86,16.92,16.92,7291291,0,1
2018-09-21,16.95,17.27,16.92,17.02,17.02,26709609,0,1
2018-09-20,16.7,16.98,16.68,16.87,16.87,8726258,0,1
2018-09-19,16.57,16.7,16.55,16.64,16.64,6871530,0,1
2018-09-18,16.31,16.68,16.265,16.55,16.55,6680150,0,1
2018-09-17,16.58,16.68,16.23,16.28,16.28,8686585,0,1
2018-09-14,16.55,16.66,16.475,16.58,16.58,8040336,0,1
2018-09-13,16.5,16.73,16.435,16.54,16.54,11155775,0,1
2018-09-12,16.39,16.47,16.25,16.4,16.4,5614502,0,1
2018-09-11,16.28,16.48,16.16,16.45,16.45,7953703,0.1125,1
2018-09-10,16.54,16.55,16.26,16.41,16.2985,12516304,0,1
2018-09-07,16.49,16.8,16.39,16.53,16.4177,10229145,0,1
2018-09-06,16.56,16.62,16.42,16.52,16.4078,8440744,0,1
2018-09-05,16.69,16.7,16.24,16.59,16.4773,13574042,0,1
2018-09-04,16.42,16.715,16.17,16.67,16.5568,10016429,0,1
2018-08-31,16.77,16.77,16.4,16.53,16.4177,10675722,0,1
2018-08-30,16.74,17.08,16.72,16.79,16.676,16188115,0,1
2018-08-29,17.03,17.59,16.65,16.71,16.5965,25335079,0,1
2018-08-28,16.53,16.8,16.51,16.74,16.6263,10950190,0,1
2018-08-27,16.37,16.64,16.26,16.45,16.3383,13743938,0,1
2018-08-24,16.16,16.31,15.98,16.2,16.09,9560979,0,1
2018-08-23,15.81,16.46,15.795,16.1,15.9906,15522386,0,1
2018-08-22,15.76,15.92,15.72,15.82,15.7125,8331011,0,1
2018-08-21,16.47,16.47,15.74,15.78,15.6728,16634003,0,1
2018-08-20,16.74,16.96,16.59,16.72,16.6064,9402443,0,1
2018-08-17,16.25,16.795,16.2075,16.67,16.5568,12400065,0,1
2018-08-16,16.12,16.39,16.025,16.27,16.1595,10664803,0,1
2018-08-15,15.86,16.09,15.79,16.03,15.9211,10275928,0,1
2018-08-14,15.7,16.02,15.7,15.99,15.8814,5182786,0,1
2018-08-13,15.85,15.97,15.66,15.66,15.5536,5039564,0,1
2018-08-10,15.98,16.085,15.78,15.85,15.7423,5037146,0,1
2018-08-09,16.14,16.225,16.06,16.11,16.0006,3503908,0,1
2018-08-08,16.14,16.29,16.07,16.16,16.0502,4663973,0,1
2018-08-07,16.05,16.23,16.02,16.13,16.0204,4396525,0,1
2018-08-06,15.93,16.045,15.85,16.01,15.9013,5224110,0,1
2018-08-03,15.61,15.9999,15.59,15.98,15.8715,7397198,0,1
2018-08-02,15.35,15.57,15.32,15.55,15.4444,7753072,0,1
2018-08-01,15.42,15.61,15.37,15.45,15.3451,5640157,0,1
2018-07-31,15.45,15.55,15.37,15.44,15.3351,6644722,0,1
2018-07-30,15.58,15.64,15.32,15.45,15.3451,4940037,0,1
2018-07-27,15.76,15.89,15.53,15.59,15.4841,5753435,0,1
2018-07-26,15.49,15.77,15.48,15.69,15.5834,4970568,0,1
2018-07-25,15.24,15.49,15.23,15.48,15.3749,6029225,0,1
2018-07-24,15.61,15.665,15.25,15.3,15.1961,7482036,0,1
2018-07-23,15.41,15.55,15.27,15.47,15.3649,13145564,0,1
2018-07-20,15.59,15.615,15.405,15.47,15.3649,6758414,0,1
2018-07-19,15.93,16.155,15.61,15.64,15.5338,11530110,0,1
2018-07-18,15.69,15.95,15.65,15.93,15.8218,6992383,0,1
2018-07-17,15.59,15.8,15.56,15.66,15.5536,8883040,0,1
2018-07-16,15.45,15.65,15.335,15.64,15.5338,10737970,0,1
2018-07-13,15.34,15.53,15.3,15.49,15.3848,8808167,0,1
2018-07-12,15.15,15.47,15.12,15.39,15.2855,4759838,0,1
2018-07-11,15.31,15.35,15.08,15.1,14.9974,8725672,0,1
2018-07-10,15.24,15.535,15.2,15.5,15.3947,12151360,0,1
2018-07-09,15.04,15.315,14.99,15.23,15.1266,6361978,0,1
2018-07-06,14.88,15.05,14.73,14.98,14.8782,5527834,0,1
2018-07-05,14.8,14.84,14.57,14.82,14.7193,9473771,0,1
2018-07-03,14.79,14.92,14.75,14.77,14.6697,4748199,0,1
2018-07-02,14.5,14.84,14.46,14.8,14.6995,7088704,0,1
2018-06-29,14.77,14.85,14.61,14.61,14.5108,11694527,0,1
2018-06-28,14.71,14.77,14.475,14.71,14.6101,14739087,0,1
2018-06-27,15.22,15.25,14.72,14.72,14.62,14323583,0,1
2018-06-26,15.11,15.55,15.06,15.17,15.067,7978554,0,1
2018-06-25,15.17,15.23,14.94,15.07,14.9676,15972807,0,1
2018-06-22,15.49,15.52,15.225,15.24,15.1365,9283172,0,1
2018-06-21,15.2,15.49,15.14,15.42,15.3153,14506745,0,1
2018-06-20,15.95,15.99,15.13,15.15,15.0471,14603833,0,1
2018-06-19,15.7,15.93,15.67,15.9,15.792,8432667,0,1
2018-06-18,15.8,16.06,15.685,15.91,15.8019,12084684,0,1
2018-06-15,15.8,15.95,15.62,15.95,15.8417,25030367,0,1
2018-06-14,15.87,16.12,15.75,15.82,15.7125,11926626,0,1
