Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,143.3,143.7,140.735,142.95,142.95,2183018,0,1
2018-11-29,143.86,145.14,142.29,143.13,143.13,905039,0,1
2018-11-28,141.34,143.75,140.42,143.6,143.6,1107928,0,1
2018-11-27,145.1,145.71,139.15,140.78,140.78,1538595,0,1
2018-11-26,146.26,147.46,144.48,145.76,145.76,914420,0,1
2018-11-23,144.09,146.67,144.05,145.17,145.17,334864,0,1
2018-11-21,146.45,147.24,144.28,144.79,144.79,899809,0.685,1
2018-11-20,145.97,146.91,143.96,146.49,145.8002,955066,0,1
2018-11-19,150.78,151.1,147.15,148.1,147.4026,1441209,0,1
2018-11-16,150.19,152.46,149.81,150.91,150.1994,790630,0,1
2018-11-15,148.1,151.57,147.47,151.03,150.3188,1130923,0,1
2018-11-14,151.53,152.5,148.61,149.41,148.7065,975133,0,1
2018-11-13,150.27,152.48,149.07,150.43,149.7217,1269581,0,1
2018-11-12,153.28,153.28,148.51,148.7,147.9998,723707,0,1
2018-11-09,151.05,153.77,150.46,153.14,152.4189,638438,0,1
2018-11-08,152.95,153.1,150.12,151.51,150.7966,684553,0,1
2018-11-07,151.19,153.12,148.39,153.09,152.3691,1282204,0,1
2018-11-06,149.48,152.98,149.23,150.56,149.8511,1140574,0,1
2018-11-05,147.83,150.3,145.84,149.55,148.8458,1979479,0,1
2018-11-02,150.57,151.33,146.81,147.03,146.3377,1578642,0,1
2018-11-01,149.75,151.57,148.61,150.01,149.3036,1355210,0,1
2018-10-31,152.33,155.01,148.61,148.71,148.0098,1486394,0,1
2018-10-30,146.19,151.11,143.16,150.85,150.1397,1855409,0,1
2018-10-29,162.76,163.03,145.2,146.69,145.9993,1918351,0,1
2018-10-26,158.61,161.93,156.11,160.84,160.0827,1338993,0,1
2018-10-25,162.78,163.86,159.4,161.03,160.2718,1167520,0,1
2018-10-24,169.13,169.68,161.71,162.2,161.4362,1222232,0,1
2018-10-23,168.73,172.87,168.35,169.11,168.3137,1396619,0,1
2018-10-22,169.77,172.07,168.09,171.69,170.8816,1297395,0,1
2018-10-19,170.8,170.8,168.27,168.93,168.1346,1143522,0,1
2018-10-18,171.04,172.75,169.32,170.7,169.8962,1140578,0,1
2018-10-17,172.99,173.28,169.56,171.57,170.7621,1759360,0,1
2018-10-16,174.27,175.5,170.57,173.53,172.7129,2450775,0,1
2018-10-15,164.17,174.29,163.42,173.25,172.4342,4727476,0,1
2018-10-12,156.43,157.22,151.88,154.87,154.1408,900998,0,1
2018-10-11,159.99,160.945,154.15,154.22,153.4938,847627,0,1
2018-10-10,165.99,165.99,160.33,160.65,159.8935,707223,0,1
2018-10-09,166.53,167.22,165.61,166.29,165.507,438686,0,1
2018-10-08,167.56,167.88,166,167.34,166.552,450109,0,1
2018-10-05,168.91,170.11,167.31,167.56,166.771,371069,0,1
2018-10-04,168.87,169.05,167.61,168.62,167.826,434980,0,1
2018-10-03,168.99,170.72,168.3,169.09,168.2938,603961,0,1
2018-10-02,168.99,169.615,168.26,168.5,167.7066,505060,0,1
2018-10-01,170,170.32,167.89,168.57,167.7763,327096,0,1
2018-09-28,167.34,169.98,167.11,169.21,168.4132,674066,0,1
2018-09-27,165.47,167.85,165.2,167.2,166.4127,704140,0,1
2018-09-26,165.17,166.79,164.68,165.25,164.4719,467860,0,1
2018-09-25,162.65,165.79,162.0039,164.81,164.034,512043,0,1
2018-09-24,163.38,163.64,161.35,162.26,161.496,478754,0,1
2018-09-21,163.15,165.53,163.08,164.28,163.5065,963233,0,1
2018-09-20,165.95,166.27,160.96,162.66,161.8941,1067609,0,1
2018-09-19,167.87,168.7,164.93,165.52,164.7406,430791,0,1
2018-09-18,166.84,168.52,165.94,168.03,167.2388,452586,0,1
2018-09-17,165.05,166.83,164.02,166.45,165.6662,618300,0,1
2018-09-14,163.78,165.08,163.24,164.72,163.9444,445718,0,1
2018-09-13,162.01,163.6,161.46,163.47,162.7003,425732,0,1
2018-09-12,160.75,161.825,160.25,161.68,160.9187,476579,0,1
2018-09-11,160.83,162.1,160.17,161.32,160.5604,361962,0,1
2018-09-10,160.57,161.92,160,161.18,160.421,682544,0,1
2018-09-07,161.8,161.8,159.7,160.18,159.4258,1033435,0,1
2018-09-06,162.45,163.73,161.46,161.52,160.7594,1004240,0.685,1
2018-09-05,162.35,163.86,161.98,162.68,161.2302,621396,0,1
2018-09-04,162.51,162.67,161.05,162.37,160.923,537272,0,1
2018-08-31,161.86,162.84,161.49,162.51,161.0617,589132,0,1
2018-08-30,164.59,165.105,162.09,162.47,161.0221,597455,0,1
2018-08-29,164.77,165.28,164.29,164.66,163.1926,338580,0,1
2018-08-28,165.31,165.99,163.92,164.66,163.1926,443113,0,1
2018-08-27,164.19,164.69,163.6,164.48,163.0142,516455,0,1
2018-08-24,162.65,163.37,161.68,163.23,161.7753,273468,0,1
2018-08-23,163.52,163.59,161.71,162.08,160.6356,671527,0,1
2018-08-22,165.38,165.84,163.39,163.7,162.2411,847186,0,1
2018-08-21,165.54,166.84,164.7,166.15,164.6693,708281,0,1
2018-08-20,165.66,166.2156,164.38,165.21,163.7377,502395,0,1
2018-08-17,163.73,165.62,163.32,164.66,163.1926,1260433,0,1
2018-08-16,163.4,164.29,163.03,163.86,162.3997,560524,0,1
2018-08-15,164.16,164.565,162.25,162.8,161.3491,708919,0,1
2018-08-14,162.74,165.46,162.74,164.9,163.4304,507114,0,1
2018-08-13,162.8,163.55,161.91,162.55,161.1014,1026224,0,1
2018-08-10,164.04,164.64,163,163.26,161.805,543048,0,1
2018-08-09,164,165.64,163.8948,164.57,163.1034,439590,0,1
2018-08-08,164.42,165.13,162.57,164.48,163.0142,708206,0,1
2018-08-07,162.94,164.759,162.1,164.13,162.6673,430999,0,1
2018-08-06,162,162.85,160.4,162.64,161.1906,537832,0,1
2018-08-03,163.04,163.64,160.64,162.38,160.9329,690526,0,1
2018-08-02,163.19,164.41,161.17,163.44,161.9834,917656,0,1
2018-08-01,164.01,168.91,163.68,163.93,162.4691,1505645,0,1
2018-07-31,151.2,165.84,151.2,164.95,163.48,1368030,0,1
