Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,51.11,51.29,50.78,51.12,51.12,6386081,0,1
2018-11-29,50.96,51.655,50.83,51.19,51.19,4840327,0,1
2018-11-28,51.32,51.41,50.62,51.18,51.18,6212689,0,1
2018-11-27,50.93,51.855,50.585,51.8,51.8,5269426,0,1
2018-11-26,51.56,51.72,50.95,51.07,51.07,4527182,0,1
2018-11-23,51.03,51.5,50.83,51.04,51.04,2018748,0,1
2018-11-21,51.03,51.48,50.72,51.16,51.16,4154976,0,1
2018-11-20,52.05,52.365,50.71,50.94,50.94,5967146,0,1
2018-11-19,51.97,52.74,51.73,51.89,51.89,6378109,0,1
2018-11-16,52.01,52.9,51.77,52.08,52.08,11004963,0,1
2018-11-15,52,52.27,51.45,51.99,51.99,6902871,0.625,1
2018-11-14,53.43,53.56,52.17,52.64,52.0147,5601595,0,1
2018-11-13,53.75,54.27,52.98,53.38,52.7459,5511415,0,1
2018-11-12,54.03,54.87,53.51,53.67,53.0325,5540876,0,1
2018-11-09,53.36,54.145,53.07,53.99,53.3487,5712966,0,1
2018-11-08,53.25,53.6,52.94,53.31,52.6767,5031774,0,1
2018-11-07,53.85,54.03,52.9,53.55,52.9139,5379443,0,1
2018-11-06,52.77,53.72,52.43,53.46,52.825,6724080,0,1
2018-11-05,51.07,53,51.04,52.39,51.7677,10481690,0,1
2018-11-02,52.25,52.52,50.411,50.73,50.1274,22310566,0,1
2018-11-01,55.13,56.5,54.61,56.2,55.5324,7427665,0,1
2018-10-31,55.5,55.545,53.77,54.97,54.317,8888135,0,1
2018-10-30,55.62,56.43,55.33,55.85,55.1866,6015527,0,1
2018-10-29,55.17,56.11,54.72,55.52,54.8605,6301821,0,1
2018-10-26,55.51,55.58,54.3,54.65,54.0008,6480040,0,1
2018-10-25,55.76,56.54,55.34,55.98,55.315,5712758,0,1
2018-10-24,56.42,57.38,55.705,55.78,55.1174,5833760,0,1
2018-10-23,56.2,56.8605,55.53,56.6,55.9277,6428994,0,1
2018-10-22,57.66,58.08,56.09,56.21,55.5423,7390050,0,1
2018-10-19,56.15,57.755,56.1,57.56,56.8763,8880707,0,1
2018-10-18,56.41,56.92,55.43,55.54,54.8803,6075358,0,1
2018-10-17,55.41,57.02,55.3,56.4,55.73,7094427,0,1
2018-10-16,54.71,55.66,54.49,55.44,54.7814,4813771,0,1
2018-10-15,54.05,54.96,54.05,54.47,53.823,4829751,0,1
2018-10-12,53.94,54.43,53.03,54.24,53.5957,9452465,0,1
2018-10-11,55.97,56.23,53.57,53.82,53.1807,9595054,0,1
2018-10-10,55.81,57.03,55.73,55.74,55.0779,7799572,0,1
2018-10-09,57.3,57.48,55.59,56.07,55.404,8537001,0,1
2018-10-08,55.85,57.31,55.85,57.06,56.3822,6060801,0,1
2018-10-05,55.7,56.04,55.23,55.89,55.2261,4163571,0,1
