Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,49,50.485,48.99,50.4,50.4,24663869,0,1
2018-11-29,49.28,49.43,48.97,48.98,48.98,11564317,0.39,1
2018-11-28,49.21,49.72,49.21,49.71,49.3173,11368691,0,1
2018-11-27,48.88,49.405,48.73,49.37,48.98,9180671,0,1
2018-11-26,49.01,49.23,48.67,48.87,48.4839,9341934,0,1
2018-11-23,48.75,49.23,48.55,49.02,48.6328,4792475,0,1
2018-11-21,49.23,49.44,48.59,48.73,48.3451,13559346,0,1
2018-11-20,50.82,50.84,49.21,49.38,48.9899,16255437,0,1
2018-11-19,50.31,50.76,50.25,50.51,50.111,13575799,0,1
2018-11-16,49.66,50.25,49.63,50.17,49.7737,13405755,0,1
2018-11-15,49.66,49.75,49.27,49.74,49.3471,12080074,0,1
2018-11-14,49.85,49.94,49.59,49.76,49.3669,12106794,0,1
2018-11-13,49.81,50,49.58,49.86,49.4661,13873127,0,1
2018-11-12,49.61,50.24,49.54,49.87,49.4761,13918312,0,1
2018-11-09,49.39,49.89,49.36,49.68,49.2876,12398306,0,1
2018-11-08,49.12,49.37,49.1,49.33,48.9403,9762841,0,1
2018-11-07,49.39,49.55,49.0301,49.37,48.98,12239747,0,1
2018-11-06,48.65,49.13,48.6,49.11,48.7221,14373426,0,1
2018-11-05,48,48.775,47.92,48.69,48.3054,16543547,0,1
2018-11-02,47.82,48,47.435,48,47.6208,17585058,0,1
2018-11-01,47.81,48.15,47.295,47.74,47.3629,16494500,0,1
2018-10-31,47.5,48.08,47.22,47.88,47.5018,25309419,0,1
2018-10-30,46.62,47.74,46.0384,47.63,47.2537,20895360,0,1
2018-10-29,46.15,46.555,46.05,46.46,46.093,20932176,0,1
2018-10-26,46.37,46.48,45.43,45.92,45.5573,21458110,0,1
2018-10-25,46.65,46.74,46.12,46.51,46.1426,14220216,0,1
2018-10-24,46.33,47.39,46.24,46.73,46.3609,21626031,0,1
2018-10-23,45.62,46.455,45.45,46.36,45.9938,17483862,0,1
2018-10-22,46.37,46.455,45.81,45.97,45.6069,14283642,0,1
2018-10-19,45.83,46.49,45.83,46.33,45.964,13989247,0,1
2018-10-18,45.9,46.08,45.455,45.61,45.2497,12716854,0,1
2018-10-17,45.41,45.99,45.36,45.86,45.4977,11055840,0,1
2018-10-16,45.02,45.595,44.8626,45.49,45.1307,10442520,0,1
2018-10-15,44.64,45.265,44.59,44.91,44.5552,11608529,0,1
2018-10-12,44.48,44.8799,44.25,44.68,44.327,12420075,0,1
2018-10-11,45.8,45.97,44.5,44.64,44.2874,17677941,0,1
2018-10-10,46.3,46.7,45.67,45.68,45.3191,13917018,0,1
2018-10-09,46.38,46.55,46.22,46.39,46.0235,10824552,0,1
2018-10-08,45.99,46.58,45.97,46.48,46.1128,9808094,0,1
2018-10-05,45.94,46.16,45.69,45.88,45.5176,8734090,0,1
2018-10-04,45.66,45.895,45.425,45.85,45.4878,9582388,0,1
2018-10-03,46.46,46.55,45.8,45.87,45.5076,10542292,0,1
2018-10-02,46.28,46.555,46.06,46.51,46.1426,7462702,0,1
2018-10-01,46.17,46.35,46.05,46.23,45.8648,9364735,0,1
2018-09-28,46,46.19,45.97,46.19,45.8251,9071904,0,1
2018-09-27,45.73,46.18,45.68,46.01,45.6465,10826880,0,1
2018-09-26,45.77,46.07,45.565,45.85,45.4878,10162560,0,1
2018-09-25,46.06,46.1754,45.61,45.68,45.3191,7919144,0,1
2018-09-24,46.49,46.53,45.84,46.07,45.7061,10778892,0,1
2018-09-21,46.64,46.69,46.375,46.58,46.212,19240577,0,1
2018-09-20,46.22,46.68,46.15,46.64,46.2716,9736714,0,1
2018-09-19,46,46.105,45.865,45.96,45.5969,7119133,0,1
2018-09-18,46.39,46.53,45.93,45.93,45.5672,9847711,0,1
2018-09-17,46,46.33,45.91,46.32,45.9541,8527345,0,1
2018-09-14,45.92,46.0264,45.61,45.99,45.6267,7612884,0,1
2018-09-13,46.01,46.12,45.71,45.83,45.468,8294848,0.39,1
2018-09-12,46.16,46.3,46.02,46.24,45.4876,13216376,0,1
2018-09-11,46.1,46.15,45.88,46.02,45.2712,9278268,0,1
2018-09-10,45.91,46.31,45.795,46.06,45.3106,8568927,0,1
2018-09-07,45.6,45.82,45.28,45.72,44.9761,10208108,0,1
2018-09-06,45.4,46,45.3,45.77,45.0253,11439474,0,1
2018-09-05,44.66,45.42,44.66,45.38,44.6416,10555033,0,1
2018-09-04,44.6,44.9,44.51,44.76,44.0317,11138579,0,1
2018-08-31,45,45.07,44.39,44.57,43.8448,19834439,0,1
2018-08-30,45.28,45.32,44.885,44.95,44.2186,9716529,0,1
2018-08-29,45.25,45.415,45.22,45.33,44.5924,12410931,0,1
2018-08-28,45.65,45.73,45.28,45.37,44.6318,8476801,0,1
2018-08-27,46.05,46.05,45.564,45.69,44.9466,9581245,0,1
2018-08-24,45.65,45.8,45.58,45.63,44.8876,10953103,0,1
2018-08-23,45.89,46.08,45.69,45.7,44.9564,13144908,0,1
2018-08-22,46.34,46.38,45.92,45.93,45.1827,7159135,0,1
2018-08-21,46.73,46.75,46.21,46.22,45.468,13986293,0,1
2018-08-20,46.68,46.865,46.59,46.73,45.9697,6392025,0,1
2018-08-17,46.29,46.73,46.24,46.6,45.8418,8885691,0,1
2018-08-16,46.11,46.38,45.97,46.22,45.468,10600733,0,1
2018-08-15,45.77,46.145,45.65,46.08,45.3302,9686427,0,1
2018-08-14,45.91,46.1,45.8732,45.89,45.1433,6846114,0,1
2018-08-13,46.05,46.13,45.7,45.83,45.0843,8143398,0,1
2018-08-10,46.21,46.42,45.965,46.08,45.3302,7535443,0,1
2018-08-09,46.25,46.42,46.075,46.35,45.5958,8924087,0,1
2018-08-08,46.49,46.56,46.1226,46.15,45.3991,6812170,0,1
2018-08-07,46.52,46.61,46.13,46.5,45.7434,8632949,0,1
2018-08-06,46.6,46.87,46.55,46.65,45.891,10056109,0,1
2018-08-03,46.23,46.76,46.14,46.62,45.8615,11462886,0,1
2018-08-02,46.48,46.63,46.18,46.18,45.4286,12009745,0,1
2018-08-01,46.45,46.49,46.17,46.39,45.6352,9904087,0,1
2018-07-31,46.4,46.67,46.31,46.63,45.8713,12438797,0,1
2018-07-30,46.1,46.44,46.05,46.23,45.4778,8968168,0,1
2018-07-27,46.32,46.495,46.06,46.21,45.4581,10516948,0,1
2018-07-26,46.36,46.59,46.2,46.24,45.4876,12673080,0,1
2018-07-25,46,46.58,45.75,46.09,45.3401,21318606,0,1
2018-07-24,44.78,45.27,44.61,45.26,44.5236,13786134,0,1
