Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,62.71,63.69,62.68,63.65,63.65,3138270,0.56,1
2018-11-29,62.57,63.65,62.53,63.25,62.6984,2687454,0,1
2018-11-28,61.64,62.66,61.36,62.6,62.054,2357770,0,1
2018-11-27,61.54,62.48,61.1,62.25,61.7071,3075160,0,1
2018-11-26,61.68,61.96,61.2,61.5,60.9636,3338942,0,1
2018-11-23,61.65,61.88,61.16,61.74,61.2015,959374,0,1
2018-11-21,61.71,63.25,61.58,61.89,61.3502,3976895,0,1
2018-11-20,62.3,62.89,61.55,61.71,61.1718,4210233,0,1
2018-11-19,61.7,62.2792,60.88,61.69,61.152,4337862,0,1
2018-11-16,62.51,62.75,61.51,61.73,61.1916,3386024,0,1
2018-11-15,62.09,62.54,61.35,62.52,61.9747,2572005,0,1
2018-11-14,62.32,62.97,61.8,62.46,61.9153,4010376,0,1
2018-11-13,64.39,64.62,62.6,63.42,62.8669,3491574,0,1
2018-11-12,64.94,65.49,64.115,64.3,63.7392,2247942,0,1
2018-11-09,65.09,65.66,64.46,65.01,64.443,2305598,0,1
2018-11-08,64.02,65.23,64,65.18,64.6115,3821902,0,1
2018-11-07,64.75,64.9,63.23,64.27,63.7095,2417226,0,1
2018-11-06,63.29,64.42,62.82,64.39,63.8284,5683797,0,1
2018-11-05,63.35,64.13,62.92,63.15,62.5992,3723650,0,1
2018-11-02,63.77,64.229,62.55,63,62.4506,4802818,0,1
2018-11-01,65.11,65.11,63.52,64,63.4418,6415807,0,1
2018-10-31,65.67,67.46,64.95,65.48,64.9089,7930700,0,1
2018-10-30,70.88,72.02,70.44,71.86,71.2333,2010218,0,1
2018-10-29,69.44,71.15,69.44,70.29,69.677,1553036,0,1
2018-10-26,70.36,70.76,68.73,69.16,68.5568,1688073,0,1
2018-10-25,71.28,71.35,70.27,70.55,69.9347,2315224,0,1
2018-10-24,71.35,72.98,71.33,71.45,70.8269,3225463,0,1
2018-10-23,70.31,71.52,69.7,71.18,70.5592,2507392,0,1
2018-10-22,71.53,71.95,70.38,70.59,69.9744,1729594,0,1
2018-10-19,70,71.36,70,71.17,70.5493,2648686,0,1
2018-10-18,69.82,70.52,69.22,69.56,68.9533,1759438,0,1
2018-10-17,69.58,70.21,69.07,69.65,69.0426,1369399,0,1
2018-10-16,68.99,70.27,68.68,69.85,69.2408,1703923,0,1
2018-10-15,68.01,69.25,68.005,68.67,68.0711,1697867,0,1
2018-10-12,67.92,68.23,67.49,67.95,67.3574,1648569,0,1
2018-10-11,68.91,69.35,67.52,67.62,67.0303,3101713,0,1
2018-10-10,69.2,70.4,68.72,68.73,68.1306,2524044,0,1
2018-10-09,70.18,70.33,68.84,68.99,68.3883,1489011,0,1
2018-10-08,69.56,70.55,69.56,70.26,69.6472,1853061,0,1
2018-10-05,69,69.7,69,69.38,68.7749,1278586,0,1
2018-10-04,67.95,69.29,66.74,69.14,68.537,2204692,0,1
2018-10-03,70.83,71.17,68.495,68.67,68.0711,2774815,0,1
2018-10-02,70.12,71.19,70.02,70.42,69.8058,1461011,0,1
2018-10-01,70.07,70.37,69.685,69.89,69.2805,1484604,0,1
2018-09-28,70.15,70.76,69.91,70.02,69.4093,2091833,0,1
2018-09-27,71.27,71.54,69.5,70.01,69.3994,2174841,0,1
2018-09-26,72.25,72.84,71.87,71.91,71.2828,1306026,0,1
2018-09-25,72.46,72.59,71.82,72.1,71.4712,999404,0,1
2018-09-24,72.59,73.43,72.235,72.34,71.7091,1197204,0,1
2018-09-21,72.94,73.43,72.52,73.17,72.5319,2818624,0,1
2018-09-20,72.62,72.93,72.11,72.8,72.1651,1775891,0,1
2018-09-19,73.46,73.85,72.21,72.4,71.7686,1468903,0,1
2018-09-18,73.74,73.95,72.45,73.36,72.7202,2451448,0,1
2018-09-17,74.69,74.98,74.32,74.7,74.0485,1158179,0,1
2018-09-14,74.62,74.905,74.12,74.84,74.1873,865788,0,1
2018-09-13,74.56,74.84,73.92,74.8,74.1476,1563888,0,1
2018-09-12,73.79,74.51,73.55,74.45,73.8007,1132855,0,1
2018-09-11,73.89,73.99,73.16,73.46,72.8193,995878,0,1
2018-09-10,74.14,74.58,73.78,74.02,73.3744,1827949,0,1
2018-09-07,73.34,74.44,73.15,74.09,73.4438,1925680,0,1
2018-09-06,72.47,73.715,72.46,73.65,73.0077,1485751,0,1
2018-09-05,71.57,72.76,71.32,72.7,72.066,1539442,0,1
2018-09-04,71.81,72.3,71.62,71.91,71.2828,1057012,0,1
2018-08-31,71.28,72.09,71.255,71.79,71.1639,1401126,0.56,1
2018-08-30,71.52,72.16,71.48,71.75,70.5737,1144216,0,1
2018-08-29,71.87,71.92,71.445,71.81,70.6327,1333845,0,1
2018-08-28,71.66,72.03,70.99,71.47,70.2983,1143664,0,1
2018-08-27,72.65,72.89,71.81,72.02,70.8393,1219646,0,1
2018-08-24,72.12,72.95,72.08,72.45,71.2623,947442,0,1
2018-08-23,71.71,72.12,71.34,72.11,70.9278,1115008,0,1
2018-08-22,72.29,72.67,71.53,72.14,70.9573,1245893,0,1
2018-08-21,73.88,74.02,71.99,72.22,71.036,1909176,0,1
2018-08-20,73.78,74.32,73.59,73.72,72.5114,1577930,0,1
2018-08-17,72.68,73.88,72.68,73.63,72.4229,1992922,0,1
2018-08-16,72.1,73.31,71.99,72.7,71.5082,2069675,0,1
2018-08-15,71.41,72.18,71.24,72.1,70.918,1425430,0,1
2018-08-14,71.14,72.15,71.14,71.51,70.3377,1575313,0,1
2018-08-13,71.48,71.54,70.59,71.01,69.8459,1535675,0,1
2018-08-10,71.08,71.81,70.83,71.38,70.2098,1125574,0,1
2018-08-09,71.46,71.46,70.9,71.3,70.1311,1421604,0,1
2018-08-08,72.15,72.24,71,71.01,69.8459,1382946,0,1
2018-08-07,72.05,72.08,71.37,71.9,70.7213,1711429,0,1
2018-08-06,72.3,72.66,71.575,72.2,71.0164,2064204,0,1
2018-08-03,70.2,73.24,70.02,72.15,70.9672,3626816,0,1
2018-08-02,68.7,70.04,66.79,69.88,68.7344,3908595,0,1
2018-08-01,71.13,71.15,69.16,69.43,68.2918,3177374,0,1
2018-07-31,71.5,71.78,70.59,71.03,69.8655,2371455,0,1
2018-07-30,70.75,71.69,70.601,71.33,70.1606,1738184,0,1
2018-07-27,71.13,71.64,70.78,71.4,70.2295,1533578,0,1
2018-07-26,71.35,72.26,70.77,70.88,69.718,2514344,0,1
2018-07-25,70.2,70.9,70.18,70.85,69.6885,2754683,0,1
2018-07-24,69.64,70.215,69.21,70.18,69.0295,1413253,0,1
2018-07-23,70.05,70.35,69.44,69.86,68.7147,1508089,0,1
2018-07-20,70.08,70.37,69.4,70.2,69.0491,1330466,0,1
2018-07-19,68.91,69.955,68.88,69.6,68.459,1669562,0,1
2018-07-18,70.71,70.8,68.7,68.96,67.8295,2391285,0,1
2018-07-17,70.42,71,70.33,70.65,69.4918,1335884,0,1
2018-07-16,71.1,71.1,70.44,70.59,69.4327,1157881,0,1
2018-07-13,70.47,71.31,70.22,71.17,70.0032,1985485,0,1
2018-07-12,70.66,70.93,70.27,70.68,69.5213,1504934,0,1
2018-07-11,70.73,70.75,70.1,70.33,69.177,1328305,0,1
2018-07-10,70.67,70.9,70.06,70.64,69.4819,2314798,0,1
2018-07-09,71.83,71.95,70.22,70.47,69.3147,2509360,0,1
2018-07-06,71.59,72.24,71.06,71.83,70.6524,2041572,0,1
2018-07-05,69.73,71.55,69.54,71.54,70.3672,3337163,0,1
2018-07-03,69.69,69.75,69.17,69.34,68.2032,1202459,0,1
2018-07-02,69.59,70.06,69.15,69.61,68.4688,2061651,0,1
2018-06-29,69.74,70.3,68.735,69.87,68.7245,2226237,0,1
2018-06-28,69.15,70.17,68.64,69.67,68.5278,3052944,0,1
2018-06-27,68.55,70.28,67.791,69.18,68.0459,6122901,0,1
2018-06-26,68.8,68.98,68.42,68.7,67.5737,3560351,0,1
2018-06-25,67.82,69.24,67.81,69.05,67.918,4278527,0,1
2018-06-22,67.15,67.71,66.78,67.4,66.295,2914361,0,1
2018-06-21,66.8,67.1894,66.37,66.84,65.7442,1679392,0,1
2018-06-20,66.68,66.81,65.5,66.69,65.5967,1433666,0,1
2018-06-19,65.81,67.04,65.8,66.59,65.4983,1453962,0,1
2018-06-18,66.85,67.31,65.87,66.26,65.1737,1848677,0,1
2018-06-15,66.68,67.14,66.14,67.06,65.9606,3788653,0,1
2018-06-14,65.92,66.78,65.51,66.6,65.5082,2390644,0,1
2018-06-13,65.91,66.29,65.26,65.77,64.6918,1666880,0,1
2018-06-12,66.31,66.31,65.03,65.71,64.6327,2045210,0,1
2018-06-11,63.88,65.765,63.88,65.45,64.377,2605280,0,1
2018-06-08,62.57,63.9,62.57,63.71,62.6655,2720278,0,1
2018-06-07,61.65,63.2,61.29,62.26,61.2393,5245572,0,1
2018-06-06,63.27,63.27,62.18,62.91,61.8787,6795784,0,1
2018-06-05,64.7,64.88,62.98,63.27,62.2327,3241782,0,1
2018-06-04,64.12,64.93,64.02,64.62,63.5606,2131939,0,1
2018-06-01,64.5,64.6,63.585,63.83,62.7836,2395948,0,1
2018-05-31,65.6,65.6,63.71,64.39,63.3344,2934593,0.54,1
2018-05-30,64.76,66.27,64.44,65.97,64.3488,3085783,0,1
2018-05-29,64.76,65.42,64.13,64.58,62.993,3727675,0,1
2018-05-25,63.6,65.57,63.4,65.23,63.627,4612135,0,1
2018-05-24,62.29,63.58,62.22,63.51,61.9493,3923178,0,1
2018-05-23,61.83,62.32,61.54,62.23,60.7007,1999466,0,1
2018-05-22,60.98,62.13,60.78,61.52,60.0082,2603530,0,1
2018-05-21,60.48,61.37,60.1241,60.77,59.2766,2504260,0,1
2018-05-18,60.6,60.68,59.29,60.19,58.7109,3741734,0,1
2018-05-17,61.61,61.68,60.95,61.18,59.6765,1792892,0,1
2018-05-16,61.38,61.68,61.1,61.49,59.9789,2154598,0,1
2018-05-15,61.49,61.88,60.76,61.25,59.7448,2774844,0,1
2018-05-14,61.48,61.72,61.08,61.65,60.135,3275058,0,1
2018-05-11,61.15,61.7,60.9,61.39,59.8814,2198883,0,1
2018-05-10,60.61,61.19,60.47,61.04,59.54,2227135,0,1
2018-05-09,60.49,61.17,60.04,60.33,58.8474,2165748,0,1
2018-05-08,60.34,60.63,59.99,60.3,58.8182,2197653,0,1
2018-05-07,59.78,60.62,59.78,60.49,59.0035,3409172,0,1
2018-05-04,58.31,60.65,58.25,59.8,58.3305,5641510,0,1
2018-05-03,58.501,58.87,57.36,58.15,56.721,7239877,0,1
2018-05-02,58.57,58.575,56.4,56.65,55.2579,4451166,0,1
2018-05-01,58.81,59.079,58.21,58.75,57.3063,3087724,0,1
2018-04-30,60.26,60.475,58.85,58.9,57.4526,3671418,0,1
2018-04-27,60.19,60.74,60.12,60.24,58.7596,3094185,0,1
2018-04-26,60.94,61.02,58.71,60.1,58.6231,4916349,0,1
2018-04-25,60.35,61.43,60.29,60.95,59.4522,2223815,0,1
2018-04-24,60.72,60.9,59.915,60.46,58.9742,1895035,0,1
2018-04-23,60.38,60.69,59.99,60.52,59.0328,1516133,0,1
2018-04-20,62.15,62.61,59.8,60.27,58.7889,4461003,0,1
2018-04-19,63.16,63.28,61.92,62.2,60.6715,1943905,0,1
2018-04-18,63.66,63.815,63.25,63.41,61.8517,2529079,0,1
2018-04-17,64.19,64.35,63.46,63.79,62.2224,1918740,0,1
2018-04-16,62.95,63.88,62.43,63.83,62.2614,2404273,0,1
2018-04-13,62.69,63.13,62.41,63.06,61.5103,2187536,0,1
2018-04-12,63.4,63.55,62.54,62.61,61.0714,1796275,0,1
2018-04-11,63.52,63.8,63.14,63.35,61.7932,1701825,0,1
2018-04-10,64.61,65.02,63.47,63.62,62.0566,3105856,0,1
2018-04-09,64.51,65.25,63.95,64.48,62.8954,1532059,0,1
2018-04-06,64.5,65.44,63.77,64.24,62.6613,1653445,0,1
2018-04-05,65.16,65.38,64.37,64.56,62.9735,1294148,0,1
2018-04-04,63,65.53,62.99,64.93,63.3344,2357482,0,1
2018-04-03,63.44,63.54,62.5331,63.37,61.8127,1878834,0,1
2018-04-02,64.97,64.99,62.88,63.12,61.5689,1545395,0,1
2018-03-29,64.18,65.24,64.18,65.01,63.4124,1946649,0,1
2018-03-28,64.52,65.02,63.77,63.9,62.3297,3488590,0,1
2018-03-27,64.4,65.03,64.16,64.38,62.7979,1959611,0,1
2018-03-26,63.75,64.24,63.28,64.13,62.554,1719637,0,1
2018-03-23,63.65,64.35,62.95,62.95,61.403,2198048,0,1
2018-03-22,63.61,64.48,63.35,63.37,61.8127,2915408,0,1
2018-03-21,63.98,64.31,63.03,63.68,62.1151,5260284,0,1
2018-03-20,66.63,67.14,65.87,66.32,64.6902,4122543,0,1
2018-03-19,66.37,67.29,66.15,66.43,64.7975,3540981,0,1
2018-03-16,67.19,67.72,65.88,66.44,64.8073,8386851,0,1
2018-03-15,69.01,69.36,66.48,66.99,65.3438,3550686,0,1
2018-03-14,69.91,70.66,68.89,69,67.3044,2551037,0,1
2018-03-13,70.15,70.62,69.46,69.64,67.9286,2696651,0,1
2018-03-12,70.39,71.08,69.83,69.83,68.114,2458078,0,1
2018-03-09,69.85,70.81,69.3,70.25,68.5237,2907826,0,1
2018-03-08,69.5,69.73,69.03,69.64,67.9286,1431062,0,1
2018-03-07,69.01,69.7,68.62,69.3,67.597,1906918,0,1
2018-03-06,69.15,70.01,68.83,69.9,68.1823,3269530,0,1
2018-03-05,67.43,69.22,67.42,69.2,67.4995,3908560,0,1
2018-03-02,66.37,67.98,66.37,67.68,66.0168,2292979,0.54,1
2018-03-01,66.81,67.84,66.4,66.91,64.7491,2790468,0,1
2018-02-28,67.24,67.47,66.18,66.2,64.062,2110125,0,1
2018-02-27,69,69.3,67.11,67.13,64.962,3121526,0,1
2018-02-26,68.46,69.16,67.8,68.95,66.7232,1917635,0,1
2018-02-23,68.13,68.54,66.92,68.54,66.3265,2727720,0,1
2018-02-22,68.34,69.6,68.16,68.26,66.0555,1820571,0,1
2018-02-21,69.51,69.86,68.25,68.31,66.1039,2776045,0,1
2018-02-20,69.33,70.29,69.33,69.68,67.4297,3392104,0,1
2018-02-16,69.14,69.89,68.79,69.66,67.4103,1962475,0,1
2018-02-15,68.1,69.93,67.35,69.82,67.5651,3552190,0,1
2018-02-14,67.32,68.02,66.72,67.74,65.5523,2364524,0,1
2018-02-13,66.89,67.8,66.67,67.49,65.3104,3132727,0,1
2018-02-12,67.65,68.47,66.96,67.07,64.9039,3275392,0,1
2018-02-09,66.6,67.78,66,67.33,65.1556,4190978,0,1
2018-02-08,64.59,67.32,64.55,65.98,63.8492,5909079,0,1
2018-02-07,65.17,66.7,64.16,64.21,62.1363,4860586,0,1
2018-02-06,63.14,65.31,62.96,65.16,63.0556,5054573,0,1
2018-02-05,65.64,66.34,64.075,64.13,62.0589,4176780,0,1
2018-02-02,68.17,68.17,65.42,65.45,63.3363,3142878,0,1
2018-02-01,68,68.96,67.17,68.32,66.1136,3021066,0,1
