Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,74.8,75.12,73.775,75,75,2853499,0,1
2018-11-29,75.1,76.36,74.38,74.42,74.42,2739910,0,1
2018-11-28,74.51,75.93,72.9338,75.89,75.89,5249407,0,1
2018-11-27,74.82,75.36,73.16,73.71,73.71,2768922,0,1
2018-11-26,75.48,75.81,74.69,75.74,75.74,2367021,0,1
2018-11-23,72.06,74.94,72.03,74.33,74.33,1560305,0,1
2018-11-21,74.22,74.55,72.92,73,73,2663746,0,1
2018-11-20,72.93,74,71.45,73,73,2976854,0.3645,1
2018-11-19,75.54,75.84,73.41,73.88,73.5129,2785346,0,1
2018-11-16,74.55,76.2,74.26,75.61,75.2343,4741008,0,1
2018-11-15,71.64,75.37,71.51,75.35,74.9756,4993516,0,1
2018-11-14,71.96,72.49,71.1,72.02,71.6622,3589363,0,1
2018-11-13,70.22,72.8,70.18,70.86,70.5079,3782324,0,1
2018-11-12,71.3,71.58,69.53,69.66,69.3139,2827971,0,1
2018-11-09,73.43,73.86,71.28,72.13,71.7716,4358351,0,1
2018-11-08,71,76,70.3,74.45,74.0801,7236602,0,1
2018-11-07,70.61,70.98,69.06,70.3,69.9507,3336876,0,1
2018-11-06,68.87,70.38,68.77,70.03,69.6821,2144453,0,1
2018-11-05,69.48,69.82,67.8,69.33,68.9855,2992995,0,1
2018-11-02,71,71,68.51,69.74,69.3935,3506412,0,1
2018-11-01,66.25,70.97,65.67,70.37,70.0204,5573468,0,1
2018-10-31,66,66.26,65.08,65.78,65.4532,4968110,0,1
2018-10-30,62.43,64.95,62.01,64.85,64.5278,3277036,0,1
2018-10-29,63.68,64.59,61.23,62.29,61.9805,3741345,0,1
2018-10-26,60.87,63.45,60.7,62.37,62.0601,8242908,0,1
2018-10-25,62.21,64.26,62.11,62.51,62.1994,8503587,0,1
2018-10-24,65.88,66.49,61.27,61.3,60.9954,6850570,0,1
2018-10-23,65.43,67.6,64.7,67.22,66.886,5205040,0,1
2018-10-22,67.73,68,66.51,66.83,66.498,2942847,0,1
2018-10-19,67.46,68.7,66.84,67.03,66.697,3224840,0,1
2018-10-18,68.65,68.7,67.15,67.55,67.2144,4272296,0,1
2018-10-17,69.56,69.78,68.4001,69.05,68.7069,3295142,0,1
2018-10-16,69.02,69.58,68.3101,69.15,68.8064,3127605,0,1
2018-10-15,67.74,68.71,67.1101,68.22,67.8811,4233648,0,1
2018-10-12,69.83,70.22,67.28,68.26,67.9209,5408485,0,1
2018-10-11,67.33,69.37,66.52,67.7,67.3636,7741516,0,1
2018-10-10,66.38,66.65,65.13,66.44,66.1099,9724915,0,1
2018-10-09,67.3,67.8658,66.26,67.38,67.0452,6901806,0,1
2018-10-08,68.62,69.59,66.82,67.7,67.3636,4845206,0,1
2018-10-05,71.45,71.83,68.6,69.28,68.9358,6119093,0,1
2018-10-04,75.06,75.29,70.63,71.43,71.0751,9514599,0,1
2018-10-03,77.47,77.65,75.025,75.12,74.7468,5193762,0,1
2018-10-02,77.8,78.69,77.36,77.65,77.2642,4176485,0,1
2018-10-01,79.3,79.7,77.14,77.16,76.7766,5160758,0,1
2018-09-28,78.42,79.12,77.87,78.91,78.5179,4881288,0,1
2018-09-27,78.76,79.34,78.354,78.61,78.2194,2509120,0,1
2018-09-26,78.64,79.74,78.6308,78.79,78.3985,3672118,0,1
2018-09-25,80.72,81.09,78.58,78.77,78.3786,5069108,0,1
2018-09-24,81.87,82.6,81.32,82.3,81.8911,1745444,0,1
2018-09-21,83.62,83.71,82.37,82.75,82.3389,4101251,0,1
2018-09-20,82.3,83.95,81.72,83.38,82.9657,2726698,0,1
2018-09-19,80.78,81.59,80.47,81.37,80.9657,2316029,0,1
2018-09-18,81.03,81.96,80.38,80.39,79.9906,2802668,0,1
2018-09-17,82.45,82.8,80.86,80.88,80.4782,3746417,0,1
2018-09-14,84.29,85.22,83.45,83.6,83.1846,3113167,0,1
2018-09-13,84.25,85.41,83.245,83.77,83.3538,3593743,0,1
2018-09-12,82.06,83.66,81.03,83.47,83.0553,5397062,0,1
2018-09-11,83.55,83.93,82.325,83.23,82.8165,3681895,0,1
2018-09-10,83.67,84.07,82.7,84.02,83.6026,1833028,0,1
2018-09-07,83.6,85.03,82.67,83.05,82.6374,3504265,0,1
2018-09-06,84.75,84.9999,82.61,83.9,83.4832,4225323,0,1
2018-09-05,85.84,86.09,84.87,85.14,84.717,2332740,0,1
2018-09-04,85.16,86.16,84.87,86.09,85.6623,2156960,0,1
2018-08-31,85.67,86.2,85.04,86.03,85.6026,2248440,0,1
2018-08-30,86.42,87.48,85.23,85.55,85.125,2890798,0,1
2018-08-29,86.95,87.47,86.13,86.82,86.3886,2779037,0,1
2018-08-28,89,89,87.1,87.5,87.0653,2871250,0,1
2018-08-27,87.51,88.84,87.26,88.37,87.9309,2762678,0,1
2018-08-24,86.42,87.1,85.84,86.98,86.5479,2490117,0,1
2018-08-23,85.51,87.13,85.29,85.67,85.2444,2941126,0,1
2018-08-22,84.23,85.46,83.4,85.42,84.9956,2730633,0,1
2018-08-21,83.12,86.01,83.12,85.02,84.5976,5062801,0,1
2018-08-20,82.87,83.196,81.42,82.5,82.0901,4489444,0.364,1
2018-08-17,81.5,83.22,79.76,83.01,82.2347,4563830,0,1
2018-08-16,83.11,84.25,81.57,81.79,81.0261,3834569,0,1
2018-08-15,83.9,84.8,81.35,82.34,81.571,4884710,0,1
2018-08-14,87.02,87.8,83.5,84.08,83.2948,7235587,0,1
2018-08-13,87.68,88.6,86.863,87.03,86.2172,5411026,0,1
2018-08-10,88.4,89.8712,84.77,87.41,86.5937,19239533,0,1
2018-08-09,96.95,98.26,96.58,98.08,97.164,3125688,0,1
2018-08-08,97.39,97.91,96.82,97.76,96.847,1851283,0,1
2018-08-07,96.06,97.48,95.51,97.26,96.3517,2765082,0,1
2018-08-06,94.71,96.13,94.465,95.6,94.7072,4056420,0,1
2018-08-03,94.58,95.16,94,95.09,94.2019,1691229,0,1
2018-08-02,92.7,94.95,92.58,94.61,93.7264,1238387,0,1
2018-08-01,93.4,94.39,93.08,93.59,92.7159,1361884,0,1
2018-07-31,93.89,94.98,93.31,93.43,92.5574,1759740,0,1
2018-07-30,95.36,95.6,92.81,93.21,92.3395,2006374,0,1
2018-07-27,95.59,96.91,94.87,95.31,94.4199,2361965,0,1
2018-07-26,93.62,94.73,92.95,94.67,93.7859,2168913,0,1
2018-07-25,92.93,93.78,90.84,92.93,92.0621,2818801,0,1
2018-07-24,94.87,95.62,93,93.26,92.389,1449936,0,1
2018-07-23,93.89,94.6,92.74,94.2,93.3202,1109499,0,1
2018-07-20,94.82,95.07,93.74,94.37,93.4887,1381622,0,1
2018-07-19,95.64,95.87,94.17,94.8,93.9146,1136111,0,1
2018-07-18,94.72,95.96,94.72,95.76,94.8657,1110367,0,1
2018-07-17,93.26,95.13,93.131,95.05,94.1623,1493129,0,1
2018-07-16,94,94.83,93.8453,94.11,93.2311,1080521,0,1
2018-07-13,94.34,94.53,93.64,94.03,93.1518,1483976,0,1
2018-07-12,92.77,94.37,92.24,94.28,93.3995,2196376,0,1
2018-07-11,93.4,94.205,91.59,92.01,91.1507,2245409,0,1
2018-07-10,93.76,94.76,93.24,94.6,93.7165,1557702,0,1
2018-07-09,93.75,94.01,92.36,93.38,92.5079,1463473,0,1
2018-07-06,91.69,93.87,91.39,93.41,92.5376,1672002,0,1
2018-07-05,91.23,92.34,90.83,92.13,91.2696,1720783,0,1
2018-07-03,91.82,91.82,89.93,90.1,89.2585,1059981,0,1
2018-07-02,90.22,91.53,89.2009,91.47,90.6157,1632164,0,1
2018-06-29,90.73,91.96,90.41,90.95,90.1006,3176031,0,1
2018-06-28,89.93,91.26,89.93,90.44,89.5954,2581651,0,1
2018-06-27,93.32,94.32,90.18,90.3,89.4567,2809802,0,1
2018-06-26,93.76,94.255,92.7,93.14,92.2701,1768227,0,1
2018-06-25,96.01,96.3,92.72,93.24,92.3692,3194570,0,1
2018-06-22,98.98,99.4,96.37,96.92,96.0148,2845642,0,1
2018-06-21,101.69,101.69,98.63,98.7,97.7782,1466632,0,1
2018-06-20,101.23,101.58,100.35,101.23,100.2846,1353458,0,1
2018-06-19,100.15,101.41,99.54,100.4,99.4623,1812984,0,1
2018-06-18,101.24,101.88,100.5,101.64,100.6908,1644102,0,1
2018-06-15,102.53,102.53,100.83,101.98,101.0276,2555091,0,1
2018-06-14,102.64,103.27,102.08,102.57,101.6121,1586277,0,1
2018-06-13,102.89,103.0873,101.76,102.08,101.1266,2663168,0,1
2018-06-12,102.52,103.02,101.83,102.69,101.731,3115418,0,1
2018-06-11,102.05,102.93,101.72,102.4,101.4437,1251418,0,1
2018-06-08,101.37,104.2,100.79,102.15,101.196,1536115,0,1
2018-06-07,103.02,103.42,101.27,102.22,101.2653,2458376,0,1
2018-06-06,102.28,103.37,101.69,103.31,102.3452,2203725,0,1
2018-06-05,102.75,102.7999,101.4079,102.14,101.1861,1990692,0,1
2018-06-04,101.05,101.73,100.39,101.41,100.4629,4291486,0,1
2018-06-01,98.36,101.09,97.66,101.05,100.1063,2949658,0,1
2018-05-31,97.23,98.74,97.02,97.38,96.4705,2592279,0,1
2018-05-30,96.64,99.09,95.29,97.51,96.5993,3156286,0,1
2018-05-29,94.86,95.9762,94.35,95.23,94.3406,1896142,0,1
2018-05-25,94.81,95.94,94.79,95.81,94.9152,1378026,0,1
2018-05-24,93.98,94.97,93.445,94.85,93.9642,1366299,0,1
2018-05-23,93.24,94.14,92.73,94.08,93.2014,1562866,0,1
2018-05-22,93.55,95,93.41,94.33,93.449,1703548,0,1
2018-05-21,93.92,94.63,92.98,93.81,92.9339,1304961,0,1
2018-05-18,92.5,93.56,91.93,92.8,91.9333,1434901,0.3635,1
2018-05-17,93.21,94,92.64,93.37,92.1371,1634301,0,1
2018-05-16,93.09,93.97,93.06,93.51,92.2752,1470633,0,1
2018-05-15,94.69,94.73,92.35,93.36,92.1272,2991677,0,1
2018-05-14,94.1,94.7,93.19,93.46,92.2259,1658977,0,1
2018-05-11,93.5,94.22,92.51,92.95,91.7226,1440794,0,1
2018-05-10,91.635,93.25,91.635,93.16,91.9299,1769875,0,1
2018-05-09,91,91.92,89.1,91.86,90.647,2736435,0,1
2018-05-08,89.9,90.96,86.52,90.65,89.453,4488820,0,1
2018-05-07,88.51,89.71,87.65,88.74,87.5682,3666361,0,1
2018-05-04,85.47,87.76,85.47,87.51,86.3545,2188836,0,1
2018-05-03,83.98,86.31,82.64,86.11,84.973,3160611,0,1
2018-05-02,85.16,85.635,84.03,84.78,83.6605,2324037,0,1
2018-05-01,83.19,85.11,83,85.02,83.8973,1688241,0,1
2018-04-30,84.75,85.325,83.415,83.66,82.5553,1791386,0,1
2018-04-27,85.58,86.048,83.53,84.66,83.5421,1557062,0,1
2018-04-26,83.9,85.36,83.32,84.9,83.7789,2475395,0,1
2018-04-25,82.66,84.09,81.56,82.98,81.8843,2705723,0,1
2018-04-24,85.34,85.5108,81.28,82.44,81.3514,4340874,0,1
2018-04-23,85.83,86.61,84.33,84.4,83.2855,3314726,0,1
2018-04-20,86.5,87.6,84.45,85.68,84.5486,3591156,0,1
2018-04-19,86.3,86.72,84.47,85.14,84.0158,3195451,0,1
2018-04-18,88.67,89.252,87.5,88,86.838,2246879,0,1
2018-04-17,86.84,89.63,86.75,89.07,87.8939,2975184,0,1
2018-04-16,88.2,88.2,85.96,86.23,85.0914,3794338,0,1
2018-04-13,89.57,89.68,87,87.33,86.1768,2451714,0,1
2018-04-12,89.16,89.91,88.54,89.06,87.884,3052034,0,1
2018-04-11,87.62,90,87.47,88.5,87.3314,2110589,0,1
2018-04-10,88.07,89.24,86.96,88.73,87.5584,2291164,0,1
2018-04-09,87.13,89.0299,86.12,86.2,85.0618,3704488,0,1
2018-04-06,88.39,89.71,85.88,86.27,85.1308,2461719,0,1
2018-04-05,90.62,90.92,88.44,89.62,88.4366,1992298,0,1
2018-04-04,87.16,90.41,86.91,90.18,88.9892,2115538,0,1
2018-04-03,88.39,89.2,87.35,89.03,87.8544,2398648,0,1
2018-04-02,90.99,91.5,87.23,87.63,86.4729,4366054,0,1
2018-03-29,91.93,92.61,90.45,91.36,90.1536,4269410,0,1
2018-03-28,94.07,94.39,90.93,91.16,89.9563,3675539,0,1
2018-03-27,98.67,99.09,93.73,94.4,93.1535,2693716,0,1
2018-03-26,95.99,98.08,94.61,97.99,96.6961,1693770,0,1
2018-03-23,96.7,97,94.01,94.01,92.7686,3519479,0,1
2018-03-22,97.65,98.83,96.5,96.55,95.2751,2187486,0,1
2018-03-21,98.06,100.27,98.045,99.21,97.9,2484556,0,1
2018-03-20,97.33,98.91,97.01,98.54,97.2388,2213972,0,1
2018-03-19,97.24,97.47,94.89,96.97,95.6896,2580576,0,1
2018-03-16,97.6,98.8,97.24,98.18,96.8836,2556310,0,1
2018-03-15,97.44,97.82,96.86,97.53,96.2422,1690708,0,1
2018-03-14,98.53,98.695,96.76,97.25,95.9659,2327347,0,1
2018-03-13,100.99,101.48,97.48,98.03,96.7356,3639788,0,1
2018-03-12,99.53,100.5,99.3,100.24,98.9164,2915349,0,1
2018-03-09,96.91,99.13,96.45,98.97,97.6631,4250562,0,1
2018-03-08,97,97.16,94.56,95.34,94.0811,3851447,0,1
2018-03-07,95.08,96.0842,94.22,95.57,94.308,3004108,0,1
2018-03-06,94.99,96.76,93.74,96.57,95.2948,4781505,0,1
2018-03-05,91.73,94.91,91.09,94.47,93.2226,3937415,0,1
2018-03-02,92.39,93.75,89,91.29,90.0846,8528589,0,1
2018-03-01,89.02,90,87.56,89.02,87.8445,3838358,0,1
2018-02-28,89.42,90.51,88.7,88.93,87.7557,4026028,0,1
2018-02-27,87.76,92.27,87.61,88.55,87.3807,6091670,0,1
2018-02-26,85.45,86.46,85.25,86.38,85.2394,2113138,0,1
2018-02-23,84.81,85.22,83.67,85.16,84.0355,1961478,0,1
2018-02-22,84.18,85.63,83.25,83.92,82.8119,2189985,0,1
2018-02-21,85.23,85.84,83.6,84.15,83.0388,3143827,0,1
2018-02-20,82.64,86.52,82.64,84.86,83.7395,3902152,0.363,1
2018-02-16,82.23,83.819,82.23,83.41,81.958,3488132,0,1
2018-02-15,83.11,83.28,81,82.49,81.054,3559161,0,1
2018-02-14,80.04,82.38,80,82.21,80.7789,3643694,0,1
2018-02-13,82.11,82.71,80.13,80.81,79.4033,4246164,0,1
2018-02-12,81.51,83.51,81.51,83.02,81.5748,4989235,0,1
2018-02-09,80.77,81.98,78.33,81.04,79.6293,5423879,0,1
2018-02-08,83,83.21,79.24,79.9,78.5091,7520589,0,1
2018-02-07,87.55,89,82.81,82.91,81.4667,13461654,0,1
2018-02-06,88.14,91.92,87.9,91.92,90.3199,5098625,0,1
2018-02-05,93.1,94.05,89.47,89.5,87.942,2961803,0,1
2018-02-02,94,94.94,93.24,93.31,91.6857,1922263,0,1
2018-02-01,94.91,95.89,94.1142,94.54,92.8943,1912159,0,1
2018-01-31,95.79,96.21,94.52,95.22,93.5624,1893215,0,1
2018-01-30,96.35,96.51,94.89,94.99,93.3364,1909128,0,1
2018-01-29,96.14,97.29,95.375,96.88,95.1935,1926068,0,1
2018-01-26,93.92,97.07,93.48,96.91,95.223,3071080,0,1
2018-01-25,96.31,96.35,92.25,92.48,90.8701,2701683,0,1
2018-01-24,96.86,97.8,94.885,95.36,93.7,3229024,0,1
2018-01-23,98.69,99.17,98.07,98.52,96.805,1542988,0,1
2018-01-22,97.61,98.71,97.23,98.69,96.972,1732976,0,1
2018-01-19,97.85,98.14,96.94,97.45,95.7536,1691737,0,1
2018-01-18,96.02,97.6,95.87,97.29,95.5964,2298745,0,1
2018-01-17,94.38,96.375,93.92,96.02,94.3485,2749816,0,1
2018-01-16,94.03,94.37,92.675,93.33,91.7053,1555498,0,1
2018-01-12,92.33,93.65,91.79,93.44,91.8134,1268895,0,1
2018-01-11,91.18,92.34,90.72,92.11,90.5066,1068818,0,1
2018-01-10,91.95,92.2614,90.08,90.95,89.3668,1830060,0,1
2018-01-09,92.73,93.03,91.68,92.51,90.8996,2103643,0,1
2018-01-08,91.94,92.87,91.34,92.62,91.0077,1083786,0,1
2018-01-05,92.58,92.88,91.57,92.26,90.654,1434891,0,1
2018-01-04,92.23,92.85,91.44,91.99,90.3887,1631960,0,1
2018-01-03,90.51,92.18,90.38,91.77,90.1725,2524008,0,1
2018-01-02,88.58,90.54,88.26,90.41,88.8362,1615222,0,1
2017-12-29,88.7,89,87.83,87.88,86.3502,886021,0,1
2017-12-28,88.9,89,88.18,88.61,87.0675,1108903,0,1
2017-12-27,88.95,89.12,88.29,88.4,86.8612,788571,0,1
2017-12-26,88.19,88.92,87.77,88.63,87.0872,584398,0,1
2017-12-22,89.33,89.61,88.12,88.92,87.3721,827212,0,1
2017-12-21,90.32,90.65,89.38,89.46,87.9027,1375753,0,1
2017-12-20,90.06,90.89,89.47,90.22,88.6495,1766060,0,1
2017-12-19,89.22,89.84,88.42,89.59,88.0304,1679850,0,1
2017-12-18,87.29,89.39,87.29,88.97,87.4212,2098239,0,1
2017-12-15,86.23,87.25,85.36,86.75,85.2399,3027840,0,1
2017-12-14,86.45,86.64,85.37,85.47,83.9822,1927504,0,1
2017-12-13,86.41,86.94,85.94,86.4,84.896,1445753,0,1
2017-12-12,86.79,87.04,85.66,85.84,84.3457,1893765,0,1
2017-12-11,87.46,88.43,86.92,87.39,85.8687,1572504,0,1
2017-12-08,88.1,88.4775,87.26,87.41,85.8884,1843757,0,1
2017-12-07,86.41,87.65,86.134,87.39,85.8687,1745857,0,1
2017-12-06,85.8,86.83,85.29,86.31,84.8075,1511660,0,1
2017-12-05,85.97,88.62,85.5583,86.21,84.7093,2327199,0,1
2017-12-04,87.43,87.935,85.71,86.3,84.7977,2494821,0,1
2017-12-01,86.4,87.31,85.1,87,85.4855,3099269,0,1
2017-11-30,87.19,88.75,86.67,86.99,85.4757,3665339,0,1
2017-11-29,90.21,90.295,85.95,86.58,85.0728,4389759,0,1
2017-11-28,89.15,90.68,88.85,90.58,89.0032,2162518,0,1
2017-11-27,90.47,90.62,88.63,88.93,87.3819,2534724,0,1
2017-11-24,90.29,91.04,90.22,90.97,89.3864,727935,0,1
2017-11-22,91.66,92.2552,90.39,90.4,88.8263,1589760,0,1
2017-11-21,91.94,92.6247,91.61,91.87,90.2708,1303303,0,1
2017-11-20,91.48,91.89,91.14,91.39,89.7991,1460496,0.3625,1
2017-11-17,91.02,91.59,90.64,91.3,89.3562,2029301,0,1
2017-11-16,89.76,91.06,89.63,90.78,88.8473,1779756,0,1
2017-11-15,90.46,90.7,89.28,89.59,87.6826,1495546,0,1
2017-11-14,90.67,91.12,90.01,91.01,89.0724,1498810,0,1
2017-11-13,91.01,91.33,90.47,91.02,89.0822,1384550,0,1
2017-11-10,90.88,91.67,90.36,91.56,89.6107,1823941,0,1
2017-11-09,92.33,92.44,89.58,90.81,88.8767,2478508,0,1
2017-11-08,91.35,93.12,90.9062,92.81,90.8341,4605102,0,1
2017-11-07,95,95.92,90.5,91.44,89.4933,4462512,0,1
2017-11-06,94.31,95.62,94.17,95.36,93.3298,2970001,0,1
2017-11-03,93.72,94.02,92.53,93.66,91.666,1387652,0,1
2017-11-02,92.38,93.91,92.13,93.46,91.4703,1396354,0,1
2017-11-01,94.3,95.14,92.52,92.99,91.0103,2926616,0,1
2017-10-31,95.23,95.69,94.62,94.8,92.7817,1226747,0,1
2017-10-30,94.21,95.49,93.96,95.21,93.183,1982711,0,1
2017-10-27,93.81,94.81,92.73,94.72,92.7034,1963660,0,1
2017-10-26,92.84,93.64,92.84,93.12,91.1375,1233149,0,1
2017-10-25,92.87,93.1994,91.57,92.32,90.3545,1620337,0,1
2017-10-24,92.63,93.41,92.53,93.31,91.3234,822605,0,1
2017-10-23,93.11,93.39,92.29,92.61,90.6384,1668782,0,1
2017-10-20,93.89,94.66,92.5,92.73,90.7558,1703417,0,1
2017-10-19,91.6,93.11,90.55,93.05,91.069,1474538,0,1
2017-10-18,91.59,92.36,90.39,92.12,90.1588,1612982,0,1
2017-10-17,91.79,91.87,91.17,91.7,89.7477,956953,0,1
2017-10-16,92.23,92.29,91.6,91.89,89.9337,833489,0,1
2017-10-13,92.24,92.51,91.41,91.76,89.8064,1051560,0,1
2017-10-12,91.47,92.4,91.47,91.78,89.826,1116677,0,1
2017-10-11,91.73,92.13,91.37,91.93,89.9728,1117544,0,1
2017-10-10,92,92.33,91.1,91.92,89.963,1096481,0,1
2017-10-09,91.85,91.99,91.26,91.49,89.5422,1098435,0,1
2017-10-06,90.91,91.59,90.29,91.55,89.6009,1344721,0,1
2017-10-05,91.81,91.82,90.75,91.3,89.3562,1819635,0,1
2017-10-04,90.67,91.61,90.021,91.6,89.6499,2503479,0,1
2017-10-03,90.55,90.95,90.26,90.72,88.7886,1690298,0,1
2017-10-02,90.37,91.23,90.15,90.55,88.6222,1938163,0,1
2017-09-29,89.11,89.99,88.87,89.78,87.8686,2162378,0,1
2017-09-28,88.63,89.28,88.29,89.14,87.2422,1897610,0,1
2017-09-27,88.49,89.52,88.2401,88.92,87.0269,1751070,0,1
2017-09-26,88.8,89.29,87.19,87.76,85.8916,1714166,0,1
2017-09-25,89.05,89.38,87.5901,88.07,86.195,1598334,0,1
2017-09-22,88.09,89.79,88.09,89.69,87.7805,1193710,0,1
