Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,110.7,110.81,109.6901,110.45,110.45,5130621,0,1
2018-11-29,110.33,111.115,109.03,110.19,110.19,27776067,0,1
2018-11-28,107.89,111.33,107.86,111.12,111.12,46788461,0,1
2018-11-27,106.27,107.33,105.36,107.14,107.14,29124486,0,1
2018-11-26,104.79,106.63,104.58,106.47,106.47,32336165,0,1
2018-11-23,102.17,103.8099,102,103.07,103.07,13823099,0,1
2018-11-21,103.6,104.43,102.24,103.11,103.11,28130621,0,1
2018-11-20,101.8,102.97,99.3528,101.71,101.71,64052457,0,1
2018-11-19,108.27,108.56,103.55,104.62,104.62,44773899,0,1
2018-11-16,107.08,108.88,106.8,108.29,108.29,33502121,0,1
2018-11-15,104.99,107.8,103.91,107.28,107.28,38505165,0,1
2018-11-14,108.1,108.26,104.47,104.97,104.97,39495141,0.46,1
2018-11-13,107.55,108.74,106.64,106.94,106.4734,35374583,0,1
2018-11-12,109.42,109.96,106.1,106.87,106.4037,33621807,0,1
2018-11-09,110.85,111.45,108.76,109.57,109.0919,32039223,0,1
2018-11-08,111.8,112.21,110.91,111.75,111.2624,25644105,0,1
2018-11-07,109.44,112.24,109.4,111.96,111.4715,37901704,0,1
2018-11-06,107.38,108.84,106.28,107.72,107.25,24340248,0,1
2018-11-05,106.37,107.74,105.9,107.51,107.0409,27922144,0,1
2018-11-02,106.48,107.32,104.975,106.16,105.6968,37680194,0,1
2018-11-01,107.05,107.32,105.53,105.92,105.4579,33384201,0,1
2018-10-31,105.435,108.14,105.39,106.81,106.344,51062383,0,1
2018-10-30,103.66,104.38,100.11,103.73,103.2774,65350878,0,1
2018-10-29,108.105,108.7,101.63,103.85,103.3969,55162001,0,1
2018-10-26,105.69,108.75,104.76,106.96,106.4933,55523104,0,1
2018-10-25,106.55,109.27,106.15,108.3,107.8275,61646819,0,1
2018-10-24,108.41,108.49,101.5901,102.32,101.8736,63897759,0,1
2018-10-23,107.77,108.97,105.11,108.1,107.6284,43770429,0,1
2018-10-22,109.32,110.54,108.24,109.63,109.1517,26545607,0,1
2018-10-19,108.93,110.86,108.21,108.66,108.1859,32785475,0,1
2018-10-18,110.1,110.53,107.83,108.5,108.0266,32506192,0,1
2018-10-17,111.68,111.81,109.5482,110.71,110.227,26548243,0,1
2018-10-16,109.54,111.41,108.95,111,110.5157,31610164,0,1
2018-10-15,108.91,109.48,106.9468,107.6,107.1305,32068103,0,1
2018-10-12,109.01,111.24,107.12,109.57,109.0919,47742109,0,1
2018-10-11,105.35,108.93,104.2,105.91,105.4479,63904282,0,1
2018-10-10,111.24,111.5,105.79,106.16,105.6968,61376300,0,1
2018-10-09,111.14,113.08,110.8,112.26,111.7702,26198594,0,1
2018-10-08,111.66,112.03,109.34,110.85,110.3664,29640588,0,1
2018-10-05,112.63,113.17,110.64,112.13,111.6408,29068859,0,1
2018-10-04,114.61,114.7588,111.63,112.79,112.2979,34821717,0,1
2018-10-03,115.42,116.18,114.93,115.17,114.6675,16648018,0,1
2018-10-02,115.3,115.84,114.44,115.15,114.6476,20787239,0,1
2018-10-01,114.75,115.68,114.73,115.61,115.1056,18883079,0,1
2018-09-28,114.19,114.57,113.68,114.37,113.871,21647811,0,1
2018-09-27,114.78,114.91,114.2,114.41,113.9108,19091299,0,1
2018-09-26,114.47,115.055,113.74,113.98,113.4827,19352025,0,1
2018-09-25,114.8,115.1,113.75,114.45,113.9506,22668014,0,1
2018-09-24,113.03,114.9,112.2175,114.67,114.1697,27334460,0,1
2018-09-21,114,115.29,113.51,114.26,113.7615,71229698,0,1
2018-09-20,112.28,113.8,111.93,113.57,113.0745,23714512,0,1
2018-09-19,113.05,113.32,111.035,111.7,111.2126,21728429,0,1
2018-09-18,112.19,113.695,111.72,113.21,112.7161,22170934,0,1
2018-09-17,113.69,113.7,111.86,112.14,111.6507,20736516,0,1
2018-09-14,113.36,113.73,112.44,113.37,112.8754,19122349,0,1
2018-09-13,112.12,113.725,112.12,112.91,112.4174,26055620,0,1
2018-09-12,111.43,111.85,110.51,111.71,111.2226,18891064,0,1
2018-09-11,108.9,111.59,108.89,111.24,110.7547,24301774,0,1
2018-09-10,108.84,109.64,108.36,109.38,108.9028,20727906,0,1
2018-09-07,108.23,108.7248,107.23,108.21,107.7379,22498646,0,1
2018-09-06,108.25,108.99,107.51,108.74,108.2656,23477624,0,1
2018-09-05,111.01,111.42,108.1,108.49,108.0166,32872352,0,1
2018-09-04,110.85,111.955,110.22,111.71,111.2226,22634641,0,1
2018-08-31,111.685,112.777,111.515,112.33,111.8399,23222713,0,1
2018-08-30,111.67,112.61,111.44,111.95,111.4616,22798702,0,1
2018-08-29,110.45,112.03,110.27,112.02,111.5312,20818044,0,1
2018-08-28,109.94,110.5,109.79,110.26,109.7789,19151528,0,1
2018-08-27,109.27,109.64,108.51,109.6,109.1218,19662331,0,1
2018-08-24,107.67,108.56,107.56,108.4,107.927,17234020,0,1
2018-08-23,107.15,108.18,106.87,107.56,107.0907,18167723,0,1
2018-08-22,105.85,107.34,105.78,107.06,106.5929,18000639,0,1
2018-08-21,106.92,107.35,105.85,105.98,105.5176,22881861,0,1
2018-08-20,107.51,107.9,106.48,106.87,106.4037,17914201,0,1
2018-08-17,107.36,107.9,106.69,107.58,107.1106,18061512,0,1
2018-08-16,108.3,108.86,107.3,107.64,107.1704,21384289,0,1
2018-08-15,108.49,108.985,106.82,107.66,107.1903,29982806,0.42,1
2018-08-14,108.56,109.75,108.04,109.56,108.6581,16788314,0,1
2018-08-13,109.24,109.58,108.1,108.21,107.3192,18474884,0,1
2018-08-10,109.42,109.69,108.38,109,108.1027,18183724,0,1
2018-08-09,109.71,110.16,109.6,109.67,108.7672,13677211,0,1
2018-08-08,109.33,109.75,108.7599,109.49,108.5887,15487502,0,1
2018-08-07,108.56,109.1,108.17,108.88,107.9837,16080214,0,1
2018-08-06,108.12,108.42,107.559,108.13,107.2399,20265947,0,1
2018-08-03,107.8,108.05,106.82,108.04,107.1506,18659599,0,1
2018-08-02,105.4,108.09,104.84,107.57,106.6845,26104258,0,1
2018-08-01,106.03,106.446,105.42,106.28,105.4051,23628699,0,1
2018-07-31,106.49,106.72,105.38,106.08,105.2067,27655152,0,1
2018-07-30,107.19,107.53,104.76,105.37,104.5026,34668327,0,1
2018-07-27,110.18,110.18,106.14,107.68,106.7936,37005292,0,1
2018-07-26,110.74,111,109.5,109.62,108.7176,31372110,0,1
2018-07-25,107.955,111.15,107.6,110.83,109.9176,30798058,0,1
2018-07-24,108.57,108.82,107.26,107.66,106.7737,26316619,0,1
2018-07-23,106.3,108.14,106.13,107.97,107.0812,29706955,0,1
2018-07-20,108.08,108.2,106.08,106.27,105.3952,56038827,0,1
2018-07-19,104.93,105.31,103.89,104.4,103.5406,40171646,0,1
2018-07-18,105.94,106.05,104.715,105.12,104.2546,29493927,0,1
