Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,44.38,44.61,43.905,44.39,44.39,11282404,0,1
2018-11-29,44.9,45.085,44.32,44.51,44.51,9203174,0,1
2018-11-28,44.29,45.53,43.6722,45.31,45.31,12380774,0,1
2018-11-27,44.02,44.3987,43.83,44.05,44.05,8035949,0,1
2018-11-26,43.72,44.7,43.72,44.28,44.28,8862886,0,1
2018-11-23,43.28,43.61,43.045,43.08,43.08,4822440,0,1
2018-11-21,43.29,44.225,43.15,43.73,43.73,7961914,0,1
2018-11-20,43.89,44.01,42.54,43.1,43.1,16035711,0,1
2018-11-19,44.17,44.785,44.04,44.41,44.41,9856718,0,1
2018-11-16,43.99,44.335,43.47,44.13,44.13,9775079,0,1
2018-11-15,43.35,44.47,43.1,44.3,44.3,14057610,0,1
2018-11-14,45.09,46.75,43.05,43.85,43.85,13265247,0,1
2018-11-13,43.61,45.13,43.43,44.68,44.68,12346067,0,1
2018-11-12,45.52,45.85,43.92,44.13,44.13,14302034,0,1
2018-11-09,46.36,46.44,45.65,45.73,45.73,10017903,0,1
2018-11-08,46.33,46.85,46.2,46.43,46.43,9484122,0,1
2018-11-07,46.19,46.81,45.63,46.61,46.61,9951156,0,1
2018-11-06,45.78,46.07,45.285,45.72,45.72,10737349,0,1
2018-11-05,46.02,46.355,45.63,45.82,45.82,12318900,0,1
2018-11-02,46.5,46.95,45.535,45.95,45.95,10478833,0,1
2018-11-01,45.82,46.2,45.45,45.89,45.89,8679872,0,1
2018-10-31,45.14,46.34,45.11,45.66,45.66,16928328,0,1
2018-10-30,44,44.59,43.56,44.5,44.5,14780330,0.3,1
2018-10-29,44.59,45.075,43.29,43.95,43.6557,12869775,0,1
2018-10-26,43.77,44.517,43.245,43.97,43.6756,12997093,0,1
2018-10-25,43.96,44.96,43.95,44.55,44.2517,13838470,0,1
2018-10-24,44.79,44.8,43.33,43.49,43.1988,15067401,0,1
2018-10-23,44.02,44.81,43.3125,44.52,44.2219,15095320,0,1
2018-10-22,46.43,46.72,45.09,45.11,44.8079,11166709,0,1
2018-10-19,46.07,46.725,45.64,46.42,46.1092,14931528,0,1
2018-10-18,46.91,47.49,45.75,46.03,45.7218,14873921,0,1
2018-10-17,45.96,47.84,45.53,47.19,46.874,22122135,0,1
2018-10-16,45.74,46.2,44.48,45.94,45.6324,24174876,0,1
2018-10-15,43.42,43.77,43.07,43.47,43.1789,11986809,0,1
2018-10-12,44.3,44.57,42.88,43.43,43.1392,16049323,0,1
2018-10-11,44.18,44.7801,43.165,43.49,43.1988,21746894,0,1
2018-10-10,46.34,46.41,44.515,44.62,44.3212,14143842,0,1
2018-10-09,46.7,46.81,45.94,46.16,45.8509,9999920,0,1
2018-10-08,46.51,47.215,46.3,47.02,46.7051,7054493,0,1
2018-10-05,47.38,47.53,46.5,46.75,46.4369,7939075,0,1
2018-10-04,47.38,47.93,46.9733,47.27,46.9535,7722601,0,1
2018-10-03,47.17,47.73,46.975,47.11,46.7945,8985334,0,1
2018-10-02,46.7,46.96,46.15,46.63,46.3177,9589150,0,1
2018-10-01,46.92,47.31,46.515,46.63,46.3177,9710524,0,1
2018-09-28,47.42,47.55,46.4,46.57,46.2581,14187318,0,1
2018-09-27,47.83,48.16,47.55,47.77,47.4501,12204923,0,1
2018-09-26,48.36,48.49,47.54,47.7,47.3806,8443136,0,1
2018-09-25,48.7,49.19,48.25,48.28,47.9567,9007555,0,1
2018-09-24,49.37,49.45,48.48,48.56,48.2348,7917636,0,1
2018-09-21,49.93,49.97,49.15,49.41,49.0791,21450371,0,1
2018-09-20,49.75,50.37,49.71,49.88,49.546,11810016,0,1
2018-09-19,47.88,49.36,47.88,49.1,48.7712,12489109,0,1
2018-09-18,47.86,48.04,47.55,47.85,47.5296,7082739,0,1
2018-09-17,48.5,48.54,47.555,47.68,47.3607,6726514,0,1
2018-09-14,47.89,48.51,47.85,48.19,47.8673,6955800,0,1
2018-09-13,47.73,48.1,47.5,47.72,47.4004,8380123,0,1
2018-09-12,47.79,48.1,47.26,47.48,47.1621,6231787,0,1
2018-09-11,47.71,48.04,47.39,47.86,47.5395,5011708,0,1
2018-09-10,48.37,48.47,47.91,47.94,47.619,4924961,0,1
2018-09-07,48.02,48.4001,47.88,48.22,47.8971,7285237,0,1
2018-09-06,48.55,48.815,47.68,47.93,47.609,7990648,0,1
2018-09-05,48.65,49.05,48.51,48.72,48.3937,5527517,0,1
2018-09-04,48.86,48.91,48.18,48.71,48.3838,8548661,0,1
2018-08-31,49.09,49.09,48.5657,48.83,48.503,7698386,0,1
2018-08-30,49.77,49.89,49.2,49.3,48.9699,11399899,0,1
2018-08-29,50,50.185,49.58,49.95,49.6155,7856650,0,1
2018-08-28,50.05,50.425,49.88,50,49.6652,7419103,0,1
2018-08-27,48.48,50.1,48.42,49.89,49.5559,13317463,0,1
2018-08-24,48.34,48.61,48.1,48.14,47.8176,5620737,0,1
2018-08-23,48.42,48.72,47.98,48.13,47.8077,7699280,0,1
2018-08-22,48.36,48.66,48.24,48.6,48.2746,4951975,0,1
2018-08-21,48.12,48.935,48.01,48.54,48.215,9632036,0,1
2018-08-20,48.33,48.59,48.145,48.29,47.9666,7898209,0,1
2018-08-17,48.17,48.61,48.17,48.37,48.0461,5854527,0,1
2018-08-16,47.83,48.59,47.8,48.3,47.9766,8264597,0,1
2018-08-15,47.26,47.59,47.02,47.45,47.1323,9496125,0,1
2018-08-14,47.5,48.04,47.4,47.86,47.5395,8695834,0,1
2018-08-13,48.34,48.4797,47.28,47.35,47.0329,11447455,0,1
2018-08-10,48.88,48.89,48.14,48.39,48.066,14321552,0,1
2018-08-09,50.1,50.25,49.41,49.44,49.1089,7583434,0,1
2018-08-08,50.13,50.38,49.96,50.12,49.7844,5884075,0,1
2018-08-07,50.15,50.84,50.1,50.13,49.7943,5632265,0,1
2018-08-06,49.89,50.12,49.57,49.99,49.6552,5086939,0,1
2018-08-03,49.97,50.16,49.73,49.91,49.5758,5426539,0,1
2018-08-02,49.81,50.03,49.25,49.81,49.4765,7882660,0,1
2018-08-01,50.94,51.18,50.04,50.18,49.844,9194876,0,1
2018-07-31,50.96,51.015,50.22,50.56,50.2214,9714906,0,1
2018-07-30,50.88,51.31,50.43,50.9,50.5592,10123712,0.3,1
2018-07-27,51.09,51.3,50.725,51.05,50.411,7253602,0,1
2018-07-26,51.22,51.36,50.92,50.99,50.3518,5525022,0,1
2018-07-25,50.98,51.11,50.405,51.04,50.4012,7466198,0,1
2018-07-24,50.98,51.525,50.84,50.98,50.3419,7254883,0,1
2018-07-23,50.27,51,50.25,50.74,50.1049,7728944,0,1
2018-07-20,49.65,50.585,49.59,50.27,49.6408,8909994,0,1
2018-07-19,50.5,50.97,49.78,49.85,49.226,11363567,0,1
2018-07-18,50.75,51.5,50.05,50.56,49.9272,18407322,0,1
2018-07-17,49,49.4452,48.49,49.18,48.5644,11138345,0,1
2018-07-16,48.22,49.09,48.2,48.9,48.2879,8723993,0,1
2018-07-13,48.08,48.4,47.4785,48.08,47.4782,9772493,0,1
2018-07-12,48,48.27,47.8,48.02,47.419,7774660,0,1
2018-07-11,47.64,48.07,47.585,47.75,47.1523,6089496,0,1
2018-07-10,48.43,48.65,47.99,48.1,47.498,9238826,0,1
2018-07-09,47.29,48.5,47.29,48.41,47.8041,9412496,0,1
2018-07-06,46.53,47.29,46.28,47.09,46.5006,7269740,0,1
2018-07-05,47.29,47.49,46.4,46.7,46.1155,10577345,0,1
2018-07-03,47.87,47.89,46.94,47.02,46.4315,5037768,0,1
2018-07-02,46.96,47.77,46.7651,47.72,47.1227,8655098,0,1
2018-06-29,48.98,49.27,47.38,47.4,46.8067,13592225,0,1
2018-06-28,47.25,48.55,47.22,48.29,47.6856,14183344,0,1
2018-06-27,47.94,48.4999,47.19,47.19,46.5993,11634863,0,1
2018-06-26,47.94,48.045,47.1099,47.79,47.1918,12097849,0,1
2018-06-25,48.65,48.7854,47.46,47.93,47.3301,14684249,0,1
2018-06-22,49.98,50.54,48.8,48.89,48.2781,18478059,0,1
2018-06-21,49.66,50.12,48.98,49.79,49.1668,11018359,0,1
2018-06-20,50.13,50.39,49.83,49.89,49.2655,6570767,0,1
2018-06-19,50.17,50.19,49.485,49.92,49.2952,12490091,0,1
2018-06-18,50.71,50.94,50.45,50.77,50.1345,7493912,0,1
2018-06-15,50.91,51.42,50.58,51.16,50.5197,11505664,0,1
2018-06-14,51.71,51.72,51.099,51.31,50.6678,8620694,0,1
2018-06-13,51.48,52.36,51.27,51.6,50.9541,7981400,0,1
2018-06-12,51.88,52.12,50.95,51.32,50.6776,8953288,0,1
2018-06-11,52.2,52.44,51.77,51.78,51.1319,6810384,0,1
2018-06-08,52.11,52.18,51.57,51.91,51.2603,6412908,0,1
2018-06-07,52.26,52.72,51.86,52.14,51.4874,8477617,0,1
2018-06-06,50.92,52.075,50.88,51.91,51.2603,7945828,0,1
2018-06-05,51.27,51.5,50.6662,50.78,50.1444,9135955,0,1
2018-06-04,51.57,51.73,51.4347,51.55,50.9048,5523757,0,1
2018-06-01,50.93,51.47,50.87,51.21,50.569,10003862,0,1
2018-05-31,50.7,50.78,49.9,50.14,49.5124,15150422,0,1
2018-05-30,50.7,51.195,50.09,50.97,50.332,11542623,0,1
2018-05-29,52.18,52.32,49.51,49.96,49.3347,26605112,0,1
2018-05-25,53.66,53.83,52.715,53.01,52.3465,10152793,0,1
2018-05-24,54.13,54.28,53.175,54,53.3241,6637304,0,1
2018-05-23,54.48,54.606,53.625,54.35,53.6697,6529702,0,1
2018-05-22,54.46,55.4,54.45,54.88,54.1931,5930382,0,1
2018-05-21,54.43,54.94,54.24,54.36,53.6796,5901704,0,1
2018-05-18,54.56,54.93,53.87,53.92,53.2451,6702437,0,1
2018-05-17,54.89,55.15,54.34,54.87,54.1832,4576778,0,1
2018-05-16,54.54,55.165,54.5,54.97,54.282,4517653,0,1
2018-05-15,55.04,55.42,54.5,54.85,54.1635,7523359,0,1
2018-05-14,55.35,55.64,55.11,55.22,54.5288,5815967,0,1
2018-05-11,55.1,55.54,54.88,55.2,54.5091,6063094,0,1
2018-05-10,54.23,55.2,53.86,55.04,54.3511,8208570,0,1
2018-05-09,53.62,54.25,53.16,54.14,53.4624,7114842,0,1
2018-05-08,52.56,53.76,52.39,53.38,52.7119,11578140,0,1
2018-05-07,51.64,52.63,51.53,52.39,51.7343,6576064,0,1
2018-05-04,50.72,51.77,50.525,51.4,50.7566,10368650,0,1
2018-05-03,51.37,51.44,49.885,51.08,50.4407,11437990,0,1
2018-05-02,51.8,52.5475,51.495,51.7,51.0529,8930984,0,1
2018-05-01,51.39,51.87,51.03,51.81,51.1615,8498274,0,1
2018-04-30,52.18,52.5,51.58,51.62,50.9739,8209733,0,1
2018-04-27,51.84,52.51,51.78,51.86,51.2109,7784472,0.25,1
2018-04-26,52.01,52.6,51.67,52.2,51.2993,14668929,0,1
2018-04-25,52.85,52.87,51.82,52.04,51.1421,12621285,0,1
2018-04-24,53.96,54.615,52.435,53.07,52.1543,10742663,0,1
2018-04-23,54.55,54.59,53.3301,53.64,52.7145,8523564,0,1
2018-04-20,54.89,55.33,54.0992,54.46,53.5203,10183582,0,1
2018-04-19,53.36,54.83,53.34,54.7,53.7562,13873694,0,1
2018-04-18,53.91,55,52.93,53.26,52.341,17524005,0,1
2018-04-17,54.01,54.1,52.77,53.24,52.3214,14505328,0,1
2018-04-16,53.44,53.95,53.34,53.4,52.4786,7282233,0,1
2018-04-13,54.74,54.88,52.75,52.98,52.0659,12364035,0,1
2018-04-12,53.33,54.3,53.3,53.85,52.9209,9315161,0,1
2018-04-11,52.95,53.48,52.61,52.74,51.83,12121199,0,1
2018-04-10,54.12,54.54,53.56,54.14,53.2059,9286609,0,1
2018-04-09,53.59,54.63,53.27,53.35,52.4295,8111578,0,1
2018-04-06,54.11,54.52,52.49,53.04,52.1248,9578541,0,1
2018-04-05,54.21,55.39,54.153,54.86,53.9134,9968216,0,1
2018-04-04,52.17,53.79,52.12,53.67,52.744,6692109,0,1
2018-04-03,53.01,53.54,52.26,53.17,52.2526,10335772,0,1
2018-04-02,53.83,54.02,51.94,52.72,51.8104,9311031,0,1
2018-03-29,53.24,54.44,53.02,53.96,53.029,7349163,0,1
2018-03-28,53.28,53.425,51.97,52.91,51.9971,11262348,0,1
2018-03-27,54.53,54.9,52.63,53.15,52.2329,12209206,0,1
2018-03-26,53.33,54.43,52.64,54.3,53.3631,11824606,0,1
2018-03-23,54.91,54.98,51.99,52.07,51.1716,16396181,0,1
2018-03-22,56.31,56.67,54.51,54.64,53.6972,14593391,0,1
2018-03-21,57.33,58.17,56.89,57.11,56.1246,8417244,0,1
2018-03-20,57.19,57.87,56.89,57.47,56.4784,8133375,0,1
2018-03-19,57.4,57.67,56.19,56.95,55.9674,7647038,0,1
2018-03-16,57.39,58.06,57.29,57.51,56.5177,8801529,0,1
2018-03-15,57.39,57.54,56.94,57.22,56.2327,5619227,0,1
2018-03-14,58.42,58.42,56.795,56.99,56.0067,8246704,0,1
2018-03-13,59.22,59.29,57.87,58.03,57.0287,5992661,0,1
2018-03-12,58.61,59.38,58.549,58.91,57.8936,8000759,0,1
2018-03-09,57.34,58.79,57.25,58.67,57.6577,10439498,0,1
2018-03-08,56.95,57.17,55.97,56.96,55.9772,7424765,0,1
2018-03-07,55.83,57.03,55.7,56.88,55.8986,8180976,0,1
2018-03-06,55.89,56.71,55.41,56.56,55.5841,9762349,0,1
2018-03-05,54.32,56,54.28,55.49,54.5326,7598455,0,1
2018-03-02,54.14,54.87,53.51,54.74,53.7955,12154118,0,1
2018-03-01,55.89,56.29,54.41,54.49,53.5498,12093882,0,1
2018-02-28,57.09,57.63,56.01,56.02,55.0534,9559499,0,1
2018-02-27,57,57.82,56.67,56.72,55.7413,11646944,0,1
2018-02-26,56.31,57.01,56.2,57.01,56.0263,7793042,0,1
2018-02-23,55.04,56.13,55.04,56.07,55.1026,6665922,0,1
2018-02-22,55.41,55.905,54.61,54.86,53.9134,6076988,0,1
2018-02-21,55.11,56.33,54.96,55.1,54.1493,8353180,0,1
2018-02-20,54.93,55.65,54.74,55.06,54.11,7646938,0,1
2018-02-16,55.3,55.57,54.95,55.14,54.1886,7416104,0,1
2018-02-15,55.48,55.6,54.575,55.4,54.4441,7761195,0,1
2018-02-14,53.27,55.1,53.26,55.05,54.1002,10499463,0,1
2018-02-13,53.03,53.88,52.86,53.39,52.4688,8626475,0,1
2018-02-12,52.8,54.135,52.62,53.43,52.5081,11623744,0,1
2018-02-09,52.56,52.91,50.02,52.14,51.2404,15687448,0,1
2018-02-08,54.54,54.645,51.79,51.79,50.8964,14020754,0,1
2018-02-07,53.92,55.71,53.89,54.55,53.6088,11501698,0,1
2018-02-06,51.2,54.36,50.9,54.33,53.3926,17516504,0,1
2018-02-05,54.64,55.63,51.92,52.55,51.6433,13290088,0,1
2018-02-02,57.03,57.29,55.39,55.48,54.5227,9726514,0,1
2018-02-01,56.5,57.46,56.37,57.45,56.4588,7460758,0,1
2018-01-31,56.71,57.08,56.33,56.55,55.5743,7182125,0,1
2018-01-30,56.67,57.29,56.55,56.6,55.6234,7217403,0.25,1
2018-01-29,57.49,58.05,57.41,57.45,56.2105,7355750,0,1
2018-01-26,57.09,57.615,56.75,57.6,56.3572,7948363,0,1
2018-01-25,57.36,57.37,56.61,56.81,55.5843,9153740,0,1
2018-01-24,57.21,57.73,56.9,57.24,56.005,8285106,0,1
2018-01-23,57.14,57.31,56.65,56.91,55.6821,9353634,0,1
2018-01-22,56.47,57.48,56.13,57.36,56.1224,16782565,0,1
2018-01-19,55.69,57.5,55.69,57.46,56.2203,15109885,0,1
2018-01-18,55.9,55.99,55.09,55.84,54.6352,13928085,0,1
2018-01-17,54.78,55.41,53.86,55.35,54.1558,11827364,0,1
2018-01-16,55.65,55.98,54.2,54.6,53.422,11018644,0,1
2018-01-12,54.57,55.14,54.52,55.12,53.9307,8994262,0,1
2018-01-11,54.14,54.335,53.82,54.2,53.0306,8306120,0,1
2018-01-10,53.94,54.48,53.61,53.93,52.7664,10925386,0,1
2018-01-09,53.06,53.52,53.02,53.3,52.15,6617310,0,1
2018-01-08,52.93,53.17,52.69,52.89,51.7489,6678727,0,1
2018-01-05,53.2,53.24,52.74,53.11,51.9641,6429066,0,1
2018-01-04,52.8,53.53,52.51,53.13,51.9837,8661544,0,1
2018-01-03,52.3,52.55,51.92,52.33,51.2009,6939451,0,1
2018-01-02,52.76,52.79,52.17,52.19,51.064,6634117,0,1
2017-12-29,52.76,52.82,52.37,52.47,51.3379,5755077,0,1
2017-12-28,52.76,52.77,52.43,52.65,51.514,3004873,0,1
2017-12-27,52.33,52.5895,52.11,52.57,51.4358,5063939,0,1
2017-12-26,52.54,52.76,52.09,52.47,51.3379,3283365,0,1
2017-12-22,53.01,53.105,52.25,52.72,51.5825,5751055,0,1
2017-12-21,52.78,53.3,52.56,52.88,51.7391,11212232,0,1
2017-12-20,53.44,53.49,52.48,52.51,51.3771,6114704,0,1
2017-12-19,53.47,53.59,52.9,52.93,51.788,6067576,0,1
2017-12-18,53.71,53.89,52.98,53.24,52.0913,8331613,0,1
2017-12-15,53.18,53.43,52.7,53.1,51.9543,12469934,0,1
2017-12-14,53.35,53.8,52.63,52.64,51.5043,8120223,0,1
2017-12-13,53.96,54.25,53.12,53.18,52.0326,10400675,0,1
2017-12-12,52.83,54.1,52.73,53.85,52.6881,8081171,0,1
2017-12-11,52.77,52.89,52.53,52.77,51.6314,6282069,0,1
2017-12-08,52.99,52.99,52.15,52.89,51.7489,6396506,0,1
2017-12-07,51.34,52.73,51.26,52.35,51.2205,8718986,0,1
2017-12-06,51.66,52.36,51.44,51.69,50.5748,6867406,0,1
2017-12-05,52.87,52.94,51.795,52.01,50.8878,7942614,0,1
2017-12-04,53.11,53.37,52.67,52.68,51.5434,10580434,0,1
2017-12-01,51.88,52.24,50.72,51.95,50.8291,10014020,0,1
2017-11-30,51.82,52.58,51.34,51.61,50.4965,12158198,0,1
2017-11-29,50.91,51.815,50.8049,51.32,50.2127,9441147,0,1
2017-11-28,49.15,50.53,48.93,50.4,49.3126,8799457,0,1
2017-11-27,48.98,49.32,48.71,49,47.9428,4861840,0,1
2017-11-24,49.3,49.39,49.04,49.06,48.0015,2692946,0,1
2017-11-22,49.34,49.62,49.07,49.09,48.0308,3784971,0,1
2017-11-21,49.61,49.76,49.29,49.38,48.3146,6036970,0,1
2017-11-20,48.91,49.28,48.66,49.11,48.0504,4569836,0,1
2017-11-17,48.29,48.895,48.16,48.7,47.6493,4983427,0,1
2017-11-16,48.39,48.84,48.37,48.6,47.5514,7672268,0,1
2017-11-15,47.84,48.525,47.42,48.1,47.0622,9712362,0,1
2017-11-14,48.37,48.55,47.96,48.38,47.3362,5966982,0,1
2017-11-13,48.25,48.76,48.24,48.63,47.5808,5694215,0,1
2017-11-10,49.01,49.195,48.72,48.76,47.708,4875629,0,1
2017-11-09,48.78,49.28,48.26,48.82,47.7667,6170430,0,1
2017-11-08,49.21,49.38,48.73,49.04,47.9819,8435662,0,1
2017-11-07,50.26,50.59,49.26,49.39,48.3244,8790891,0,1
2017-11-06,49.88,50.295,49.75,50.14,49.0582,4840853,0,1
2017-11-03,50.15,50.42,49.66,50.02,48.9408,5903620,0,1
2017-11-02,49.53,50.44,49.51,50.42,49.3322,7838815,0,1
2017-11-01,50.22,50.545,49.5,49.63,48.5592,7829002,0,1
2017-10-31,50.47,50.72,49.95,50,48.9212,9217915,0,1
2017-10-30,50.57,50.78,49.97,50.46,49.3713,9018748,0.25,1
2017-10-27,50.65,51.35,50.51,51.16,49.8094,8841525,0,1
2017-10-26,50.75,51.2,50.58,50.77,49.4297,9719770,0,1
2017-10-25,51.51,51.52,49.92,50.515,49.1814,8902757,0,1
2017-10-24,50.81,51.39,50.79,51.07,49.7218,7849657,0,1
2017-10-23,50.88,51.1,50.39,50.61,49.2739,6261959,0,1
2017-10-20,50.45,50.91,50.22,50.68,49.3421,7753744,0,1
2017-10-19,49.79,49.945,49.185,49.79,48.4756,9658782,0,1
2017-10-18,49.42,50.45,49.37,50.15,48.8261,11963582,0,1
2017-10-17,49.69,50.33,48.9742,49.12,47.8233,15411829,0,1
2017-10-16,48.24,48.99,48.24,48.94,47.648,8089794,0,1
2017-10-13,48.15,48.535,47.7,48.3,47.0249,6934444,0,1
2017-10-12,49.3,49.42,48.38,48.59,47.3073,6642701,0,1
2017-10-11,49.43,49.43,49.13,49.18,47.8817,5038544,0,1
2017-10-10,49.38,49.54,49.13,49.49,48.1835,5900839,0,1
2017-10-09,49.92,50,49.31,49.38,48.0764,6270998,0,1
2017-10-06,49.96,50.14,49.38,49.76,48.4464,5107537,0,1
2017-10-05,49.11,49.96,48.7801,49.63,48.3198,10552060,0,1
2017-10-04,49.23,49.33,48.76,49.01,47.7162,5344682,0,1
2017-10-03,48.94,49.35,48.76,49.28,47.979,6328503,0,1
2017-10-02,48.11,48.96,48.11,48.92,47.6285,5921521,0,1
