Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,90.33,91.62,90.04,91.32,91.32,930253,0,1
2018-11-29,89.8,91.38,89.11,90.39,90.39,741088,0,1
2018-11-28,89.89,90.21,88.66,89.93,89.93,1198186,0,1
2018-11-27,89.15,89.88,88.85,89.46,89.46,1040935,0,1
2018-11-26,88.6,89.65,88.52,89.43,89.43,1214588,0,1
2018-11-23,87,88.15,86.32,87.86,87.86,652672,0,1
2018-11-21,88.09,88.09,86.99,87.26,87.26,1222686,0,1
2018-11-20,88.25,88.25,86.33,87.43,87.43,1186831,0,1
2018-11-19,88.67,89.32,88.43,88.99,88.99,1014573,0,1
2018-11-16,87.72,89,87.2,88.74,88.74,1001071,0,1
2018-11-15,85.91,88.185,85.22,88.08,88.08,957961,0,1
2018-11-14,89.14,89.72,85.64,85.89,85.89,1479123,0,1
2018-11-13,88.71,89.35,88.13,88.65,88.65,1055822,0,1
2018-11-12,90.38,90.55,88.32,88.6,88.6,767813,0,1
2018-11-09,90.94,91.31,89.6,90.4,90.4,699096,0,1
2018-11-08,90.01,91.45,90.01,91.34,91.34,670635,0,1
2018-11-07,90.16,90.9599,89.688,90.76,90.76,1037883,0,1
2018-11-06,88.48,89.73,88.4701,89.61,89.61,842807,0,1
2018-11-05,87.14,88.83,87.08,88.76,88.76,817671,0,1
2018-11-02,87.4,87.87,86.14,87,87,738816,0,1
2018-11-01,86.57,87.48,85.94,87,87,1087773,0,1
2018-10-31,86.44,87.13,86.13,86.71,86.71,1160205,0,1
2018-10-30,84.47,85.94,83.68,85.83,85.83,1180541,0,1
2018-10-29,84.37,85.07,83.1,84.08,84.08,1393178,0,1
2018-10-26,83,84.145,82.125,83.51,83.51,1429452,0,1
2018-10-25,81.75,84.03,81.08,83.59,83.59,1788007,0,1
2018-10-24,81.21,82.86,79.99,81.49,81.49,2341460,0,1
2018-10-23,79.47,81.85,79.47,81.65,81.65,1851270,0,1
2018-10-22,81.07,81.71,80.84,81.01,81.01,952355,0,1
2018-10-19,80.15,81.198,79.81,80.72,80.72,666064,0,1
2018-10-18,80.63,81.52,79.8,79.96,79.96,829038,0,1
2018-10-17,81.16,81.355,79.31,80.63,80.63,2256208,0,1
2018-10-16,80.71,82.27,80.39,81.93,81.93,808274,0,1
2018-10-15,79.91,80.68,79.79,80.01,80.01,1048380,0,1
2018-10-12,82.88,82.88,79.09,80.02,80.02,1242359,0,1
2018-10-11,81.59,82.2948,78.97,79.65,79.65,2049064,0,1
2018-10-10,84.24,84.6603,81.86,81.97,81.97,946760,0,1
2018-10-09,84.7,84.99,83.41,84.45,84.45,658434,0,1
2018-10-08,85.43,85.55,84.13,84.94,84.94,606925,0,1
2018-10-05,86.03,86.46,85.18,85.53,85.53,601965,0,1
2018-10-04,85.67,86.9,85.4,85.83,85.83,932882,0,1
2018-10-03,86.43,86.475,85.31,85.76,85.76,903921,0,1
