Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,48.09,48.84,47.71,48.76,48.76,22884489,0,1
2018-11-29,48.38,48.38,47.44,47.9,47.9,17052085,0,1
2018-11-28,47.73,48.25,47.37,48.19,48.19,29352889,0,1
2018-11-27,47.92,47.98,46.785,47.44,47.44,28054617,0,1
2018-11-26,49.16,49.16,48.095,48.26,48.26,21603804,0,1
2018-11-23,48.04,49.115,48.04,48.7,48.7,7807298,0,1
2018-11-21,48.76,49.175,48.53,48.62,48.62,13859507,0,1
2018-11-20,48.67,49.07,47.96,48.33,48.33,19389607,0,1
2018-11-19,51.05,51.1,49.4,49.55,49.55,19520494,0,1
2018-11-16,50.53,51.445,50.42,51.17,51.17,20929570,0,1
2018-11-15,50.04,50.69,49.05,50.63,50.63,24922802,0,1
2018-11-14,49.97,49.97,48.74,48.84,48.84,16093969,0,1
2018-11-13,49.47,50,49.24,49.51,49.51,13550762,0,1
2018-11-12,50.17,50.38,49.11,49.22,49.22,14374352,0,1
2018-11-09,50.42,50.815,50.31,50.61,50.61,15316391,0,1
2018-11-08,50.22,50.5,50.07,50.43,50.43,11967073,0,1
2018-11-07,49.58,50.5,49.47,50.26,50.26,14330012,0,1
2018-11-06,49.1,49.47,48.83,49.25,49.25,12362678,0,1
2018-11-05,49,49.13,48.5,49.02,49.02,13125823,0,1
2018-11-02,48.93,49.02,48.24,48.83,48.83,17289522,0,1
2018-11-01,48.96,49.24,48.34,48.59,48.59,17764930,0,1
2018-10-31,49.05,49.45,48.59,48.84,48.84,21082852,0,1
2018-10-30,47.08,48.62,46.92,48.57,48.57,24438150,0,1
2018-10-29,47.81,48.09,46.335,47.02,47.02,19248721,0,1
2018-10-26,47.24,48.07,46.71,47.32,47.32,23089139,0,1
2018-10-25,47.42,48.29,47.28,47.96,47.96,19349505,0,1
2018-10-24,47.88,48.3,46.7,46.76,46.76,20028237,0,1
2018-10-23,47.16,48.32,47.12,47.99,47.99,18921508,0,1
2018-10-22,47.85,48.485,47.71,47.94,47.94,16480411,0,1
2018-10-19,47.5,48.24,47.35,47.59,47.59,17768405,0,1
2018-10-18,47.57,48.135,47.13,47.38,47.38,15084839,0,1
2018-10-17,47.43,48.2366,47.43,47.86,47.86,15071061,0,1
2018-10-16,47.57,48.42,47.47,48.23,48.23,13600168,0,1
2018-10-15,46.96,47.62,46.87,47.12,47.12,15693598,0.19,1
2018-10-12,47.4,47.75,46.66,47.38,47.1897,23152878,0,1
2018-10-11,47.33,47.886,46.49,46.78,46.5921,26387578,0,1
2018-10-10,48.81,48.98,47.37,47.4,47.2096,20885381,0,1
2018-10-09,49.11,49.4,48.825,48.87,48.6737,19009806,0,1
2018-10-08,49.27,49.64,48.895,49.36,49.1618,16295812,0,1
2018-10-05,49.42,49.765,49.115,49.35,49.1518,16900168,0,1
2018-10-04,49.68,49.78,49.17,49.47,49.2713,19033961,0,1
2018-10-03,49.59,50.1,49.59,49.75,49.5502,21207699,0,1
2018-10-02,51.65,51.8,50.13,50.23,50.0283,22406822,0,1
2018-10-01,51.22,51.99,51.14,51.8,51.592,19217922,0,1
2018-09-28,51.54,52.01,51.49,51.56,51.3529,16234246,0,1
2018-09-27,51.56,52.02,51.33,51.69,51.4824,17993500,0,1
2018-09-26,51.75,52.11,51.555,51.63,51.4227,18131040,0,1
2018-09-25,51.39,51.93,50.97,51.72,51.5123,18665820,0,1
2018-09-24,50.81,51.6,50.71,51.24,51.0342,23906147,0,1
2018-09-21,50.83,51.12,50.35,51.1,50.8948,50752079,0,1
2018-09-20,49.66,51.075,49.56,50.43,50.2275,26973480,0,1
2018-09-19,48.92,49.54,48.66,49.43,49.2315,20904826,0,1
2018-09-18,47.51,49.54,47.36,49.03,48.8331,33451106,0,1
2018-09-17,49.31,49.94,49.105,49.18,48.9825,29225048,0,1
2018-09-14,48.94,49.45,48.94,49.25,49.0522,20066084,0,1
2018-09-13,49.28,49.745,48.88,48.96,48.7634,22124422,0,1
2018-09-12,48.75,49.465,48.62,49.34,49.1418,17058745,0,1
2018-09-11,48.52,49.05,48.52,48.92,48.7235,14877344,0,1
2018-09-10,48,49.05,48,48.86,48.6638,20390567,0,1
2018-09-07,47.46,47.99,47.33,47.81,47.618,20513945,0,1
2018-09-06,47.95,48.22,47.52,47.71,47.5184,18456181,0,1
2018-09-05,48.41,48.485,47.785,48.04,47.8471,16437911,0,1
2018-09-04,48.36,48.83,48.16,48.58,48.3849,17289045,0,1
2018-08-31,48.38,48.63,48.35,48.58,48.3849,17844087,0,1
2018-08-30,48.89,48.89,48.31,48.38,48.1857,15154895,0,1
2018-08-29,48.64,49.1,48.64,48.89,48.6937,17307730,0,1
2018-08-28,49.39,49.43,48.595,48.64,48.4447,15475698,0,1
2018-08-27,49.41,49.7,49.285,49.33,49.1319,12253333,0,1
2018-08-24,49,49.39,48.97,49.26,49.0622,14011940,0,1
2018-08-23,48.8,49.335,48.68,48.96,48.7634,11026688,0,1
2018-08-22,48.34,48.91,48.24,48.8,48.604,11639421,0,1
2018-08-21,48.58,48.64,48.37,48.41,48.2156,10187882,0,1
2018-08-20,48.4,48.6,48.26,48.42,48.2255,11936737,0,1
2018-08-17,48.21,48.5,47.99,48.36,48.1658,11411979,0,1
2018-08-16,48.14,48.45,48.04,48.1,47.9068,11874326,0,1
2018-08-15,48.1,48.26,47.525,47.84,47.6479,14091015,0,1
2018-08-14,48.12,48.35,47.94,48.23,48.0363,11513673,0,1
2018-08-13,48.34,48.59,47.97,48.01,47.8172,12152082,0,1
2018-08-10,48.37,48.72,48.231,48.32,48.1259,10502185,0,1
2018-08-09,48.27,48.71,48.27,48.54,48.3451,14708037,0,1
2018-08-08,48.42,48.62,48.26,48.39,48.1957,10849532,0,1
2018-08-07,48.94,48.95,48.465,48.48,48.2853,11608045,0,1
2018-08-06,48.29,48.76,48.22,48.67,48.4745,13529328,0,1
2018-08-03,47.92,48.48,47.9,48.47,48.2753,14295805,0,1
2018-08-02,47.04,48.07,46.63,47.9,47.7076,14227415,0,1
2018-08-01,47.91,48.22,47.15,47.35,47.1598,22933594,0,1
2018-07-31,47.9,48.08,47.39,47.68,47.4885,18808220,0,1
2018-07-30,48.58,48.58,47.46,47.73,47.5383,20167307,0,1
2018-07-27,48.99,49.12,48.38,48.63,48.4347,14856123,0,1
2018-07-26,48.85,49.17,48.76,48.87,48.6737,15229974,0,1
2018-07-25,48.52,48.965,48.5,48.95,48.7534,16335397,0,1
2018-07-24,48.75,49.1,48.555,48.67,48.4745,19885451,0,1
2018-07-23,48.62,48.67,48.045,48.67,48.4745,17990236,0,1
2018-07-20,48.49,48.705,48.36,48.52,48.3251,17236248,0,1
2018-07-19,48.4,48.72,48.21,48.44,48.2455,16656534,0,1
2018-07-18,48.79,49,48.4,48.64,48.4447,19234709,0,1
2018-07-17,48.29,48.99,48.15,48.9,48.7036,18823113,0,1
2018-07-16,48.62,48.62,47.95,48.46,48.2654,22949744,0.19,1
2018-07-13,47.97,48.81,47.83,48.63,48.2455,25772269,0,1
2018-07-12,47.79,48.2,47.75,48.15,47.7693,24857935,0,1
2018-07-11,46.82,47.76,46.71,47.64,47.2634,22802561,0,1
2018-07-10,46.83,47.36,46.68,46.99,46.6185,27421994,0,1
2018-07-09,46.13,46.79,46.06,46.73,46.3606,25125725,0,1
2018-07-06,45.46,46.19,45.27,46,45.6363,20764300,0,1
2018-07-05,45.15,45.47,44.99,45.41,45.051,21916222,0,1
2018-07-03,44.99,44.99,44.524,44.72,44.3665,16783349,0,1
2018-07-02,43.96,44.97,43.77,44.95,44.5946,20655510,0,1
2018-06-29,44.04,44.53,43.75,44.06,43.7117,22144908,0,1
2018-06-28,43.51,44.02,43.36,43.84,43.4934,20918407,0,1
2018-06-27,44.57,44.74,43.44,43.45,43.1065,26358995,0,1
2018-06-26,44.46,44.85,44.37,44.41,44.0589,20717461,0,1
2018-06-25,43.57,44.465,43.4905,44.28,43.9299,24640543,0,1
2018-06-22,43.2,44.3,43.16,44.1,43.7514,30594322,0,1
2018-06-21,43.18,43.84,42.98,43.1,42.7593,32635062,0,1
2018-06-20,43.51,44.79,42.57,42.82,42.4815,59129004,0,1
2018-06-19,45.84,46.41,45.77,46.27,45.9042,22764939,0,1
2018-06-18,45.82,46.6,45.46,46.52,46.1522,21474089,0,1
2018-06-15,45.87,46.49,45.19,46.28,45.9141,28120363,0,1
