Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,87.22,87.3653,86.02,86.53,86.53,5651638,0,1
2018-11-29,86.5,87.14,86.27,86.96,86.96,4269300,0,1
2018-11-28,85.05,86.5,84.75,86.39,86.39,4754773,0,1
2018-11-27,84.2,85.27,84.01,85.05,85.05,4976012,0,1
2018-11-26,84.05,84.24,82.83,83.84,83.84,4347599,0,1
2018-11-23,83.05,84.65,83.05,84.05,84.05,2521117,0,1
2018-11-21,86.42,86.42,83.6175,83.95,83.95,5915671,0,1
2018-11-20,88.32,88.97,86.54,86.55,86.55,4949192,0,1
2018-11-19,86.92,87.67,86.3,87.63,87.63,5402624,0,1
2018-11-16,85.7,86.445,85.53,86.33,86.33,5196677,0,1
2018-11-15,84.82,85.84,84.39,85.83,85.83,6377833,0,1
2018-11-14,87.05,87.05,85.185,85.5,85.5,6219081,0,1
2018-11-13,87.61,88.5,86.31,86.4,86.4,7054516,0,1
2018-11-12,88.07,88.77,87.39,87.96,87.96,5233377,0,1
2018-11-09,90.14,90.875,89.02,89.18,89.18,5182685,0,1
2018-11-08,88.8,89.92,88.5,89.48,89.48,3600754,0,1
2018-11-07,89.28,89.72,88.08,89.07,89.07,5779359,0,1
2018-11-06,88.76,89.43,88.39,88.77,88.77,6557203,0,1
2018-11-05,88.69,90.13,88.65,89.55,89.55,4633433,0,1
2018-11-02,88.18,88.79,87.07,88.75,88.75,5850191,0,1
2018-11-01,88.33,89.13,87.35,88.35,88.35,5630358,0,1
2018-10-31,90.04,90.24,87.51,88.07,88.07,9509310,0,1
2018-10-30,91.2,92.69,89.8675,90.47,90.47,6472330,0,1
2018-10-29,89.25,90.67,88.86,90.46,90.46,8138855,0,1
2018-10-26,90.38,91.21,88.39,89,89,7656741,0,1
2018-10-25,88.94,91.18,87.885,90.63,90.63,6933707,0,1
2018-10-24,88.71,90.19,87.91,89.2,89.2,7648991,0,1
2018-10-23,87.65,89.28,87.62,88.5,88.5,7462176,0,1
2018-10-22,89.09,89.7,87.13,87.51,87.51,5273175,0,1
2018-10-19,88.33,89.01,88.09,88.83,88.83,6814642,0,1
2018-10-18,86.01,89.34,85.65,87.52,87.52,11167398,0,1
2018-10-17,83.48,85.1228,83.02,84.56,84.56,5048674,0,1
2018-10-16,82.65,83.78,81.82,83.5,83.5,4232823,0,1
2018-10-15,82.36,84.86,82.27,83.49,83.49,4556533,0,1
2018-10-12,82.06,82.47,80.79,82.31,82.31,6419592,0,1
2018-10-11,84.62,85,81.45,82.31,82.31,9617392,0,1
2018-10-10,84.75,86.22,84.03,84.62,84.62,6532302,0,1
2018-10-09,85.07,85.48,84.63,84.63,84.63,5369091,0,1
2018-10-08,84.1,85.31,84.1,84.89,84.89,6380301,0,1
2018-10-05,83.93,84.4,83.603,84.1,84.1,5448523,0,1
2018-10-04,82.26,83.85,82.05,83.82,83.82,5888048,0,1
2018-10-03,83.56,83.99,82.54,82.91,82.91,5948594,0,1
2018-10-02,82.01,83.52,81.99,83.52,83.52,5404730,0,1
2018-10-01,81.41,81.91,80.4527,81.82,81.82,3718316,0,1
2018-09-28,81.54,82.29,81.07,81.54,81.54,5286221,0,1
2018-09-27,81.13,82.32,80.72,81.51,81.51,4945821,0,1
2018-09-26,80.13,81.23,79.95,80.5,80.5,5867363,0,1
2018-09-25,80.61,81.23,79.83,79.91,79.91,4876263,1.14,1
2018-09-24,83.51,83.75,80.845,81.61,80.4621,7696726,0,1
2018-09-21,82.94,83.86,82.01,83.75,82.572,12837866,0,1
2018-09-20,80.96,82.75,80.89,82.55,81.3889,5431460,0,1
2018-09-19,80.12,81.1,80.03,80.91,79.772,4147931,0,1
2018-09-18,80.5,80.95,79.58,80.33,79.2001,4255783,0,1
2018-09-17,79.54,80.49,79.11,80.3,79.1705,4276681,0,1
2018-09-14,79.95,80,78.6,79.33,78.2142,3353643,0,1
2018-09-13,80.46,80.59,79.065,79.78,78.6579,4132678,0,1
2018-09-12,77.76,81.57,77.35,80.05,78.9241,9206100,0,1
2018-09-11,78.14,78.4114,77.17,77.45,76.3606,4306788,0,1
2018-09-10,79.06,79.84,78.33,78.38,77.2776,3772913,0,1
2018-09-07,78.42,78.89,78.12,78.6,77.4945,4986910,0,1
2018-09-06,78.73,79.11,78.17,78.62,77.5142,4687188,0,1
2018-09-05,77.46,78.95,77.28,78.79,77.6818,6004097,0,1
2018-09-04,78,78.17,77.32,77.64,76.548,5932292,0,1
2018-08-31,78.33,78.74,77.48,77.89,76.7944,7001535,0,1
2018-08-30,78.61,78.7,78.2,78.57,77.4649,6338262,0,1
2018-08-29,79.68,79.71,78.84,79.06,77.948,5499636,0,1
2018-08-28,79.94,80.16,79.13,79.5,78.3818,6438039,0,1
2018-08-27,80,80.65,79.81,80.26,79.1311,6102229,0,1
2018-08-24,80.7,81.23,79.42,79.69,78.5691,9451949,0,1
2018-08-23,82.42,82.57,81.87,82.32,81.1621,4094497,0,1
2018-08-22,83.46,83.62,82.23,82.43,81.2706,4210660,0,1
2018-08-21,84.29,84.35,82.93,83.53,82.3551,4993672,0,1
2018-08-20,85.24,85.28,84.21,84.58,83.3903,2854460,0,1
2018-08-17,84.37,85.27,84.37,85.05,83.8537,4124132,0,1
2018-08-16,83.73,84.74,83.44,84.68,83.4889,3953781,0,1
2018-08-15,81.99,83.52,81.59,83.41,82.2368,4767766,0,1
2018-08-14,81.93,82.62,81.81,82.31,81.1523,4281633,0,1
2018-08-13,82.24,82.43,81.26,81.86,80.7086,4733549,0,1
2018-08-10,83.41,83.48,82.17,82.56,81.3988,5087701,0,1
2018-08-09,83.79,84.585,83.7164,84.4,83.2129,2600549,0,1
2018-08-08,85.12,85.56,83.66,83.75,82.572,4320053,0,1
2018-08-07,86.5,86.5,85.3,85.53,84.327,3086641,0,1
2018-08-06,86.69,86.97,85.98,86.15,84.9383,2770258,0,1
2018-08-03,86.05,87.441,85.65,86.84,85.6186,3485091,0,1
2018-08-02,85.62,86.219,85.3201,86,84.7904,2781630,0,1
2018-08-01,86.03,86.23,85.45,85.54,84.3368,4657385,0,1
2018-07-31,86.75,86.97,85.84,86.3,85.0862,5934346,0,1
2018-07-30,85.64,86.63,85.56,86.62,85.4017,5138503,0,1
2018-07-27,84.48,85.72,84.3,85.47,84.2678,5202412,0,1
2018-07-26,84.27,85.36,83.55,84.46,83.272,5323090,0,1
2018-07-25,84.43,84.96,83.39,83.81,82.6312,6225818,0,1
2018-07-24,83.18,84.17,82.88,83.56,82.3847,6034128,0,1
2018-07-23,83.42,83.7037,82.63,83.22,82.0495,6369873,0,1
2018-07-20,80.1,84.43,80.05,84.31,83.1241,11346064,0,1
2018-07-19,79,80.92,76.52,80.9,79.7621,17196082,0,1
2018-07-18,82.52,82.93,81.85,82.15,80.9945,6453551,0,1
2018-07-17,81.83,82.59,81.8,82.33,81.172,6050347,0,1
2018-07-16,82.7,82.74,81.56,81.92,80.7678,6821428,0,1
2018-07-13,82.9,83.24,82.53,82.68,81.5171,7519143,0,1
2018-07-12,83.11,84,82.86,83.2,82.0298,5308609,0,1
2018-07-11,82.88,83.27,82.33,82.84,81.6748,6191651,0,1
2018-07-10,82.44,82.72,81.83,82.67,81.5072,3604133,0,1
2018-07-09,82.3,82.6,81.45,82.18,81.0241,4366204,0,1
2018-07-06,82.25,83.2399,82.01,82.26,81.103,4723483,0,1
2018-07-05,81.15,82.03,80.71,82.03,80.8762,4165970,0,1
2018-07-03,80.85,81.24,80.23,81.12,79.979,3225182,0,1
2018-07-02,80.62,81.22,79.5,80.24,79.1114,3956685,0,1
2018-06-29,81.93,81.98,80.66,80.74,79.6044,4689066,0,1
2018-06-28,80.5,81.8,80.27,81.66,80.5114,6613126,0,1
2018-06-27,79.8,80.82,79.2,79.9,78.7762,6918712,0,1
2018-06-26,80.2,80.3237,79.28,79.77,78.648,6640648,0,1
2018-06-25,79.48,80.17,79.37,79.97,78.8452,4272151,0,1
2018-06-22,79.9,80.47,79.8,80.19,79.0621,7464017,0,1
2018-06-21,79.6,80.03,79.27,79.47,78.3522,6049647,1.14,1
2018-06-20,80.79,81.91,80.6,81.75,79.4603,6627820,0,1
2018-06-19,80.03,81.62,80.03,80.84,78.5758,7467445,0,1
2018-06-18,81.5,81.5,79.21,80.03,77.7885,6334904,0,1
2018-06-15,80.54,82.14,80.38,81.88,79.5867,13314076,0,1
2018-06-14,80.21,81.09,79.91,80.85,78.5855,6018188,0,1
2018-06-13,80.67,80.74,79.77,80.1,77.8565,5726316,0,1
2018-06-12,80.26,80.49,79.36,80.32,78.0703,5497910,0,1
2018-06-11,80.27,80.76,79.715,80.47,78.2161,5194598,0,1
2018-06-08,78.27,79.66,78.27,79.42,77.1956,7490044,0,1
2018-06-07,76.85,78.47,76.33,77.39,75.2224,6367582,0,1
2018-06-06,77.55,77.61,76.21,76.85,74.6975,10480847,0,1
2018-06-05,78.51,78.6,77.235,77.51,75.3391,8503118,0,1
2018-06-04,78.08,78.93,77.78,78.41,76.2138,5337029,0,1
2018-06-01,79.45,79.75,78.05,78.18,75.9903,7733949,0,1
2018-05-31,80.29,80.32,78.61,79.54,77.3122,9395541,0,1
2018-05-30,79.75,80.48,79.12,80.32,78.0703,6157450,0,1
2018-05-29,79.8,80.18,78.87,79.27,77.0498,9076973,0,1
2018-05-25,81.75,81.89,80.1,80.34,78.0898,5010421,0,1
2018-05-24,81.6,81.78,80.85,81.61,79.3242,5519498,0,1
2018-05-23,79.93,81.92,79.55,81.7,79.4117,8199294,0,1
2018-05-22,80.25,80.3,79.62,79.87,77.6329,6164839,0,1
2018-05-21,81,81.1,79.98,80.15,77.9051,6153288,0,1
2018-05-18,81.26,81.3,80.44,80.75,78.4883,5978609,0,1
2018-05-17,80.89,81.43,80.62,81.04,78.7702,5713440,0,1
2018-05-16,80.39,81.33,80.24,80.89,78.6244,6156752,0,1
2018-05-15,80.42,80.57,79.4028,79.93,77.6913,8023252,0,1
2018-05-14,81.25,81.72,80.73,80.86,78.5952,5298326,0,1
2018-05-11,82.71,83.02,81.02,81.2,78.9257,6557184,0,1
2018-05-10,81.94,83.04,81.9,83,80.6753,4632628,0,1
2018-05-09,81,82.79,80.97,81.99,79.6936,5021892,0,1
2018-05-08,81.34,81.39,80.32,80.81,78.5466,5108458,0,1
2018-05-07,81.9,82.08,81.16,81.51,79.227,4519250,0,1
2018-05-04,80.54,82.505,80.5,81.87,79.5769,5561191,0,1
2018-05-03,80.12,81.34,79.71,80.44,78.187,5784382,0,1
2018-05-02,81.02,81.18,79.83,80.1,77.8565,6460724,0,1
2018-05-01,81.4,81.7,80.79,81.2,78.9257,4553754,0,1
2018-04-30,82.75,83.31,81.87,82,79.7033,6497629,0,1
2018-04-27,81.56,83.55,81.35,82.56,80.2476,6591627,0,1
2018-04-26,82.22,82.3,80.475,81.49,79.2076,9191298,0,1
2018-04-25,82.6,82.94,81.43,81.81,79.5186,7959407,0,1
2018-04-24,83.15,83.59,80.6403,82.49,80.1796,13897721,0,1
2018-04-23,84.11,84.59,83.09,83.67,81.3265,11783345,0,1
2018-04-20,85.71,86.3,83.8189,84.27,81.9097,17814237,0,1
2018-04-19,93.52,94.26,83.5,85.64,83.2413,45570307,0,1
2018-04-18,102.89,103.105,100.6,101.44,98.5988,5523706,0,1
2018-04-17,103.2,103.55,102.26,103.3,100.4067,6145297,0,1
2018-04-16,102.26,103.35,101.73,102.95,100.0665,3971167,0,1
2018-04-13,100.79,102.33,100.245,101.85,98.9973,3985946,0,1
2018-04-12,101.33,101.93,100.03,100.25,97.4421,3518534,0,1
