Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,66.86,67.38,66.65,66.72,66.72,27022193,0,1
2018-11-29,66.68,67.28,66.12,66.88,66.88,9605484,0,1
2018-11-28,66.18,66.99,65.48,66.82,66.82,12867734,0,1
2018-11-27,65.46,66.55,65.31,66.08,66.08,13169085,0,1
2018-11-26,65.98,66.12,65.205,65.69,65.69,13066763,0,1
2018-11-23,66.24,66.24,65.26,65.7,65.7,7779765,0,1
2018-11-21,67.47,67.98,66.75,66.77,66.77,10978166,0,1
2018-11-20,67.39,67.88,66.76,67.18,67.18,11208855,0,1
2018-11-19,68.1,68.4704,67.2299,67.91,67.91,10855387,0,1
2018-11-16,67.3,68.5306,67.09,68.16,68.16,9287882,0,1
2018-11-15,66.71,67.76,66.36,67.62,67.62,15246503,0,1
2018-11-14,67.3,67.95,66.73,67.04,67.04,13350450,0.36,1
2018-11-13,67.94,68.28,67.1,67.41,67.0499,16636978,0,1
2018-11-12,68.44,68.94,67.8,67.91,67.5473,12789647,0,1
2018-11-09,68.49,68.96,68.08,68.6,68.2336,8637203,0,1
2018-11-08,67.775,68.98,67.63,68.72,68.3529,14081663,0,1
2018-11-07,66.29,68.21,66.04,68.16,67.7959,16465020,0,1
2018-11-06,64.3,66.08,64.25,66.01,65.6574,16065429,0,1
2018-11-05,63.93,65.13,63.82,64.48,64.1356,23242808,0,1
2018-11-02,61.99,65.68,61.9,64.32,63.9765,45572997,0,1
2018-11-01,58.3,59.07,58.07,58.63,58.3168,18772357,0,1
2018-10-31,58.98,59.12,58.21,58.27,57.9588,11560416,0,1
2018-10-30,58.43,58.87,57.69,58.59,58.2771,14230072,0,1
2018-10-29,58.68,59.68,57.7,58.37,58.0582,14412820,0,1
2018-10-26,58.04,58.36,57.39,58.07,57.7598,13367726,0,1
2018-10-25,58.29,59.465,57.7,58.96,58.6451,9569597,0,1
2018-10-24,58.57,59.28,57.95,58.06,57.7499,12189685,0,1
2018-10-23,58.36,59.3,58.21,58.81,58.4959,12834169,0,1
2018-10-22,58.93,59.36,58.58,58.9,58.5854,8680150,0,1
2018-10-19,58.39,59.07,58.39,58.66,58.3467,10180500,0,1
2018-10-18,59,59.53,58.15,58.64,58.3268,12184673,0,1
2018-10-17,57.9,59.395,57.78,59.1,58.7843,14631015,0,1
2018-10-16,56.94,58.01,56.77,57.81,57.5012,11731398,0,1
2018-10-15,56.37,57.19,56.3105,56.75,56.4469,10175142,0,1
2018-10-12,55.71,56.78,55.28,56.45,56.1485,13980461,0,1
2018-10-11,55.7,56.27,54.705,54.86,54.567,15316853,0,1
2018-10-10,57.67,57.87,55.94,56.01,55.7108,14190452,0,1
2018-10-09,56.83,59.7,56.81,57.71,57.4018,24855700,0,1
2018-10-08,55.82,56.75,55.45,56.54,56.238,9624260,0,1
2018-10-05,55.95,55.95,55.305,55.76,55.4622,9734042,0,1
2018-10-04,55.78,56.08,55.5,55.89,55.5915,9722043,0,1
2018-10-03,55.8,56.11,55.46,55.47,55.1737,7383546,0,1
2018-10-02,55.55,56.01,55.29,55.59,55.2931,12680838,0,1
2018-10-01,56.91,56.95,55.53,55.58,55.2831,12727584,0,1
2018-09-28,57.39,57.39,56.78,56.84,56.5364,8975955,0,1
2018-09-27,57.1,57.785,57.1,57.34,57.0337,6606185,0,1
2018-09-26,56.77,57.84,56.75,57.27,56.9641,7757332,0,1
2018-09-25,56.98,57.29,56.83,56.9,56.5961,9445481,0,1
2018-09-24,56.94,57.36,56.58,56.69,56.3872,10616004,0,1
2018-09-21,56.55,57.5661,56.52,57.45,57.1431,25800450,0,1
2018-09-20,55.6,56.73,55.6,56.43,56.1286,10582603,0,1
2018-09-19,55.22,55.79,54.9,55.43,55.1339,7451644,0,1
2018-09-18,54.48,55.28,54.1,55.07,54.7759,7569586,0,1
2018-09-17,54.7,54.86,54.275,54.57,54.2785,9277192,0,1
2018-09-14,55,55,54.61,54.75,54.4576,6827670,0,1
2018-09-13,55.12,55.57,54.74,54.89,54.5968,8566607,0,1
2018-09-12,55.2,55.2,54.3263,54.97,54.6764,7297268,0,1
2018-09-11,54.83,55.395,54.765,55.12,54.8256,7873859,0,1
2018-09-10,54.94,55.11,54.57,54.97,54.6764,8621174,0,1
2018-09-07,54.2,54.96,54.16,54.86,54.567,10231692,0,1
2018-09-06,53.66,54.35,53.65,54.21,53.9205,7803422,0,1
2018-09-05,53.47,53.98,53.29,53.79,53.5027,7966579,0,1
2018-09-04,53.44,53.69,53.2148,53.53,53.2441,8235166,0,1
2018-08-31,52.46,53.71,52.451,53.45,53.1645,10892775,0,1
2018-08-30,53.12,53.41,52.97,53.1,52.8164,5576425,0,1
2018-08-29,53.07,53.4399,52.72,53.25,52.9656,6604919,0,1
2018-08-28,53.02,53.47,52.98,53.05,52.7666,7171873,0,1
2018-08-27,52.99,53.18,52.81,52.97,52.6871,6443156,0,1
2018-08-24,52.82,52.92,52.42,52.75,52.4682,9850039,0,1
2018-08-23,52.76,53.19,52.56,52.66,52.3787,8567574,0,1
2018-08-22,53.55,53.64,52.66,52.82,52.5379,10369620,0,1
2018-08-21,54.17,54.44,53.95,54,53.7116,7990040,0,1
2018-08-20,53.71,54.16,53.7,53.92,53.632,9791538,0,1
2018-08-17,52.95,53.61,52.95,53.56,53.2739,8166981,0,1
2018-08-16,52.98,53.36,52.92,53.04,52.7567,8721212,0,1
2018-08-15,52.31,52.94,52.3,52.75,52.4682,9566235,0,1
2018-08-14,51.85,52.74,51.79,52.59,52.3091,9385434,0,1
2018-08-13,51.62,51.96,51.47,51.81,51.5333,7911311,0,1
2018-08-10,51.59,51.63,51.195,51.51,51.2349,10539692,0,1
2018-08-09,51.53,52.02,51.32,51.92,51.6427,7175435,0,1
2018-08-08,51.83,51.93,51.36,51.55,51.2747,7258334,0.36,1
2018-08-07,52.08,52.205,51.8,52.07,51.4327,5869803,0,1
2018-08-06,52.1,52.27,51.8,52.07,51.4327,6505777,0,1
2018-08-03,51.7,52.45,51.58,52.23,51.5907,8246476,0,1
2018-08-02,52.1,52.35,51.43,51.68,51.0475,13636439,0,1
2018-08-01,52.24,52.24,51.25,51.93,51.2944,11952400,0,1
2018-07-31,52.03,52.69,51.85,52.39,51.7488,9228240,0,1
2018-07-30,52.2,52.845,51.76,51.9,51.2648,14448359,0,1
2018-07-27,51.4999,52.6,50.2101,52.15,51.5117,15770270,0,1
2018-07-26,51.68,51.84,51.34,51.45,50.8203,11114792,0,1
2018-07-25,51.01,51.72,51.01,51.62,50.9882,11370019,0,1
2018-07-24,51.3,51.7198,51.06,51.17,50.5437,9921586,0,1
2018-07-23,50.76,51.27,50.76,51.19,50.5635,8406801,0,1
2018-07-20,51.06,51.2425,50.75,50.91,50.2869,11033405,0,1
2018-07-19,51.11,51.49,51,51.34,50.7116,11415630,0,1
2018-07-18,51.34,51.6185,51,51.15,50.524,13549524,0,1
2018-07-17,50.66,51.3,50.6,51.28,50.6524,11421330,0,1
2018-07-16,51.55,51.55,50.69,50.94,50.3165,16974920,0,1
2018-07-13,50.26,51.65,50.26,51.62,50.9882,21720110,0,1
2018-07-12,50.36,50.656,50.2,50.25,49.635,9339200,0,1
2018-07-11,50.22,50.475,50.02,50.14,49.5263,9542401,0,1
2018-07-10,50.08,50.51,49.9645,50.42,49.8029,9038021,0,1
2018-07-09,49.21,50.05,49.21,49.9,49.2893,12811694,0,1
2018-07-06,48.9,49.19,48.58,48.98,48.3805,10711984,0,1
2018-07-05,48.92,49.03,48.4,48.61,48.015,9630476,0,1
2018-07-03,49.15,49.3,48.76,48.77,48.1731,7517541,0,1
2018-07-02,48.64,49.1,48.5468,49.06,48.4595,9870932,0,1
2018-06-29,48.08,49.26,48.08,48.85,48.2521,17413010,0,1
2018-06-28,49.45,49.48,47.37,48.54,47.9459,33210109,0,1
2018-06-27,50.52,50.53,49.84,49.84,49.23,14576867,0,1
2018-06-26,50.51,50.63,50.11,50.38,49.7634,12930561,0,1
2018-06-25,51.16,51.4366,50.21,50.66,50.04,15578586,0,1
2018-06-22,51,51.72,50.82,51.24,50.6129,24429564,0,1
2018-06-21,52.29,52.63,50.36,50.62,50.0004,30722957,0,1
2018-06-20,54.83,55.01,51.58,52.22,51.5809,62091071,0,1
2018-06-19,56.65,57.5,56.34,57.43,56.7271,9965474,0,1
2018-06-18,56.77,57.32,56.105,57.22,56.5197,9676910,0,1
2018-06-15,57.04,57.21,56.459,57.11,56.411,12408270,0,1
2018-06-14,56.46,57.07,56.31,57.02,56.3221,11049707,0,1
2018-06-13,56.51,56.7,56.18,56.21,55.522,8283213,0,1
2018-06-12,56.6,56.9,56.3,56.48,55.7887,8249711,0,1
2018-06-11,56.61,56.74,56.27,56.48,55.7887,7181724,0,1
2018-06-08,56.92,57.06,56.52,56.6,55.9073,8433528,0,1
2018-06-07,57.29,57.94,57.09,57.14,56.4406,7919801,0,1
2018-06-06,55.835,57.18,55.62,57.17,56.4703,13709779,0,1
2018-06-05,56.69,56.7,55.28,55.68,54.9985,18278843,0,1
2018-06-04,57.1,57.2,56.8,57.07,56.3715,7484072,0,1
2018-06-01,56.84,57.03,56.6068,56.91,56.2135,4967653,0,1
2018-05-31,57.18,57.4658,56.55,56.67,55.9764,9433042,0,1
2018-05-30,57.43,57.66,57.15,57.48,56.7765,5762434,0,1
2018-05-29,57.7,57.88,57.01,57.23,56.5295,6475865,0,1
2018-05-25,57.68,58.38,57.58,57.92,57.2111,6783776,0,1
2018-05-24,57.44,57.74,57.115,57.68,56.974,5681592,0,1
2018-05-23,56.8,57.57,56.76,57.49,56.7864,5339882,0,1
2018-05-22,57.5,57.62,56.91,56.96,56.2629,5355604,0,1
2018-05-21,57.4,57.82,57.2605,57.34,56.6382,5379291,0,1
2018-05-18,57.27,57.39,56.86,57.16,56.4604,7786028,0,1
2018-05-17,57.2,57.35,56.98,57.2,56.4999,6110124,0,1
2018-05-16,56.83,57.325,56.79,57.15,56.4505,4843941,0,1
2018-05-15,57,57.1,56.35,56.64,55.9468,7415770,0,1
2018-05-14,57.36,57.51,56.99,57.13,56.4308,5871783,0,1
2018-05-11,57.72,57.86,57.07,57.27,56.5691,5843427,0,1
2018-05-10,57.18,57.7,57.02,57.65,56.9444,6565825,0,1
2018-05-09,57.43,57.62,56.79,57.04,56.3419,7015334,0.3,1
2018-05-08,57.45,57.71,57.001,57.67,56.6661,7234031,0,1
2018-05-07,58.99,59.04,57.2748,57.45,56.45,10630594,0,1
2018-05-04,56.54,57.93,56.49,57.68,56.676,9279180,0,1
2018-05-03,56.52,56.57,55.54,56.13,55.1529,7152390,0,1
2018-05-02,58.06,58.09,56.53,56.7,55.713,7299089,0,1
2018-05-01,57.67,58.25,57.44,58.13,57.1181,7257462,0,1
2018-04-30,58.39,58.51,57.46,57.57,56.5679,7854596,0,1
2018-04-27,58.07,58.98,57.5,58.36,57.3441,11975153,0,1
2018-04-26,58.11,60.18,57.85,59.38,58.3464,14516626,0,1
2018-04-25,58.27,58.27,57.29,57.71,56.7054,8367357,0,1
