Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,45.48,45.5521,44.68,45.1,45.1,16183562,0,1
2018-11-29,46.53,46.6467,45.82,45.9,45.9,13565024,0,1
2018-11-28,46.3,46.51,45.26,46.41,46.41,10630425,0,1
2018-11-27,46.55,46.71,45.54,46.2,46.2,11644549,0,1
2018-11-26,47.01,47.54,46.28,46.63,46.63,11263640,0,1
2018-11-23,46.2,46.61,45.8,46.37,46.37,8001414,0,1
2018-11-21,47.6,47.9967,47.19,47.64,47.64,9262530,0,1
2018-11-20,47.51,47.7,46.34,46.9,46.9,12276801,0,1
2018-11-19,47.97,49.18,47.87,48.31,48.31,9449612,0,1
2018-11-16,48.28,48.7489,47.73,48.22,48.22,11775802,0,1
2018-11-15,47.61,48.38,47.07,48.08,48.08,16015235,0,1
2018-11-14,48.21,48.88,47.35,47.81,47.81,17285423,0,1
2018-11-13,49.35,49.37,47.25,47.34,47.34,19044120,0,1
2018-11-12,50.94,50.95,49.35,49.45,49.45,10256902,0,1
2018-11-09,50.7,51.29,50,50.4,50.4,13347262,0,1
2018-11-08,52.21,52.585,51.47,51.58,51.58,10935978,0,1
2018-11-07,52.6,52.94,51.7,52.32,52.32,9417333,0,1
2018-11-06,52,52.2367,51.5,52.08,52.08,6433723,0,1
2018-11-05,51.95,52.28,51.3,51.96,51.96,8644924,0,1
2018-11-02,52.22,52.28,50.72,51.4,51.4,8458360,0,1
2018-11-01,51.6,52.1868,50.81,51.66,51.66,10799385,0,1
2018-10-31,52.85,53.01,51.24,51.31,51.31,13260576,0,1
2018-10-30,51.36,52.55,50.82,52.32,52.32,12235760,0,1
2018-10-29,53.2,53.2,50.8,51.45,51.45,11125118,0,1
2018-10-26,52.56,53.84,51.84,52.9,52.9,11131280,0,1
2018-10-25,53.78,54.25,52.765,53.3,53.3,9850392,0,1
2018-10-24,55.51,55.61,52.97,53.01,53.01,16957473,0,1
2018-10-23,55.62,55.75,54.48,55.09,55.09,13516708,0,1
2018-10-22,58.45,58.61,56.17,56.81,56.81,13371502,0,1
2018-10-19,58,61.19,57.5869,58.47,58.47,11348123,0,1
2018-10-18,58.82,59.305,58.08,58.43,58.43,11215345,0,1
2018-10-17,59.25,59.5334,58.679,59.24,59.24,6484110,0,1
2018-10-16,59.89,60.13,59.52,59.68,59.68,6310059,0,1
2018-10-15,59.4,60.11,58.86,59.55,59.55,7302124,0,1
2018-10-12,59.78,60.136,58.3,59.33,59.33,9737435,0,1
2018-10-11,60.32,60.58,58.65,59.12,59.12,12620624,0,1
2018-10-10,62.78,63.04,60.67,60.82,60.82,10394052,0,1
2018-10-09,63.19,63.65,62.3,63.11,63.11,6410586,0,1
2018-10-08,62.22,63.075,62.09,62.94,62.94,4725920,0,1
2018-10-05,62.75,63.36,62.44,63,63,7358246,0,1
2018-10-04,62.69,63.29,62.3,62.85,62.85,6920149,0,1
2018-10-03,62.15,62.905,61.59,62.62,62.62,7315730,0,1
2018-10-02,61.3,62.095,60.865,61.89,61.89,5660189,0,1
2018-10-01,61.2,62.37,60.88,61.59,61.59,7666985,0,1
2018-09-28,61.026,61.71,60.86,60.92,60.92,7206646,0,1
2018-09-27,61.14,61.69,60.4,61.17,61.17,6553001,0,1
2018-09-26,61.91,62.17,60.8,60.88,60.88,10408633,0,1
2018-09-25,62.2,62.88,62.07,62.53,62.53,8517460,0,1
2018-09-24,61.82,62.0799,61.405,61.6,61.6,8715167,0,1
2018-09-21,61.75,61.84,61.13,61.13,61.13,21545051,0,1
2018-09-20,61.95,62.27,61.56,61.57,61.57,7364089,0,1
2018-09-19,60.83,61.7125,60.51,61.23,61.23,9367053,0,1
2018-09-18,61.62,61.97,60.95,60.99,60.99,6779745,0,1
2018-09-17,61.59,61.67,60.68,60.97,60.97,6825384,0,1
2018-09-14,61,61.56,60.7644,61.23,61.23,8059113,0,1
2018-09-13,60.71,61.31,60.43,61.02,61.02,6006302,0,1
2018-09-12,60.7,61.603,60.7,60.82,60.82,7931673,0,1
