Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,180.27,183.155,179.7,182.86,182.86,2376255,0,1
2018-11-29,182.88,183.29,180.25,180.35,180.35,1053947,0,1
2018-11-28,177.28,183.24,176.68,183.19,183.19,2178129,0,1
2018-11-27,176.19,177.13,174.83,177.04,177.04,968810,0.5,1
2018-11-26,177.26,177.9256,175.18,177.4,176.9004,1362422,0,1
2018-11-23,176,176.51,174.75,174.75,174.2579,558017,0,1
2018-11-21,177.63,179.58,176.62,177.64,177.1397,1396897,0,1
2018-11-20,175.25,176.6,173.12,175.5,175.0057,2150978,0,1
2018-11-19,181.08,181.61,176.89,177.28,176.7807,1494090,0,1
2018-11-16,180.16,183.15,179.76,181.33,180.8193,1100665,0,1
2018-11-15,178.4,181.67,176.7,181.1,180.59,1618718,0,1
2018-11-14,182.37,184.14,177.32,179.08,178.5757,1915077,0,1
2018-11-13,181.99,182.3951,179.3,180.07,179.5629,1924779,0,1
2018-11-12,186.42,186.42,182.01,182.21,181.6968,1597469,0,1
2018-11-09,187.205,187.88,184.21,186.27,185.7454,1327786,0,1
2018-11-08,186.58,188.25,185.18,188.16,187.6301,1524709,0,1
2018-11-07,184.87,187.41,184.87,186.72,186.1941,2208207,0,1
2018-11-06,182.48,185.87,182.48,183.45,182.9334,1887594,0,1
2018-11-05,183.44,184.28,181.85,183.21,182.694,1137477,0,1
2018-11-02,188.01,188.49,181.51,182.98,182.4647,1590814,0,1
2018-11-01,182.26,183.37,181.19,182.77,182.2553,1807881,0,1
2018-10-31,178.45,184.755,178.45,182.32,181.8065,2926171,0,1
2018-10-30,172.94,176.7,172.6,176.61,176.1126,2255609,0,1
2018-10-29,172.92,176.09,170.29,172.25,171.7649,2851962,0,1
2018-10-26,171.52,173.55,166.11,171.41,170.9273,3146565,0,1
2018-10-25,180.48,180.69,170.75,177.17,176.671,3651972,0,1
2018-10-24,184.29,186.09,176.92,177.81,177.3092,2198000,0,1
2018-10-23,182.35,185.165,181.3,183.85,183.3322,1899431,0,1
2018-10-22,188.99,191,187.55,188.93,188.3979,1568549,0,1
2018-10-19,187.37,190.15,187.13,188.34,187.8096,1161732,0,1
2018-10-18,189.7,190.72,186.54,186.92,186.3936,1309167,0,1
2018-10-17,188.98,191.63,188.14,190.63,190.0931,1119244,0,1
2018-10-16,186.1,190.08,184.96,189.89,189.3552,1275762,0,1
2018-10-15,186.07,186.09,183.55,184.22,183.7012,1370514,0,1
2018-10-12,183.31,187.05,183.08,186.47,185.9449,2266700,0,1
2018-10-11,181.29,185.05,178.86,180.03,179.523,2010743,0,1
2018-10-10,188.12,188.12,182.17,182.17,181.657,2092076,0,1
2018-10-09,188.11,189.99,187.51,187.82,187.291,1606352,0,1
2018-10-08,192.52,193.5,187.91,190.01,189.4749,1500512,0,1
2018-10-05,193.08,194.79,191.74,193.6,193.0548,1080699,0,1
2018-10-04,196.07,196.66,192.29,192.99,192.4465,1613396,0,1
2018-10-03,197.62,198.71,195.69,195.7,195.1489,1289054,0,1
2018-10-02,199,199.22,196.33,196.7,196.146,1203148,0,1
2018-10-01,196.5,199.54,196.305,199.41,198.8484,1750512,0,1
2018-09-28,202.9,203.88,195.34,195.39,194.8397,2557743,0,1
2018-09-27,205.99,206.94,203.87,204.03,203.4554,958069,0,1
2018-09-26,206.62,207.03,204.74,205.28,204.7019,1132144,0,1
2018-09-25,210.22,210.92,206.38,206.82,206.2375,1400892,0,1
2018-09-24,210.49,211.26,209.08,210.3,209.7077,699357,0,1
2018-09-21,215,215,210.39,211.46,210.8645,2015675,0,1
2018-09-20,213.88,214.05,211.62,213.1,212.4999,836655,0,1
2018-09-19,213.64,214.75,212.01,212.97,212.3702,1060577,0,1
2018-09-18,211.11,213.65,209.78,213.55,212.9486,716041,0,1
2018-09-17,212.88,213.63,211.09,211.35,210.7548,1005984,0,1
2018-09-14,212.05,214.04,211.86,213.95,213.3475,1082091,0,1
2018-09-13,210.66,212.14,209.88,211.87,211.2733,703861,0,1
2018-09-12,209.42,211.11,208.83,209.99,209.3986,937331,0,1
2018-09-11,208.27,209.6,207.71,209.46,208.8701,644933,0,1
2018-09-10,207.89,208.45,206.36,208.25,207.6635,755892,0,1
2018-09-07,206.42,209.2,206.31,206.88,206.2974,831593,0,1
2018-09-06,205.49,207.355,205.06,207.02,206.437,1020457,0,1
2018-09-05,207.87,208.52,204.67,204.99,204.4127,1096896,0,1
2018-09-04,207.48,208.94,206.33,207.76,207.1749,1140090,0,1
2018-08-31,205.11,207.4,205.11,207.05,206.4669,1031186,0,1
2018-08-30,205.72,206.72,205.4325,205.67,205.0908,906729,0,1
2018-08-29,202.58,206.51,202.25,206.27,205.6891,1107494,0,1
2018-08-28,204.5,205.83,202.85,203.14,202.5679,1207817,0,1
2018-08-27,203.99,205.6,203.3,204.2,203.6249,877899,0.5,1
2018-08-24,203.07,203.7,202.46,202.85,201.7846,553722,0,1
2018-08-23,202.99,204.64,202.59,202.85,201.7846,759516,0,1
2018-08-22,203.87,204.81,202.84,202.92,201.8543,696676,0,1
2018-08-21,204.23,205.32,203.86,204.35,203.2768,1311241,0,1
2018-08-20,203.4,204.45,203.18,203.92,202.849,585955,0,1
2018-08-17,202.91,203.515,202.03,203.11,202.0433,649689,0,1
2018-08-16,202.98,203.61,202.23,202.69,201.6255,642833,0,1
2018-08-15,201.27,203.6,200.37,201.72,200.6606,846603,0,1
2018-08-14,201.92,203.44,201.76,203.07,202.0035,511692,0,1
2018-08-13,201.31,202.22,200.39,200.53,199.4768,951622,0,1
2018-08-10,200.46,201.93,199.75,201.32,200.2627,843693,0,1
2018-08-09,201.77,202.715,200.87,200.95,199.8946,732016,0,1
2018-08-08,202.18,203.19,200.81,201.35,200.2925,802914,0,1
2018-08-07,199.33,202.86,199.06,202.23,201.1679,1593988,0,1
2018-08-06,198,198.94,197.69,198.53,197.4873,1013866,0,1
2018-08-03,198.07,198.15,196.21,198.08,197.0397,1032641,0,1
2018-08-02,196.69,198.21,196.03,197.28,196.2439,1750659,0,1
2018-08-01,198.85,200.63,197.63,197.73,196.6915,1531728,0,1
2018-07-31,202,203.25,199.525,200.44,199.3873,1590527,0,1
2018-07-30,203.41,204.805,200.285,200.88,199.825,1484330,0,1
2018-07-27,212.58,213.53,202.49,203.86,202.7893,1848647,0,1
2018-07-26,217.31,217.31,211.38,212.01,210.8965,1171592,0,1
2018-07-25,213,215.085,212.42,214.78,213.652,1017763,0,1
2018-07-24,213.54,214.48,212.87,213.12,212.0007,1159143,0,1
2018-07-23,212.9,213.67,212.3,212.87,211.752,790949,0,1
2018-07-20,210.7,212.79,209.51,212.33,211.2148,882314,0,1
2018-07-19,213.56,214.3,211.13,211.27,210.1604,813612,0,1
2018-07-18,213.19,214.9,213.19,214.26,213.1347,736448,0,1
2018-07-17,210.86,213.01,209.53,212.59,211.4735,521781,0,1
2018-07-16,210.73,211.67,210.61,211.47,210.3594,425031,0,1
2018-07-13,210.99,211.8,209.64,210.65,209.5437,734777,0,1
2018-07-12,210.25,210.92,209.48,210.75,209.6431,807561,0,1
2018-07-11,209,210.265,208.99,209.44,208.34,677505,0,1
2018-07-10,209.04,210.82,208.66,209.76,208.6583,802411,0,1
2018-07-09,207.12,209.31,206.43,209.08,207.9819,767031,0,1
2018-07-06,204.71,207.46,204.19,206.37,205.2861,588903,0,1
2018-07-05,204.11,205.205,203.18,204.81,203.7343,605677,0,1
2018-07-03,204.88,205.34,202.64,202.73,201.6653,416164,0,1
2018-07-02,202.57,204.32,202.04,204.32,203.2469,1954929,0,1
2018-06-29,205.15,207.58,203.67,203.89,202.8192,1010685,0,1
2018-06-28,201.4,204.38,201.34,203.69,202.6202,582506,0,1
2018-06-27,204.49,205.16,201.71,201.83,200.77,887681,0,1
2018-06-26,203.98,206.11,202.92,203.16,202.093,836294,0,1
2018-06-25,205.87,205.87,201.86,203.95,202.8789,1258444,0,1
2018-06-22,207.83,208.09,206.07,206.35,205.2663,1218058,0,1
2018-06-21,206.42,207.46,205.22,206.67,205.5846,916401,0,1
2018-06-20,208.11,208.8,206.15,206.31,205.2265,676989,0,1
2018-06-19,206.11,207.3171,205.13,207.24,206.1516,830997,0,1
2018-06-18,207.3,208.01,205.582,207.6,206.5097,890481,0,1
2018-06-15,206.23,208.81,205.84,208.68,207.584,1783274,0,1
2018-06-14,208.79,208.98,206.29,207.29,206.2013,893970,0,1
2018-06-13,207.45,208.77,207.05,207.35,206.261,1050952,0,1
2018-06-12,208.5,208.805,206.385,207.49,206.4003,1816431,0,1
2018-06-11,207.2,208.57,206.66,207.42,206.3306,1749252,0,1
2018-06-08,205.69,206.79,204.55,206.47,205.3856,1054690,0,1
2018-06-07,206.03,206.35,204.09,205.31,204.2317,1884726,0,1
2018-06-06,203.85,206.27,203.26,206.19,205.1071,1052616,0,1
2018-06-05,201.22,203.97,201.0612,203.36,202.292,1698182,0,1
2018-06-04,201.35,201.82,200.635,201.45,200.392,1344065,0,1
2018-06-01,199.87,201.55,198.71,200.32,199.2679,2027787,0,1
2018-05-31,199.3,199.57,196.89,197.5,196.4627,1370164,0,1
