Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,150.24,154.37,150.14,153.78,153.78,6214071,0,1
2018-11-29,150.88,151.68,149.74,150.48,150.48,2970648,0.8,1
2018-11-28,148.73,152.135,146.61,151.98,151.1763,4358421,0,1
2018-11-27,143.19,147.38,142.69,147.38,146.6006,4907629,0,1
2018-11-26,144.03,144.66,142.09,142.76,142.0051,4868564,0,1
2018-11-23,142.58,144.12,142.24,143.54,142.7809,1608601,0,1
2018-11-21,142.11,144.615,141.78,144.1,143.338,4779647,0,1
2018-11-20,147.51,147.8236,140.97,141.56,140.8114,7317803,0,1
2018-11-19,150.36,151.38,148.87,150.64,149.8434,4401430,0,1
2018-11-16,151.8,152.94,151.01,151.42,150.6193,3226087,0,1
2018-11-15,147.91,152.135,146.727,151.43,150.6292,3435401,0,1
2018-11-14,149.75,151.49,146.635,148.56,147.7744,4034367,0,1
2018-11-13,148.43,150.07,147.45,148.59,147.8042,2724991,0,1
2018-11-12,150.51,151,147.42,147.77,146.9886,3037879,0,1
2018-11-09,151.59,151.82,149.67,150.25,149.4554,3807105,0,1
2018-11-08,152.82,153.3,151.4,152.39,151.5841,2602104,0,1
2018-11-07,151.05,152.93,150.22,152.87,152.0616,5780428,0,1
2018-11-06,148.59,150.64,148.59,150.17,149.3759,4280980,0,1
2018-11-05,149.31,149.8,148.35,148.57,147.7843,5036450,0,1
2018-11-02,148.33,149.98,147.71,148.56,147.7744,5841162,0,1
2018-11-01,147.16,147.95,146.24,147.18,146.4017,3561631,0,1
2018-10-31,147.3,148.96,145.91,146.22,145.4468,4355267,0,1
2018-10-30,142,146.61,141.675,146.28,145.5064,4934916,0,1
2018-10-29,144.68,144.71,139.32,141.34,140.5926,5296209,0,1
2018-10-26,143.07,144.16,140.08,142.74,141.9852,5664081,0,1
2018-10-25,136.5,145.15,135.81,144.15,143.3877,9038090,0,1
2018-10-24,144.78,146.17,140.42,140.45,139.7073,8014517,0,1
2018-10-23,144.6,144.94,141.57,143.92,143.1589,6561836,0,1
2018-10-22,146.7,147.38,145.59,146.82,146.0436,6467496,0,1
2018-10-19,148.34,149.73,147.74,148.7,147.9136,5546548,0,1
2018-10-18,146.77,150.08,146.59,148.52,147.7346,7973175,0,1
2018-10-17,153.96,154.44,149.24,149.89,149.0974,6680161,0,1
2018-10-16,153.2,153.71,151.92,153.15,152.3401,6731849,0,1
2018-10-15,153,154.53,151.66,152.19,151.3852,4717669,0,1
2018-10-12,154.03,155.18,151.65,152.65,151.8428,5435281,0,1
2018-10-11,154.15,156.28,150.36,152.09,151.2857,6631689,0,1
2018-10-10,162.39,162.97,154.17,154.46,153.6432,8011000,0,1
2018-10-09,164.3,164.66,162.27,162.39,161.5312,3558724,0,1
2018-10-08,163.23,164.88,162.19,164.56,163.6898,3245153,0,1
2018-10-05,164.22,164.64,163.05,163.77,162.904,2814891,0,1
2018-10-04,163.84,164.65,162.48,164.44,163.5704,3177440,0,1
2018-10-03,163.81,164.77,162.66,163.06,162.1977,3362906,0,1
2018-10-02,164.54,164.54,162.41,163.15,162.2872,3833081,0,1
2018-10-01,164.41,164.98,164.09,164.3,163.4311,3176571,0,1
2018-09-28,163.5,164.15,162.3,162.83,161.9689,3666342,0,1
2018-09-27,163.11,164.32,162.51,163.8,162.9338,2893010,0,1
2018-09-26,163.01,164.54,162.6,162.79,161.9291,3497278,0,1
2018-09-25,164.21,164.64,162.87,163.22,162.3569,5815887,0,1
2018-09-24,164.48,164.84,163.05,163.18,162.3171,4956461,0,1
2018-09-21,164.71,165.63,164.55,164.99,164.1175,13247667,0,1
2018-09-20,163.58,165.11,162.53,164.01,163.1427,6496735,0,1
2018-09-19,163.55,163.7,161.9,162.8,161.9391,6318332,0,1
2018-09-18,164,164.58,162.85,163.7,162.8343,10399300,0,1
2018-09-17,157.5,157.85,156.27,156.71,155.8813,2685749,0,1
2018-09-14,157.1,157.8,156.15,157.41,156.5776,2584972,0,1
2018-09-13,157.62,157.95,156.07,156.63,155.8017,3328682,0,1
2018-09-12,156.46,157.69,156.06,156.99,156.1598,4142677,0,1
2018-09-11,155.96,156.81,154.825,156.3,155.4735,3608113,0,1
2018-09-10,155.94,156.91,155.91,155.96,155.1353,4210184,0,1
2018-09-07,154.18,156.6,154.06,155.1,154.2798,5445920,0,1
2018-09-06,154.81,155.96,154.25,154.65,153.8322,3924974,0,1
2018-09-05,151,154.29,150.43,154.17,153.3547,5657982,0,1
2018-09-04,149.81,151.71,149.71,151.27,150.4701,6145778,0,1
2018-08-31,149.39,150.81,149,150.62,149.8235,3622108,0,1
2018-08-30,149.7,150.28,149.05,149.72,148.9282,3122736,0.8,1
2018-08-29,151.38,152,150.63,150.82,149.2251,2618454,0,1
2018-08-28,153.34,153.72,151.01,151.24,149.6406,4009962,0,1
2018-08-27,151.35,153.04,151.165,152.78,151.1644,3139982,0,1
2018-08-24,151.28,151.46,149.92,150.13,148.5424,2806895,0,1
2018-08-23,150.43,150.74,149.57,150.24,148.6512,2012707,0,1
2018-08-22,151.13,151.44,150.21,150.32,148.7304,2395712,0,1
2018-08-21,150.79,151.9694,150.62,151.56,149.9573,3061324,0,1
2018-08-20,150.22,151.79,150.14,150.85,149.2548,3275261,0,1
2018-08-17,149.07,150.17,148.79,149.46,147.8795,2783176,0,1
2018-08-16,149.5,150.26,148.51,149.25,147.6717,3629980,0,1
2018-08-15,148.32,149.62,147.52,148.98,147.4045,4189038,0,1
2018-08-14,148.85,151.1,148.85,150.19,148.6017,3304338,0,1
2018-08-13,148.84,149.82,147.92,148.63,147.0582,2735102,0,1
2018-08-10,148.01,149.4,147.46,148.84,147.266,2308552,0,1
2018-08-09,149.76,150.39,148.52,148.76,147.1869,1946266,0,1
2018-08-08,149.52,150.84,149.52,149.98,148.394,1907383,0,1
2018-08-07,149.78,150.3,149.04,149.88,148.295,2188398,0,1
2018-08-06,149.5,150.3324,148.25,149.11,147.5332,2959193,0,1
2018-08-03,149.81,150.13,148.74,149.78,148.1961,1739043,0,1
2018-08-02,147.73,150.385,147,149.94,148.3544,2513050,0,1
2018-08-01,149.27,150.4,148.03,148.37,146.801,2822613,0,1
2018-07-31,149.55,151.5,148.54,149.89,148.3049,4396499,0,1
2018-07-30,148.03,150.48,148.03,148.52,146.9494,2812031,0,1
2018-07-27,147.82,148.78,147,148.56,146.989,3190557,0,1
2018-07-26,145.93,149.04,145.6,147.72,146.1579,5378239,0,1
2018-07-25,142.62,146.24,141.52,146.04,144.4956,3856097,0,1
2018-07-24,145.95,146.57,142,142.39,140.8842,4122629,0,1
2018-07-23,141.6,144.9,141.4,144.85,143.3182,5786417,0,1
2018-07-20,139.59,142.13,139.34,141.41,139.9146,5000926,0,1
2018-07-19,137.38,141.81,136.66,140.41,138.9252,6186089,0,1
