Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,32.13,32.13,30.25,30.86,30.86,10062794,0,1
2018-11-29,31.91,32.3,31.755,32.03,32.03,2976778,0,1
2018-11-28,31.58,32.17,31.45,32.06,32.06,3920159,0,1
2018-11-27,31.21,31.51,30.95,31.51,31.51,2954123,0,1
2018-11-26,31.27,31.66,30.96,31.14,31.14,3603633,0,1
2018-11-23,31.52,31.54,31.02,31.04,31.04,1031530,0,1
2018-11-21,31.12,32.16,31.12,31.75,31.75,2927449,0,1
2018-11-20,31.25,31.68,30.465,30.83,30.83,4158043,0,1
2018-11-19,32.81,33.34,31.21,31.42,31.42,5632864,0,1
2018-11-16,31.93,33.35,30.96,32.99,32.99,7814799,0,1
2018-11-15,31.79,32.24,31.15,31.83,31.83,5872844,0,1
2018-11-14,32.22,32.75,31.7,31.79,31.79,3944851,0,1
2018-11-13,32.8,32.99,31.91,32.05,32.05,5013687,0,1
2018-11-12,32.21,33.08,32.16,32.57,32.57,3221158,0,1
2018-11-09,31.9,33.01,31.86,32.1,32.1,3336699,0,1
2018-11-08,32.31,33.02,31.83,32.03,32.03,2624162,0,1
2018-11-07,32.62,32.63,31.05,32.34,32.34,5158579,0,1
2018-11-06,32.42,32.92,32.13,32.56,32.56,3869155,0,1
2018-11-05,30.78,32.46,30.75,32.41,32.41,5227945,0,1
2018-11-02,32.97,33.48,31.56,31.67,31.67,4639683,0,1
2018-11-01,32.1,32.85,31.65,32.78,32.78,4224427,0,1
2018-10-31,31.7,33.07,31.65,31.98,31.98,5047483,0,1
2018-10-30,30.67,31.695,30.67,31.65,31.65,4737168,0,1
2018-10-29,30.46,31.03,30.08,30.46,30.46,4956655,0,1
2018-10-26,29.22,30.59,29.11,29.98,29.98,5637412,0,1
2018-10-25,30.02,30.48,29.49,29.68,29.68,7109483,0,1
2018-10-24,32.72,32.78,29.84,29.92,29.92,7320300,0,1
2018-10-23,32.98,33,32.42,32.71,32.71,4156088,0,1
2018-10-22,33.53,33.66,32.92,33,33,2622239,0,1
2018-10-19,33.88,33.8999,33.13,33.23,33.23,5471526,0,1
2018-10-18,33.41,33.915,33.227,33.73,33.73,4812857,0,1
2018-10-17,33,33.5,32.91,33.41,33.41,3525405,0,1
2018-10-16,31.91,32.96,31.765,32.83,32.83,3278960,0,1
2018-10-15,31.21,32.09,31.21,31.78,31.78,2509233,0,1
2018-10-12,31.56,31.83,31.235,31.39,31.39,3362846,0,1
2018-10-11,32,32.14,31.1,31.19,31.19,4385878,0,1
2018-10-10,32.78,33.4,31.88,31.95,31.95,4019227,0,1
2018-10-09,32.74,33.62,32.58,32.82,32.82,3312592,0,1
2018-10-08,32.52,32.78,32.26,32.74,32.74,2442801,0,1
2018-10-05,33.12,33.3999,32.39,32.6,32.6,2341199,0,1
2018-10-04,33.12,33.49,32.74,33.05,33.05,4233589,0,1
2018-10-03,32.75,33.64,32.75,33.32,33.32,5186189,0,1
2018-10-02,32.56,32.84,32.03,32.73,32.73,4291681,0,1
2018-10-01,33.82,33.89,32.1,32.46,32.46,5941497,0,1
2018-09-28,33.91,33.96,33.305,33.76,33.76,5038235,0,1
2018-09-27,33.63,34.44,33.3318,33.85,33.85,3822105,0,1
2018-09-26,33.01,34.26,32.87,33.74,33.74,6804418,0,1
2018-09-25,32.44,32.81,32.38,32.48,32.48,3121455,0,1
2018-09-24,32.09,32.64,32,32.59,32.59,3324494,0,1
2018-09-21,31.88,32.46,31.73,32.37,32.37,7234911,0,1
2018-09-20,31.12,31.97,31,31.83,31.83,4949028,0,1
2018-09-19,30.27,31.04,30.27,30.73,30.73,3227518,0,1
2018-09-18,30.08,30.34,29.76,30.21,30.21,2110260,0,1
2018-09-17,29.9,30.25,29.65,30.06,30.06,1977622,0,1
2018-09-14,29.97,29.97,29.31,29.85,29.85,2374500,0.2,1
2018-09-13,29.73,30.14,29.33,30.08,29.8798,4078632,0,1
2018-09-12,28.84,29.9,28.82,29.64,29.4427,4931794,0,1
2018-09-11,29.07,29.125,28.79,28.88,28.6878,3495862,0,1
2018-09-10,29.35,29.54,28.85,29.07,28.8765,3669320,0,1
2018-09-07,29.13,29.35,28.69,28.98,28.7871,2921536,0,1
2018-09-06,29.01,29.78,28.4,29.26,29.0653,4725473,0,1
2018-09-05,29.63,29.84,29.19,29.44,29.2441,5781759,0,1
2018-09-04,29.3,29.53,29.0099,29.39,29.1944,5288285,0,1
2018-08-31,29.8,29.92,29.24,29.28,29.0851,4584370,0,1
2018-08-30,30.33,30.6,29.84,29.85,29.6513,3026012,0,1
2018-08-29,30.61,30.61,30.26,30.4,30.1977,3403510,0,1
2018-08-28,30.6,30.651,30.3,30.4,30.1977,3296499,0,1
2018-08-27,31.04,31.305,30.52,30.6,30.3963,3072969,0,1
2018-08-24,31.05,31.46,30.81,30.98,30.7738,3054529,0,1
2018-08-23,31.68,31.78,30.93,30.98,30.7738,2008357,0,1
2018-08-22,31.73,32.1363,31.2,31.93,31.7175,1908068,0,1
2018-08-21,31.02,32.49,30.95,31.94,31.7274,3310354,0,1
2018-08-20,30.83,31.065,30.63,31.01,30.8036,1800146,0,1
2018-08-17,30.18,30.87,30.18,30.72,30.5155,2529729,0,1
2018-08-16,30.85,30.905,30.08,30.1,29.8997,2749306,0,1
2018-08-15,30.7,30.87,30.38,30.8,30.595,2095133,0,1
2018-08-14,30.39,31.11,30.36,30.88,30.6745,1744726,0,1
2018-08-13,30.26,30.54,30.07,30.31,30.1083,2399126,0,1
2018-08-10,30.39,30.515,30.13,30.34,30.1381,2271545,0,1
