Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-11-30,26.92,27.11,26.765,26.92,26.92,3418897,0,1
2018-11-29,26.88,27.04,26.715,26.88,26.88,2308805,0,1
2018-11-28,26.22,27.02,26.06,27,27,2988764,0,1
2018-11-27,25.59,26.14,25.59,26.12,26.12,2352889,0,1
2018-11-26,25.63,25.9,25.49,25.84,25.84,2720994,0,1
2018-11-23,24.96,25.77,24.95,25.37,25.37,1914049,0,1
2018-11-21,25.41,25.715,24.64,25.19,25.19,5447147,0,1
2018-11-20,26.23,26.26,25.27,25.29,25.29,5189898,0,1
2018-11-19,26.99,27.15,26.415,26.53,26.53,3456488,0,1
2018-11-16,27.04,27.3,26.86,27.04,27.04,5106524,0,1
2018-11-15,26.76,27.23,26.4,27.14,27.14,5468439,0,1
2018-11-14,27.57,27.8,26.89,27,27,2901367,0,1
2018-11-13,27.3,27.65,27.21,27.33,27.33,2952050,0,1
2018-11-12,28.37,28.37,27.23,27.31,27.31,3582303,0,1
2018-11-09,29.09,29.22,28.34,28.43,28.43,2981605,0,1
2018-11-08,28.94,29.1826,28.84,29.14,29.14,1765650,0,1
2018-11-07,29.16,29.16,28.73,29.03,29.03,3613618,0,1
2018-11-06,28.61,29.06,28.605,29,29,2117075,0,1
2018-11-05,28.38,28.765,28.3174,28.62,28.62,3254366,0,1
2018-11-02,28.54,28.85,28.245,28.32,28.32,2755722,0,1
2018-11-01,27.94,28.54,27.86,28.52,28.52,3303421,0,1
2018-10-31,28.28,28.34,27.84,27.87,27.87,3268243,0,1
2018-10-30,27.59,28.22,27.57,28.21,28.21,3138141,0,1
2018-10-29,27.83,28.18,27.125,27.46,27.46,4510135,0,1
2018-10-26,27.19,27.8,26.9,27.39,27.39,4600108,0,1
2018-10-25,27.61,27.98,27.19,27.74,27.74,4492185,0,1
2018-10-24,26.73,27.99,26.56,27.37,27.37,8002679,0,1
2018-10-23,26.18,27.12,25.5,26.65,26.65,7018168,0,1
2018-10-22,26.96,27.135,26.34,26.4,26.4,3583186,0,1
2018-10-19,26.76,27.25,26.7,26.87,26.87,3486832,0,1
2018-10-18,26.59,26.95,26.38,26.71,26.71,3116915,0,1
2018-10-17,26.5,27.3,26.46,26.74,26.74,4668505,0,1
2018-10-16,25.87,26.42,25.81,26.4,26.4,2183773,0,1
2018-10-15,25.21,26.025,25.12,25.69,25.69,2433238,0,1
2018-10-12,25.07,25.29,24.86,25.22,25.22,3354279,0,1
2018-10-11,25.44,25.54,24.66,24.74,24.74,5779035,0,1
2018-10-10,26.13,26.23,25.505,25.52,25.52,3499761,0,1
2018-10-09,26.49,26.67,26.12,26.21,26.21,1810447,0,1
2018-10-08,26.03,26.685,26.02,26.56,26.56,3221948,0,1
2018-10-05,27.04,27.37,26.11,26.2,26.2,2922402,0,1
2018-10-04,27.21,27.46,26.9899,27.11,27.11,2564897,0,1
2018-10-03,27.09,27.61,27.09,27.2,27.2,2256496,0,1
2018-10-02,27.08,27.55,26.97,27.03,27.03,1908174,0,1
2018-10-01,27.07,27.23,26.88,27.08,27.08,2545284,0,1
2018-09-28,26.72,27.07,26.47,26.98,26.98,2564410,0,1
2018-09-27,26.9,27.09,26.82,26.85,26.85,1976410,0.25,1
2018-09-26,27.15,27.495,27.01,27.1,26.85,1756291,0,1
2018-09-25,27.23,27.34,27.09,27.14,26.8896,2412631,0,1
2018-09-24,27.95,27.99,27.24,27.27,27.0184,2690914,0,1
2018-09-21,28.57,28.77,27.96,28,27.7417,5694673,0,1
2018-09-20,28.46,28.68,28.46,28.49,28.2272,2430737,0,1
2018-09-19,28.1,28.54,28.1,28.28,28.0191,2233583,0,1
2018-09-18,28.07,28.17,27.63,28.02,27.7615,2319879,0,1
2018-09-17,28.14,28.3501,28.03,28.08,27.821,2531310,0,1
2018-09-14,27.8,28.165,27.78,28.07,27.8111,2078147,0,1
2018-09-13,27.53,27.845,27.47,27.75,27.494,2396260,0,1
2018-09-12,27.08,27.56,27.06,27.4,27.1472,2660759,0,1
2018-09-11,26.92,27.37,26.89,27.17,26.9194,2336730,0,1
2018-09-10,27.13,27.36,26.99,27.08,26.8302,1744761,0,1
2018-09-07,26.92,27.18,26.87,26.97,26.7212,2441584,0,1
2018-09-06,27.36,27.528,26.945,27.02,26.7707,2257923,0,1
2018-09-05,27.47,27.77,27.26,27.3,27.0482,2903145,0,1
2018-09-04,27.67,27.69,27.375,27.57,27.3157,2241970,0,1
2018-08-31,27.62,28.16,27.62,27.86,27.603,2488858,0,1
2018-08-30,27.85,28.07,27.635,27.68,27.4246,1886172,0,1
2018-08-29,27.6,28.15,27.39,27.95,27.6922,2685807,0,1
2018-08-28,27.78,27.93,27.555,27.64,27.385,2539456,0,1
2018-08-27,27.56,27.83,27.5,27.69,27.4346,3142572,0,1
2018-08-24,27.42,27.52,27.24,27.4,27.1472,2212546,0,1
2018-08-23,27.7,28.03,27.42,27.45,27.1968,3753355,0,1
2018-08-22,27.79,27.91,27.61,27.65,27.3949,3728258,0,1
2018-08-21,27.24,27.99,27.235,27.81,27.5535,4548543,0,1
2018-08-20,27.05,27.43,26.985,27.25,26.9986,2710010,0,1
2018-08-17,26.78,27.08,26.63,26.94,26.6915,1862684,0,1
2018-08-16,26.34,26.98,26.2,26.83,26.5825,3176049,0,1
2018-08-15,26,26.225,25.83,26.15,25.9088,1904226,0,1
2018-08-14,26.06,26.3,25.89,26.15,25.9088,2665756,0,1
2018-08-13,26.19,26.3,25.945,25.99,25.7502,1904962,0,1
2018-08-10,26.14,26.34,26.06,26.23,25.988,2030302,0,1
2018-08-09,26.51,27.025,26.25,26.35,26.1069,2918818,0,1
2018-08-08,26.68,26.86,26.47,26.54,26.2952,2147318,0,1
2018-08-07,26.16,26.69,26,26.63,26.3843,2381107,0,1
2018-08-06,26.12,26.24,25.93,26.1,25.8592,1794773,0,1
2018-08-03,25.8,26.18,25.7676,26.14,25.8989,1933462,0,1
2018-08-02,25.31,25.885,25.21,25.68,25.4431,2549848,0,1
2018-08-01,25.91,25.955,25.48,25.49,25.2549,3179194,0,1
2018-07-31,25.79,26.1,25.64,25.97,25.7304,3236718,0,1
2018-07-30,25.57,25.98,25.5,25.73,25.4926,2550197,0,1
2018-07-27,25.51,25.81,25.1401,25.59,25.3539,3237762,0,1
2018-07-26,24.62,26.02,24.51,25.69,25.453,3974029,0,1
2018-07-25,24.88,24.88,24.31,24.77,24.5415,2524202,0,1
2018-07-24,25.2,25.33,24.74,24.8,24.5712,2386071,0,1
2018-07-23,25.07,25.35,24.91,25.1,24.8685,1635023,0,1
2018-07-20,25.21,25.26,25.01,25.09,24.8585,1497920,0,1
2018-07-19,25.34,25.47,25.16,25.18,24.9477,1627121,0,1
2018-07-18,24.99,25.38,24.895,25.33,25.0963,1932597,0,1
2018-07-17,24.92,25.145,24.8,25,24.7694,1306438,0,1
2018-07-16,25.24,25.46,24.91,24.97,24.7396,1748462,0,1
2018-07-13,25.16,25.675,25.01,25.27,25.0369,2676224,0,1
2018-07-12,25.15,25.205,24.91,25.16,24.9279,1622113,0,1
2018-07-11,25.02,25.27,25,25.01,24.7793,2133342,0,1
2018-07-10,25.17,25.464,25.01,25.27,25.0369,3068335,0,1
2018-07-09,24.56,25.345,24.5,25.02,24.7892,2736361,0,1
2018-07-06,24.15,24.481,24.04,24.39,24.165,2646898,0,1
2018-07-05,24.38,24.49,23.91,24.19,23.9668,2497678,0,1
2018-07-03,24.33,24.51,24.13,24.28,24.056,1582402,0,1
2018-07-02,23.8,24.26,23.71,24.2,23.9768,2459654,0,1
2018-06-29,24.25,24.45,23.96,24,23.7786,2664200,0,1
2018-06-28,24.12,24.27,23.52,24.13,23.9074,4304951,0.25,1
2018-06-27,25.31,25.44,24.41,24.51,24.0349,3781550,0,1
2018-06-26,25.5,25.52,25.16,25.33,24.839,2312406,0,1
2018-06-25,26.3,26.33,25.37,25.45,24.9567,3036413,0,1
2018-06-22,26.58,26.63,26.34,26.4,25.8882,3473079,0,1
2018-06-21,27.24,27.24,26.305,26.45,25.9373,2746517,0,1
2018-06-20,27.64,27.74,27.2,27.25,26.7218,1181164,0,1
2018-06-19,27.03,27.57,26.96,27.53,26.9963,2174362,0,1
2018-06-18,27.17,27.45,27.13,27.24,26.712,2232673,0,1
2018-06-15,27.62,27.66,27.24,27.41,26.8787,3553128,0,1
2018-06-14,27.74,27.86,27.59,27.74,27.2023,1858579,0,1
2018-06-13,27.78,27.9,27.57,27.58,27.0454,2356322,0,1
2018-06-12,28.18,28.2,27.64,27.73,27.1925,1871008,0,1
2018-06-11,27.9,28.33,27.831,28.12,27.5749,1662808,0,1
2018-06-08,27.42,27.92,27.4,27.91,27.369,2034281,0,1
2018-06-07,27.68,27.715,27.36,27.48,26.9473,2487354,0,1
2018-06-06,27.75,27.95,27.41,27.68,27.1434,1935617,0,1
2018-06-05,27.42,28.121,27.4,27.68,27.1434,3919035,0,1
2018-06-04,27.47,27.6699,27.3,27.37,26.8394,1805923,0,1
2018-06-01,27.34,27.45,27.16,27.35,26.8198,2234297,0,1
2018-05-31,27.71,27.73,27.18,27.18,26.6531,4482658,0,1
2018-05-30,27.96,27.96,27.63,27.78,27.2415,2099820,0,1
2018-05-29,27.65,27.935,27.48,27.75,27.2121,2156033,0,1
2018-05-25,28.06,28.17,27.82,27.91,27.369,1186313,0,1
2018-05-24,28,28.19,27.91,28.11,27.5651,1633999,0,1
2018-05-23,28.06,28.19,27.94,28.03,27.4866,1781975,0,1
2018-05-22,28.04,28.29,27.8,28.13,27.5847,2742749,0,1
2018-05-21,28.3,28.39,27.93,27.98,27.4376,2369963,0,1
2018-05-18,28.49,28.53,28.12,28.19,27.6435,2077876,0,1
2018-05-17,28.55,28.92,28.37,28.47,27.9181,1641635,0,1
2018-05-16,28.42,28.651,28.305,28.55,27.9966,1764099,0,1
2018-05-15,28.59,29.04,28.44,28.51,27.9573,2602691,0,1
2018-05-14,28.89,29.15,27.11,28.87,28.3104,11700445,0,1
2018-05-11,29.75,30.42,29.67,30.17,29.5852,3542660,0,1
2018-05-10,28.94,29.37,28.7,29.33,28.7614,1483100,0,1
2018-05-09,28.68,29.045,28.0698,28.83,28.2711,3114279,0,1
2018-05-08,28.59,28.82,28.04,28.38,27.8299,3520412,0,1
2018-05-07,28.4,28.8,27.66,28.46,27.9083,4832314,0,1
2018-05-04,28.12,28.89,27.87,28.38,27.8299,3043619,0,1
2018-05-03,29.24,29.5,28.17,28.31,27.7612,5107310,0,1
2018-05-02,32.05,32.05,29.2,29.38,28.8105,8017896,0,1
2018-05-01,31.35,32.31,31.35,32.29,31.6641,3302042,0,1
2018-04-30,31.28,31.56,31.1868,31.45,30.8403,2053176,0,1
2018-04-27,30.94,31.37,30.85,31.28,30.6736,1865184,0,1
2018-04-26,30.75,30.75,30.32,30.42,29.8303,1287787,0,1
2018-04-25,30.69,30.77,30.29,30.64,30.046,993084,0,1
2018-04-24,31.3,31.49,30.35,30.7,30.1049,1698687,0,1
2018-04-23,31.52,31.67,30.64,31.2,30.5952,2617425,0,1
2018-04-20,30.45,31.78,30.25,31.54,30.9286,4606796,0,1
